api-gateway_energy,clientone_energy,clientthree_energy,clienttwo_energy,orchestrator_energy,policy_energy,policy-enforcer_energy,rabbitmq_energy,server_energy,sidecar_energy,system_processes_energy
456.34536000000026,800.8124399999999,745.4829599999999,722.0894399999985,272.44187999999974,602.5294799999999,267.30503999999985,1530.4179600000002,802.0357199999995,5996.06604866,69503.58501885997
427.54751999999974,805.5252000000007,738.6735600000004,716.5515600000003,274.1788799999996,599.9763600000003,269.3890799999998,1534.863600000002,797.147279999999,5760.720359999998,69297.65624386
386.6994000000001,810.0957599999999,728.1414000000005,707.8730400000011,274.89420000000007,599.5347653473068,270.7329600000003,1536.53724,790.4152799999982,5502.814199999998,69176.05863979564
353.6830800000001,812.773079999999,722.5178400000004,697.4233200000001,275.29200000000026,597.1152053473063,272.39148,1541.1697199999985,783.2170799999985,5257.63476,68822.02212979562
321.80471999999975,817.1459999999985,721.9036799999998,697.6270799999992,276.3349200000006,597.1003199999993,272.9754000000001,1543.73976,784.4230799999984,5048.904240000001,68172.94187999998
306.5183999999997,831.7331999999988,728.568359999999,705.3771599999989,277.31520000000035,596.4335999999996,274.80852000000016,1551.05028,779.3189999999984,4971.674879999998,67442.61960000002
290.5297199999999,830.2366799999994,729.6951599999982,701.8293600000001,277.4293200000001,596.7489599999999,274.97555999999986,1554.6063600000011,778.9874399999993,4960.623599999998,67268.32236000002
275.03208000000006,830.9138400000002,729.9817199999999,700.6496400000008,278.23140000000046,595.3384799999998,276.74819999999994,1560.3076800000017,771.4922400000008,4961.062080000001,67237.34075999999
259.3011599999999,827.0967600000004,730.394640000001,702.6098400000006,278.43264000000056,596.0854800000001,276.5131200000001,1565.9046000000003,770.4226800000005,4965.733079999998,67186.86335999999
256.15295999999955,820.8169200000002,726.4731600000002,699.5685600000008,279.65196000000014,596.2863600000006,277.73568000000023,1569.984120000001,763.4915999999996,4950.051479999997,67858.07759999999
280.20939488999977,805.17528,720.6703200000001,696.298680000001,280.65456000000023,595.5083999999995,278.7033600000002,1566.3149999999996,755.8455600000001,4898.40696,69005.91600000001
308.62488489000026,799.3029599999991,724.38732,702.0097199999999,282.5319600000004,600.1901999999995,279.4125600000001,1568.0933999999966,756.8902800000009,5069.557216770002,69446.16144000003
355.82669490599994,791.511479999999,736.8141599999999,708.1196399999988,280.1876400000001,599.5597221599571,278.928,1561.2350399999982,762.6960000000015,5570.433329030001,69609.84062334192
390.3455049059998,790.4858400000005,742.5449999999996,720.1205999999999,282.8815199999999,602.7979221599572,278.73,1562.4082799999996,771.3734400000014,5911.1035023449995,70035.08918334193
430.4143218600001,781.4851200000014,747.6220799999999,723.2450400000004,279.9561599999995,601.5726000000006,278.0773199999999,1553.7301199999997,772.1892000000013,6107.093280365999,70619.47443013001
449.4660618600002,766.6246800000006,741.887280000001,717.5757600000006,281.48687999999953,603.54036,277.29863999999964,1550.243880000001,774.1332000000015,6211.897727838334,71480.23926276997
469.2834718080001,757.8417599999999,736.1269200000017,718.2496800000006,279.5871599999998,602.00388,277.4494800000001,1540.939679999999,774.6771600000008,6145.995111678667,71977.67369798994
486.3393118080001,758.5376399999999,735.6715200000006,720.6170399999996,281.20103999999947,603.8413200000005,276.8601600000003,1538.0935199999997,780.563519999999,6123.616573303333,72026.40920999998
