timestamp,aggregator_energy,api-gateway_energy,authority_energy,clientone_energy,clientthree_energy,clienttwo_energy,orchestrator_energy,policy_energy,policy-enforcer_energy,rabbitmq_energy,server_energy,sidecar_energy,system_processes_energy,aggregator_cpu_usage,authority_cpu_usage,clientone_cpu_usage,clientthree_cpu_usage,clienttwo_cpu_usage,policy_cpu_usage,server_cpu_usage,sidecar_cpu_usage,aggregator_memory_usage,authority_memory_usage,clientone_memory_usage,clientthree_memory_usage,clienttwo_memory_usage,policy_memory_usage,server_memory_usage,sidecar_memory_usage,aggregator_memory_rss_usage,authority_memory_rss_usage,clientone_memory_rss_usage,clientthree_memory_rss_usage,clienttwo_memory_rss_usage,policy_memory_rss_usage,server_memory_rss_usage,sidecar_memory_rss_usage,aggregator_memory_cache_usage,authority_memory_cache_usage,clientone_memory_cache_usage,clientthree_memory_cache_usage,clienttwo_memory_cache_usage,policy_memory_cache_usage,server_memory_cache_usage,sidecar_memory_cache_usage,aggregator_carbon_coal,api-gateway_carbon_coal,authority_carbon_coal,clientone_carbon_coal,clientthree_carbon_coal,clienttwo_carbon_coal,orchestrator_carbon_coal,policy_carbon_coal,policy-enforcer_carbon_coal,rabbitmq_carbon_coal,server_carbon_coal,sidecar_carbon_coal,system_processes_carbon_coal,aggregator_carbon_emission,api-gateway_carbon_emission,authority_carbon_emission,clientone_carbon_emission,clientthree_carbon_emission,clienttwo_carbon_emission,orchestrator_carbon_emission,policy_carbon_emission,policy-enforcer_carbon_emission,rabbitmq_carbon_emission,server_carbon_emission,sidecar_carbon_emission,system_processes_carbon_emission
2026-06-27 12:23:11.286000013,5036.338461538466,3377.704615384617,4669.747692307694,4885.744615384612,4277.750769230772,4163.12,1854.0676923076921,3932.969230769232,1809.1107692307694,10069.526153846153,4510.978461538457,64582.852307692294,462737.39384615386,0.02741697825407426,0.010910355613360545,0.006530472751931236,0.0072419108147305815,0.0071961054301303996,0.0007244778364529742,0.006399460463167172,0.04886163769540017,242621.54983491133,248645.34564081396,183174.64238914294,197908.0076726251,139478.19042811004,83947.43859257468,60575.51799690402,955810.503740678,237958.44172703405,243292.5309985179,179075.90238895966,192767.20492602684,135540.95393318418,11560.688971512553,58744.380200967076,923121.3985424986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004638217156225673,0.0023003022486474127,0.004564267479818124,0.004669014026404374,0.004059297250547826,0.003976911632759375,0.0016845011058710146,0.0034623665767125004,0.0016273438603840581,0.009215282703891306,0.00423579120916625,0.04737262957485347,0.41094929307689604,0.003788686010403361,0.001377457327809524,0.003750395994666667,0.003454482290868346,0.0028020345012436977,0.0026523760726050415,0.0009301124358095239,0.001987187107714286,0.0009329811933333333,0.005152473891238095,0.0034496590639999988,0.031027184302133377,0.21885236955986945
2026-06-27 12:23:26.286000013,5036.338461538466,3377.704615384617,4669.618461538463,4879.876923076921,4280.403076923078,4163.12,1854.0676923076921,3932.969230769232,1809.1107692307694,10069.526153846153,4520.513846153841,64155.89846153845,463450.4923076922,0.027482238602177994,0.010910355613360545,0.006217943987104217,0.0072419108147305815,0.0071961054301303996,0.0007244778364529742,0.006399460463167172,0.04817219942182772,249118.05039056574,248645.34564081396,187077.14755928374,197908.0076726251,139478.19042811004,83947.43859257468,60575.51799690402,954730.7778545144,244055.81519265566,243292.5309985179,182674.2336795121,192767.20492602684,135540.95393318418,11560.688971512553,58744.380200967076,921677.5277363381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004645388983347826,0.0023038601197654246,0.004571368608463958,0.0046762781206752075,0.004065573682224845,0.003983098947863542,0.001687105659183644,0.0034677533579625004,0.0016298600379202899,0.00922953125202795,0.004242381291457917,0.047463287085148576,0.4115868704928186,0.003788686010403361,0.001377457327809524,0.0037586410038655447,0.0034615077619047615,0.0028097416804369743,0.0026523760726050415,0.0009301124358095239,0.001987187107714286,0.0009329811933333333,0.005152473891238095,0.0034596476607731074,0.031000074889816022,0.21974217363018078
2026-06-27 12:23:41.286000013,5054.384615384617,3326.3846153846157,4669.618461538463,4879.876923076921,4280.403076923078,4168.289230769227,1858.5261538461539,3921.359999999997,1813.5538461538467,10041.99076923077,4520.513846153841,63967.243076923056,463232.9846153844,0.027482238602177994,0.010910355613360545,0.006218839119659849,0.00677518757849314,0.0067916625413661814,0.0007244778364529742,0.006362354472554668,0.04659939017232619,249118.05039056574,248645.34564081396,200866.4990329171,189537.62482870158,142284.85163375043,83947.43859257468,63288.76210851608,942204.9925614108,244055.81519265566,243292.5309985179,196138.34952996962,184433.80098252845,138021.36628199884,11560.688971512553,61345.34168396797,908720.3630303955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004652560810469979,0.002307417990883437,0.004578469737109791,0.004683542214946042,0.004071850113901865,0.003989286262967708,0.0016897102124962733,0.0034731401392124996,0.0016323762154565218,0.009243779800164595,0.004248971373749583,0.04755394459544367,0.4122244479087412,0.0038048319784873942,0.00137314086594958,0.0037586410038655447,0.0034615077619047615,0.0028097416804369743,0.002659938252745097,0.0009305849332436976,0.0019928852960672265,0.000933456921882353,0.005167923443092437,0.0034596476607731074,0.031016524938406422,0.2202491487441957
2026-06-27 12:23:56.286000013,5054.384615384617,3326.3846153846157,4686.243076923075,4892.68615384615,4281.809230769232,4168.289230769227,1858.5261538461539,3921.359999999997,1813.5538461538467,10041.99076923077,4532.818461538464,63553.744615384596,463432.5938461538,0.027482238602177994,0.010910355613360545,0.006218839119659849,0.00677518757849314,0.0067916625413661814,0.0007244778364529742,0.006043535423738604,0.0461634132840244,249118.05039056574,248645.34564081396,200866.4990329171,189537.62482870158,142284.85163375043,83947.43859257468,73761.45851022299,937807.2856932938,244055.81519265566,243292.5309985179,196138.34952996962,184433.80098252845,138021.36628199884,11560.688971512553,71398.71116378655,904445.3805112762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0046597326375921325,0.0023109758620014497,0.004585570865755624,0.004690806309216874,0.004078126545578882,0.0039954735780718745,0.0016923147658089027,0.0034785269204625,0.0016348923929927536,0.009258028348301242,0.00425556145604125,0.04764460210573876,0.41286202532466376,0.0038048319784873942,0.00137314086594958,0.0037698347779383753,0.0034732016865546204,0.002817662647501401,0.002659938252745097,0.0009305849332436976,0.0019928852960672265,0.000933456921882353,0.005167923443092437,0.0034697470286610653,0.030996053363569,0.2210136616176094
2026-06-27 12:24:11.286000013,5055.646153846155,3270.2184615384613,4686.243076923075,4892.68615384615,4281.809230769232,4185.483076923078,1860.2030769230755,3924.864615384614,1815.193846153847,10023.606153846147,4532.818461538464,63340.929230769216,463060.2276923077,0.027482238602177994,0.010910355613360545,0.006218839119659849,0.00677518757849314,0.0067916625413661814,0.0007016656791856203,0.006043535423738604,0.045820752877143746,249118.05039056574,248645.34564081396,200866.4990329171,189537.62482870158,142284.85163375043,90849.17617237009,73761.45851022299,929297.4646646171,244055.81519265566,243292.5309985179,196138.34952996962,184433.80098252845,138021.36628199884,6259.502347903952,71398.71116378655,896259.2030573657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004668566226219753,0.0023087249961016463,0.004593141477810145,0.004697010515814493,0.004083359503774898,0.004000481279314492,0.0016944059344769548,0.003482961189750725,0.0016372465082644038,0.00927053734635,0.004262222511207246,0.04760394894285727,0.41357505477639633,0.003816289521243697,0.0013683772561624648,0.0037698347779383753,0.0034732016865546204,0.002817662647501401,0.0026702901691988794,0.0009308565609243696,0.0019993942865546214,0.0009337374137254902,0.0051842226592436974,0.0034697470286610653,0.03100939792515332,0.22151157081739925
2026-06-27 12:24:26.286000013,5055.646153846155,3270.2184615384613,4688.0153846153835,4913.252307692311,4283.16615384615,4185.483076923078,1860.2030769230755,3924.864615384614,1815.193846153847,10023.606153846147,4543.929230769228,62938.25230769229,463504.5046153847,0.025589159059228702,0.010227802444442265,0.006218839119659849,0.00677518757849314,0.0067916625413661814,0.0007243643705150452,0.006043535423738604,0.04509252364937964,230013.06474977452,254119.8489032339,200866.4990329171,189537.62482870158,142284.85163375043,83180.19706379336,73761.45851022299,934041.4574513215,225339.0548555498,248095.3618479777,196138.34952996962,184433.80098252845,138021.36628199884,5731.1101845552885,71398.71116378655,900781.7382621473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004675740602762963,0.0023122739333444444,0.00460024333236501,0.004704272971301035,0.004089634331964198,0.004006666770515321,0.0016970096988802468,0.003488346498239337,0.0016397624367623456,0.009284783221349999,0.004268812703236233,0.04769293861361169,0.4142127490719514,0.003816289521243697,0.0013683772561624648,0.0037779606798095237,0.0034869709714901967,0.0028258924825098025,0.0026702901691988794,0.0009308565609243696,0.0019993942865546214,0.0009337374137254902,0.0051842226592436974,0.0034826977888123244,0.030992220563299925,0.22237394167954513
2026-06-27 12:24:41.286000013,5059.784615384616,3213.443076923074,4688.0153846153835,4913.252307692311,4283.16615384615,4194.135384615384,1858.5569230769215,3925.2553846153846,1813.51076923077,9985.738461538465,4543.929230769228,62717.58769230767,463265.59384615393,0.025589159059228702,0.010227802444442267,0.006218839119659849,0.00677518757849314,0.006798020028513288,0.0007243643705150452,0.006043535423738604,0.04432923559438736,230013.06474977452,254119.84890323397,200866.4990329171,189537.62482870158,129457.78813459116,83180.19706379336,73761.45851022299,909650.4009652336,225339.0548555498,248095.3618479778,196138.34952996962,184433.80098252845,125559.52459919422,5731.1101845552885,71398.71116378655,877101.6214087913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004682914979306173,0.002315822870587243,0.004607345186919876,0.004711535426787578,0.004095909160153498,0.004012852261716149,0.0016996134632835391,0.0034937318067279504,0.0016422783652602882,0.009299029096350001,0.004275402895265218,0.047781928284366115,0.4148504433675064,0.0038286413154621844,0.001363831148918767,0.0037779606798095237,0.0034869709714901967,0.0028258924825098025,0.0026801660067226887,0.000931626452515406,0.0020051519112492993,0.0009345161694789919,0.005202553181221289,0.0034826977888123244,0.031007670323494465,0.22288782442398297
2026-06-27 12:24:56.286000013,5059.784615384616,3213.443076923074,4690.609230769231,4914.741538461538,4289.630769230769,4194.135384615384,1858.5569230769215,3925.2553846153846,1813.51076923077,9985.738461538465,4549.356923076925,62277.486153846156,463406.1076923078,0.025152248149199846,0.010227802444442267,0.006149658368219644,0.006525183318729324,0.006578116397990663,0.0007243643705150452,0.005975418423099007,0.04395336258061727,217703.64555204794,254119.84890323397,191618.4981491688,188778.78911113998,132466.26342703152,83180.19706379336,77901.56828333954,890963.803203889,213351.62512225768,248095.3618479778,187251.61532417886,183314.4562906938,128082.01973599898,5731.1101845552885,75405.71853377852,859377.4797089873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004690089355849383,0.002319371807830041,0.004614447041474741,0.0047187978822741195,0.004102183988342799,0.004019037752916977,0.0017022172276868312,0.0034991171152165632,0.0016447942937582304,0.009313274971349999,0.0042819930872942035,0.04787091795512052,0.4154881376630615,0.0038286413154621844,0.001363831148918767,0.003785716208403361,0.0034986039726610644,0.0028337104391596636,0.0026801660067226887,0.000931626452515406,0.0020051519112492993,0.0009345161694789919,0.005202553181221289,0.003492568922352941,0.030982733469589022,0.22361609761021004
2026-06-27 12:25:11.286000013,5055.781538461532,3155.424615384617,4690.609230769231,4914.741538461538,4289.630769230769,4203.581538461539,1857.815384615385,3932.2646153846144,1812.7846153846162,9969.901538461534,4549.356923076925,62048.98153846154,463436.73230769235,0.025152248149199846,0.010227802444442267,0.0057936429688250956,0.006478426388932343,0.006578116397990663,0.0007243643705150452,0.005975418423099007,0.04354549771422606,217703.64555204794,254119.84890323397,189795.7541599902,203405.76682758227,132466.26342703152,83180.19706379336,77901.56828333954,888336.1125627103,213351.62512225768,248095.3618479778,185201.12491038023,197405.17420663332,128082.01973599898,5731.1101845552885,75405.71853377852,856656.9585314657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004697365348723108,0.0023168176389762787,0.004619948374967901,0.004727960552899178,0.004108067860301841,0.004026434401986214,0.001704390792703068,0.0035035541790878603,0.001647236531823313,0.009328617623568097,0.004288628033832716,0.04783785074251717,0.41621962543476504,0.0038375517155294116,0.001359271240470588,0.003785716208403361,0.0034986039726610644,0.0028337104391596636,0.0026892008443473387,0.0009322912139663864,0.0020131172133949576,0.0009351954978991596,0.005222599290420168,0.003492568922352941,0.0309926001855231,0.22400789911273927
2026-06-27 12:25:26.286000013,5055.781538461532,3155.424615384617,4718.895384615386,4913.03384615385,4299.932307692308,4203.581538461539,1857.815384615385,3932.2646153846144,1812.7846153846162,9969.901538461534,4559.396923076922,61719.268673110135,464587.8758704453,0.025152248149199846,0.010227802444442267,0.0057936429688250956,0.006478426388932343,0.006578116397990663,0.0007393961991910928,0.005698306111449921,0.04205568522860379,217703.64555204794,254119.84890323397,189795.7541599902,203405.76682758227,132466.26342703152,88550.53416167642,74288.85330012845,848596.9194016006,213351.62512225768,248095.3618479778,185201.12491038023,197405.17420663332,128082.01973599898,6101.389792241385,71908.74953597927,818044.3616374285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004704539876330471,0.002320357247360736,0.004627047770029629,0.0047352259284135795,0.004114342091385685,0.004032621754352469,0.0017069939000650307,0.0035089380304253086,0.001649752347774233,0.009342865173670346,0.004295218294635185,0.04792533609415803,0.4168574731042715,0.0038375517155294116,0.001359271240470588,0.0037992257215350134,0.003509200299647059,0.002843240804235294,0.0026892008443473387,0.0009322912139663864,0.0020131172133949576,0.0009351954978991596,0.005222599290420168,0.003503349226291317,0.031016120835559612,0.22491808081854012
