api-gateway_sidecar_energy,clientone_sidecar_energy,clientthree_sidecar_energy,clienttwo_sidecar_energy,orchestrator_sidecar_energy,policy-enforcer_sidecar_energy,server_sidecar_energy
624.1998857142856,1088.079428571428,922.0508571428572,937.8764571428565,554.7054857142848,602.8234285714286,1081.6632000000004
628.0385142857137,1089.6949714285715,916.1814857142857,938.1130285714274,556.869942857142,607.7982857142863,1082.8347428571437
628.0385142857137,1081.7712000000004,918.7333714285714,932.0660571428565,556.869942857142,607.7982857142863,1086.7580571428573
626.3976000000004,1080.5351999999996,917.3314285714283,933.1669714285714,554.7905142857151,607.2068571428572,1091.2131428571424
626.3976000000004,1080.5965714285715,920.7479999999993,932.8909714285712,554.7905142857151,607.2068571428572,1103.2906285714275
631.1290285714286,1080.864342857143,912.8502857142851,930.9613714285712,559.0539428571433,612.3366857142853,1105.089599999999
631.1290285714286,1078.864114285714,913.6025142857134,933.1200000000005,559.0539428571433,612.3366857142853,1105.5071999999996
630.1491428571433,1077.9589714285712,914.991428571427,931.5552,557.7277714285716,612.0078857142864,1106.9221714285711
630.1491428571433,1078.6227428571424,915.3517714285703,934.2593142857138,557.7277714285716,612.0078857142864,1112.128799999999
631.2438857142849,1079.356799999999,908.9036571428567,933.1227428571425,558.391885714286,613.6268571428564,1113.9545142857137
631.2438857142849,1073.5635428571427,905.2693714285712,935.3948571428573,558.391885714286,613.6268571428564,1110.1217142857136
626.5409142857145,1073.2272,908.2827428571427,933.0733714285722,554.1195428571438,609.7546285714285,1107.7546285714277
626.5409142857145,1074.5190857142866,907.8781714285711,936.3713142857141,554.1195428571438,609.7546285714285,1108.7358857142865
627.7426285714286,1075.6169142857157,909.2924571428582,932.7510857142854,555.458742857143,610.6460571428576,1105.417371428572
627.7426285714286,1076.5292571428577,907.508571428572,936.3644571428574,555.458742857143,610.6460571428576,1096.599771428571
623.3444571428566,1075.9858285714286,918.1025142857137,935.9540571428576,551.2964571428569,606.5485714285711,1093.9073142857142
623.3444571428566,1082.0345142857132,919.7917714285713,938.8124571428574,551.2964571428569,606.5485714285711,1096.0518857142856
625.3522285714286,1082.7524571428564,920.0797714285724,938.0571428571432,553.2277714285706,608.6530285714279,1090.1886857142854
625.3522285714286,1081.4931428571426,921.499885714287,937.4046857142855,553.2277714285706,608.6530285714279,1088.4757714285715
623.6725714285718,1082.0372571428566,928.1403428571435,937.8058285714282,552.1018285714283,607.1784000000009,1086.4919999999995
623.6725714285718,1088.3496000000002,932.7366857142864,935.3732571428569,552.1018285714283,607.1784000000009,1089.2955428571424
626.0526857142858,1089.2358857142863,932.2083428571432,935.4195428571429,554.5892571428568,609.6565714285713,1089.641142857142
626.0526857142858,1087.786971428572,933.3150857142858,934.7016000000007,554.5892571428568,609.6565714285713,1088.3245714285708
624.5461714285716,1085.5080000000005,936.7508571428568,935.8731428571431,552.3569142857135,609.3593142857143,1091.6317714285715
624.5461714285716,1086.5893714285703,939.8341714285716,933.0637714285709,552.3569142857135,609.3593142857143,1097.2326857142866
