api-gateway_energy,clientone_energy,clientthree_energy,clienttwo_energy,orchestrator_energy,policy_energy,policy-enforcer_energy,rabbitmq_energy,server_energy,sidecar_energy
63.16195041229889,63.852567880602635,35.884899865190285,30.807098468518006,49.157494144466476,32.709626308236736,61.18261095255262,57.28380881761415,44.39470634226847,275.4714993390637
68.79737311978268,64.7126811633315,42.34337693145412,33.281833742651216,56.512065064163046,31.089803195364745,62.168802731538705,53.46890428140543,44.902358250509444,227.09468350136848
48.7119887087814,69.04909130768004,44.06229347843305,31.88326475793389,54.813473943585805,30.61339533616196,68.80295979646283,43.597309067431866,49.55538839179039,172.75803162992028
64.56987564251445,68.05511533887591,50.52753170867757,35.38564802577605,66.19640374373887,28.571649619716233,72.42937381894218,43.618395017116875,51.225772239355294,160.01044035711948
48.247364204542095,78.83863877639035,52.03250992671295,31.986672318454406,64.92877607787949,29.208491223589128,78.62215361183681,52.25765141797291,58.772555477771625,166.72277720191977
62.2465063741554,76.87950825640648,42.38592731267155,30.44470655775415,69.4462610447379,26.036836254384344,81.62069174708999,54.03511376692025,58.29596964792543,159.51608791153043
57.23268037912958,75.63829008525005,49.93853269280334,31.51889798135635,70.41190522805739,25.471322921982743,82.16251455643702,47.56395262887303,61.72786792444639,144.34561083947239
74.62603541873554,76.11126084508545,46.80987497979999,30.254631771693703,69.55487317342651,22.426793363551813,81.6271750100067,51.39262754591906,59.90961948175713,129.05440483385368
73.14937908779949,72.15225885895111,45.50250753314707,25.964958653492364,69.3690167432001,22.590494604987757,80.95401168544612,63.29243739483894,56.87588660920971,118.71512804844633
64.92379779905855,74.99500220060955,42.349992240946314,27.384256498945156,65.58723666876732,19.307796766264012,82.58545111658964,65.31266574568944,56.79698523761342,112.27333538976653
77.16544211529502,61.73378997612487,38.44505696737229,28.75930620718058,66.16910326040184,18.710021216187673,79.37649803495921,62.9838753952476,48.612282866765526,118.79309430570092
56.75335719969977,60.77494404876578,39.235125994912536,28.207169501706097,57.19733042550237,19.58464932897104,76.92181182367416,62.43510132047484,47.26739728301353,242.9708384679452
69.37399441106388,53.739644815062015,30.518609140479562,24.097954391294657,56.49142663461513,18.53524709700251,68.70138084299246,65.05728466525478,44.950328408507524,118.22663049410346
46.443620825281414,52.216222671441024,33.82542191709363,25.04206047204858,46.96802105979115,19.274040355899007,65.00091768642247,67.48831485864494,43.676492495789475,100.01035710440128
57.050954159656655,40.792979226272415,33.495071917266955,22.92719692115063,43.74936231754684,17.10625225620894,56.14731106607899,66.4855214475679,36.63476850630024,104.42406414114379
40.00647009813363,46.247099209284556,33.70416193569776,24.189849167426413,33.653773910459506,18.016339142056907,43.17345585861195,64.73697777767848,35.874213496491045,84.40460058880879
40.73254813538794,42.73866098424813,34.55606844606257,17.22369522655122,24.71848413133348,19.06844301853198,37.10930644703046,72.33878037260425,28.737935928607993,166.6595061809012
28.71211573616972,43.9588538982645,35.52572639260802,19.519198926352797,19.585025636741904,21.995365463604454,26.090075119141623,76.97962224285742,30.774163900180035,87.81791671280146
