api-gateway_energy,clientone_energy,clientthree_energy,clienttwo_energy,orchestrator_energy,policy_energy,policy-enforcer_energy,rabbitmq_energy,server_energy,sidecar_energy
537.0281142857141,1065.6147428571435,1028.0355428571431,943.8024000000005,410.00365714285726,781.6817142857142,439.00251428571437,2260.92857142857,1108.6179428571431,9273.091092248194
497.02601097207724,1062.6445714285715,1018.2582857142861,939.6524571428575,388.6909492242782,779.4648000000004,425.21667899531013,2262.157873689681,1100.3663999999999,9059.545456344573
466.39926811493433,1063.3309714285713,1011.0010285714292,926.9746285714289,374.3499206528496,779.1730285714287,413.1282218524531,2269.057873689681,1097.3269714285711,8785.31612535697
424.5565714285716,1063.6889142857149,1005.6720000000003,921.8057142857144,352.46091428571424,779.7493714285715,399.6473142857143,2261.7003428571415,1091.4250285714288,8585.786629100952
397.92651428571435,1074.0630857142855,1007.2069714285717,915.9126857142859,342.04080000000005,779.5318469213709,389.52891428571405,2273.5535999999993,1096.8462857142858,8360.062821967857
374.38148571428553,1077.1031999999993,1013.5392000000007,918.6565714285719,338.2762285714284,779.0377897785137,387.703542857143,2286.9936000000002,1100.2189714285714,8294.816920304283
362.0825142857142,1078.668,1022.8148571428576,917.0914285714287,338.1918857142856,778.3741714285718,388.104342857143,2297.2309714285707,1104.6284571428575,8306.932114285715
343.63405714285716,1078.3937142857135,1024.2630857142854,919.0584000000001,339.4806857142858,778.3234285714286,389.44079999999997,2293.8905142857134,1106.8731428571434,8302.875428571428
332.65851428571426,1081.7434285714278,1023.9983999999993,913.671428571429,339.9874285714287,776.8206857142856,390.61131428571423,2304.908228571428,1104.778628571429,8308.615885714284
337.98,1076.8776,1024.6316571428565,910.8051428571431,348.79440000000017,779.0770285714289,395.84811428571436,2307.6442285714284,1098.8125714285713,8280.854057142857
360.4299428571429,1066.7657142857142,1019.6502857142856,901.8452571428567,359.7737142857144,777.6699428571434,404.99725714285717,2305.852114285714,1089.7361142857137,8230.673692586432
398.25702857142875,1069.9261714285713,1031.3537142857137,905.771657142857,379.7393142857145,777.7426285714288,417.00719999999984,2297.94,1094.5734857142857,8403.090203760716
435.6102910330079,1072.3700571428574,1039.9350857142854,916.9484571428569,397.28084193701585,776.1949714285711,432.61678944336563,2296.679461405945,1105.7653714285711,8955.258516305723
476.68669817586476,1074.023657142857,1051.5288000000005,921.8471999999996,417.95341336558704,779.6166857142854,445.7811323005085,2300.7299756916605,1110.503999999999,9290.489665753581
508.8761411542857,1067.0807999999993,1049.068114285714,929.6715428571426,432.9693387371429,779.6530285714285,459.05965714285713,2293.2373714285727,1108.4262857142853,9476.74011953143
536.0653554399998,1059.9384000000002,1045.246628571428,927.0867428571426,442.5593142857144,781.8994285714283,459.85200000000015,2283.140228571428,1107.5694857142857,9593.290689099287
551.2779790514286,1055.5093714285717,1035.5005714285705,923.1260571428566,440.0866435485714,780.8406857142857,461.15999999999985,2276.5525714285704,1096.3296000000005,9466.449084547143
569.2931933371431,1053.8132571428573,1033.1581714285705,923.0653714285709,442.4338285714283,780.6977142857139,454.40639999999985,2273.561142857143,1092.8879999999997,9438.074341582738
