aggregator_energy,api-gateway_energy,authority_energy,clientone_energy,clientthree_energy,clienttwo_energy,orchestrator_energy,policy_energy,policy-enforcer_energy,rabbitmq_energy,server_energy,sidecar_energy,system_processes_energy
4853.645536900962,2138.142500488301,4900.4170868774045,4834.650459243589,4295.759623107265,4155.85628397532,1741.6040919541665,3642.9356212820517,1745.2844943105767,10197.07069457272,4539.306050387179,47893.60484043569,429942.34720896324
4867.8741404466155,2126.7503008011286,4924.090330268974,4858.154422064102,4310.119646182512,4172.927033206462,1747.8999081472814,3651.1945091025646,1748.327538123385,10222.615484226282,4556.341093976923,47743.996685386,430792.08429981215
4880.798076600462,2103.3592449036923,4938.817743345896,4885.451963141025,4327.861989515845,4189.929802950051,1748.9369932754862,3660.345562317188,1752.8268678669747,10259.636134867304,4572.931306416666,47595.002666723456,431435.8104996224
4898.397510639745,2091.734229282051,4960.084675211538,4910.513533653843,4346.89138709423,4206.003308950641,1755.9061871705119,3667.9091249952507,1756.6735524782052,10292.11282716923,4592.640902570513,47462.7979871482,432400.38410957943
4916.460850383333,2069.127819025641,4974.583822647436,4935.6982993233605,4364.836409530129,4226.218183950641,1757.0390269141026,3674.610260247253,1761.1511358115379,10343.276878451283,4610.368558174975,47318.955985414796,433277.85229811195
4931.3380801749745,2056.736224558262,4991.924784871794,4958.272996616808,4382.8772247854695,4239.4941520468665,1763.738462940171,3682.2553671611718,1764.4929005115382,10364.961708545141,4626.470315297483,47161.641017539696,434052.69892386923
4949.084209092355,2033.5560457833333,5005.448574045585,4985.394349070511,4399.440211964958,4253.213755323218,1765.2747022564106,3690.5687349867367,1768.934368460256,10398.01169160375,4641.722683418269,47003.86949763427,434697.58708056156
4968.914826467629,2021.2820278785712,5028.086861760531,5011.399562898351,4418.643280541346,4267.387163421382,1772.7228860277476,3697.051194314765,1773.315226043772,10426.155673746463,4658.462515606913,46871.99112910789,435572.00617584144
4992.5191870445515,1997.93483648663,5044.759423573719,5040.551129617595,4438.982365477244,4284.05303361369,1774.26005315229,3704.7388309999988,1776.2732745785713,10474.630880421975,4680.790810585542,46744.033124799724,436523.48106155684
5007.197537341998,1986.2245367107873,5069.247055542441,5059.197440183464,4457.992263748453,4295.86194138634,1782.14166079863,3709.416127153845,1779.996483148497,10496.543315006667,4695.292957579353,46591.739717194905,437395.2108005633
5029.138855644384,1962.0053983376658,5084.341185958001,5085.972207935897,4475.309441025199,4310.369442049469,1782.5987949719272,3717.508417923902,1781.8229307612291,10525.514732955382,4717.451186380556,46439.60790286247,438122.8687824399
5045.111832861326,1949.6927229958976,5109.2556266314095,5104.779386141026,4494.952892696282,4323.531944368206,1791.43124703923,3721.9319747890804,1786.7352956646157,10558.284094563436,4732.788031893376,46295.652182251804,439011.82337474724
5065.9431886305565,1925.1719588933336,5128.677969580127,5129.8839576488845,4512.891258721924,4340.959728983591,1791.5883534494867,3730.0279818269214,1788.0730546389748,10604.874877028285,4751.957158336022,46148.49106136439,440064.6956872018
5074.408023660918,1911.8807781773778,5152.445033586021,5146.129786639786,4530.840725047147,4351.160706079198,1799.2453520693543,3737.1003027403826,1792.1698161296117,10624.294813385699,4765.835156888544,45980.06101479162,440829.53303871833
5093.261791030644,1886.5507242071544,5169.452357407362,5170.5100834214745,4546.417457884202,4367.26323399483,1799.1350226648876,3745.649548041956,1792.8812623661706,10657.997116470635,4786.265675235977,45822.62240758713,441684.10621220624
5105.744259764462,1873.0813443069708,5199.239812467949,5189.936839030448,4560.923091830288,4380.594373509415,1807.0571420279641,3754.64657193473,1797.715695058333,10688.337230060257,4802.3850073673875,45679.561393616896,442473.0569887632
5128.5531097243975,1848.0396379768429,5219.252472724359,5212.591867604894,4575.783445195673,4396.929482684093,1808.079064704246,3762.6735390497756,1799.5080059557688,10734.751569803846,4824.304829387529,45525.0669963903,443518.268544781
5138.795835841142,1834.6699591241259,5249.345348266317,5228.4507201689985,4587.952584178671,4409.363111620164,1814.7954759355473,3772.3205552639533,1805.3120558501162,10756.46157452436,4839.804697103148,45370.16732589353,444156.75012933416
5156.795639454195,1808.697310522727,5267.265053977273,5250.916513976246,4599.555703642542,4423.958104044405,1814.372910084732,3778.5456284981683,1805.7973320738927,10788.888016077903,4864.419552539217,45195.551455642206,444969.5283162573
5171.136235008974,1794.6198029653842,5299.734274711915,5270.224764918929,4611.620125654564,4438.595112631523,1821.0042099743584,3786.736612014652,1812.4629049980767,10819.038170976042,4881.355524635747,45062.14892531542,445830.9542023447
5194.13763810098,1769.8265190287327,5317.753921770739,5288.291092639193,4623.529096054262,4453.161484426396,1819.285680562594,3792.9454163461555,1813.7857328638381,10859.883596983369,4906.9590290846145,44885.80699950486,446766.5734284585
5206.255648340914,1756.9432273887912,5342.37306172033,5305.127402346153,4637.401841771172,4467.671957234102,1825.9087796256774,3802.253100641027,1820.7137056542124,10882.23406565075,4918.459108571793,44733.2263515755,447347.687890874
5228.300643395861,1732.0488929565574,5360.209861537179,5325.557978338676,4648.987411917692,4480.365850457546,1824.24019189674,3809.6211246292446,1821.2318668263736,10916.057335415708,4942.576333469372,44551.82709733382,448108.98683848063
5243.128427011075,1719.0270101867525,5381.560861684294,5342.017356009616,4663.804456613318,4497.512714684508,1829.9375384702996,3817.618855398476,1828.44932210203,10950.001861970479,4956.206053554842,44417.00515595238,448854.28714050545
5263.913503399962,1694.6486490756408,5402.077938073181,5361.32399184858,4682.032573066311,4511.930593423823,1828.7979348378205,3824.9647539068847,1829.5963867387818,10991.161367860985,4980.27172840402,44239.39738038535,449997.4410789069
5275.866319030282,1680.7197166875258,5419.255666240124,5374.223933809771,4696.6729787948725,4523.445849034891,1833.0623849829517,3832.0846246153856,1836.8042929844069,11005.178236919937,4993.197826117116,44082.97647174669,450646.8987007963
5294.9241059325705,1655.4903372696463,5435.806307612267,5394.105380681512,4713.488893555786,4537.4723370806305,1832.1719151284824,3838.7582699145282,1837.819059096673,11054.041879850438,5017.841078150639,43871.35178958293,451259.5292801978
5310.9954686502015,1642.8980887457822,5455.0053751136975,5410.214818603239,4732.374458741396,4555.031646330702,1837.208002310999,3842.0456410256397,1846.1624371646083,11078.411794871796,5032.075091139845,43758.4878666888,451440.67487273767
5329.001178501753,1618.459432052429,5472.347724303981,5430.47279903846,4755.212796175606,4571.057521457557,1835.9340830628887,3846.009743589743,1848.99203727058,11100.562564102564,5067.929442083333,43562.19545101374,451572.7755290242
5350.185641025641,1606.8184615384625,5500.629174314102,5445.427510576921,4773.828205128205,4587.867498720513,1840.3443962282047,3844.2030769230764,1853.9158974358973,11101.585128205128,5079.665641025641,43461.64921977965,451051.1694557113
5365.110769230769,1596.7912820512827,5510.336923076923,5460.603076923076,4786.532820512821,4599.640512820512,1834.2123076923071,3846.5666666666657,1848.2989743589744,11095.637435897437,5097.072307692308,43390.80610701121,449817.64683039644
5370.659487179485,1597.2507692307688,5520.356410256412,5466.615384615383,4798.62923076923,4604.682051282051,1833.7958974358971,3848.153333333332,1848.405128205128,11096.84923076923,5104.260512820511,43429.391282051285,449195.5202153724
5370.62205128205,1593.5082051282045,5525.0994871794865,5466.96769230769,4803.177948717947,4609.591282051283,1826.7199999999993,3851.227692307692,1841.962051282051,11106.359999999999,5115.780512820512,43459.03692307693,449035.7512820512
5372.207692307692,1594.7717948717948,5529.2246153846145,5468.460512820511,4810.958974358975,4607.894871794872,1826.2646153846151,3853.9061538461538,1841.2764102564104,11096.88923076923,5120.07846153846,43485.576410256406,448522.71538461535
5373.5543589743575,1589.7666666666664,5531.860512820513,5477.004615384613,4817.6871794871795,4614.323076923077,1819.4087179487178,3855.350769230769,1835.1056410256413,11093.684102564104,5131.612307692307,43531.796923076916,447965.53641025635
5377.18923076923,1589.2635897435896,5541.675897435896,5482.943076923075,4822.287692307691,4615.1461538461535,1819.2666666666662,3857.318461538462,1835.2507692307693,11089.05948717949,5138.167692307693,43572.14923076923,447508.9697435897
5375.273333333332,1582.170769230769,5540.002051282052,5485.493846153847,4828.059999999999,4616.836923076922,1812.0615384615385,3861.6610256410254,1828.3189743589744,11102.720000000001,5145.7369230769245,43594.95076923077,447547.3805128205
5376.296923076922,1582.951282051282,5548.931794871794,5486.492307692309,4834.152820512819,4612.6820512820495,1811.4225641025641,3861.441025641025,1827.3389743589744,11095.238974358974,5150.173846153847,43622.053846153845,447104.78102564096
5378.886666666666,1579.9143589743592,5546.880512820512,5493.870256410257,4838.134358974358,4612.077948717949,1804.318461538461,3863.656923076922,1819.5774358974359,11090.51128205128,5157.893333333333,43647.45948717949,446740.9215384615
5378.897435897436,1579.2974358974354,5554.213846153845,5498.486153846155,4839.677948717949,4606.4820512820515,1802.8994871794873,3864.8251282051274,1818.805128205128,11087.16461538461,5164.820512820513,43678.21076923076,446502.724102564
5376.924102564101,1582.902564102564,5547.172307692305,5494.2241025641015,4836.5205128205125,4604.694358974358,1800.0625641025645,3869.043076923075,1815.7579487179491,11088.1241025641,5160.815384615385,43650.806153846155,447608.24256410246
5365.884615384614,1597.8917948717954,5531.718461538461,5486.696923076922,4824.69282051282,4594.550769230768,1799.6415384615386,3871.07846153846,1812.7646153846156,11074.894871794872,5158.871794871797,43589.740512820514,448548.53999999986
5355.787692307692,1621.6215384615382,5519.988205128204,5473.492820512819,4816.005128205127,4583.282564102564,1803.7276923076922,3870.120512820513,1816.7379487179485,11062.008717948716,5148.841025641027,43847.972769144864,449052.3923076922
5353.9758974358965,1648.2035897435892,5510.114871794872,5472.7676923076915,4809.932307692307,4576.9374358974355,1798.6589743589736,3871.7825641025643,1809.5456410256404,11051.938461538462,5148.970769230768,44479.73897238846,449089.5902564102
5359.177435897434,1673.8430769230772,5506.870256410257,5467.751794871795,4808.514871794871,4575.285641025642,1802.535384615384,3873.664102564102,1812.6087179487174,11055.059999999998,5139.413846153846,44963.9436155,448975.96666666656
5353.463076923076,1699.9589743589743,5502.733846153843,5464.346153846155,4806.77846153846,4571.619487179487,1796.6851282051282,3877.9153846153836,1804.741025641025,11039.69333333333,5141.024615384616,45256.10111623205,448585.1405128204
5354.19282051282,1725.4723076923074,5495.988717948715,5459.401538461539,4802.418461538461,4571.97641025641,1799.274871794871,3876.522564102564,1806.0579487179493,11025.323076923078,5128.4348717948715,45569.64869347543,448147.616923077
5350.677435897435,1751.3509547666665,5487.981025641025,5455.525128205128,4801.010769230768,4568.9805128205135,1792.834871794871,3876.741538461539,1797.6676923076932,11014.970769230766,5126.030769230769,45872.71352992585,448016.6902564103
5350.683076923077,1777.010256410256,5476.957435897435,5447.349743589742,4793.745641025641,4567.306666666666,1794.9630769230764,3875.9230769230767,1798.9523076923076,11015.813846153846,5111.865128205128,46175.418596846255,448268.76871794864
5338.714358974358,1803.3529751307685,5460.755384615383,5441.0164102564095,4790.441025641024,4562.4753846153835,1789.373333333333,3876.6005128205124,1792.2876923076917,11004.535897435897,5107.8082051282045,46452.08170078942,448199.14256410254
5338.0199999999995,1827.9046153846155,5455.21282051282,5434.403076923076,4778.987179487177,4558.961538461538,1791.0594871794867,3876.561538461539,1793.7205128205123,10990.952307692309,5094.206153846153,46761.567311200255,448111.0256410257
5328.210256410258,1852.9367867641029,5434.946666666668,5431.705641025639,4776.589743589743,4554.669743589744,1784.7246153846156,3871.687692307692,1786.4748717948717,10985.265128205128,5087.945128205127,47032.20307594563,448347.06717948715
5327.072307692309,1877.4733333333334,5424.944615384615,5427.011282051281,4764.550769230768,4550.824615384616,1786.4307692307686,3871.328205128206,1788.0543589743586,10985.723076923075,5071.503076923076,47327.8445743405,448747.6251282051
5313.483076923076,1903.916394138461,5409.4702564102545,5421.502564102564,4759.931282051281,4543.4364102564095,1780.2112820512814,3870.769230769232,1780.7189743589743,10970.068717948716,5063.599487179487,47580.47641674918,448833.901025641
5307.6046153846155,1928.948205128204,5404.58205128205,5411.183589743589,4745.950256410257,4536.833846153843,1782.7892307692307,3869.292820512819,1782.4328205128197,10958.17846153846,5047.589743589743,47858.86045943788,448812.7061538461
5299.250256410257,1955.666571153846,5393.088717948717,5406.58717948718,4741.013846153846,4530.851794871793,1776.1415384615382,3866.934871794871,1774.9230769230755,10955.003589743588,5044.2717948717955,48140.41080894022,448890.4923076923
5295.722564102564,1982.0866666666668,5388.575897435895,5391.277435897436,4728.368717948718,4520.866153846152,1778.9312820512816,3865.61076923077,1776.338974358974,10960.039487179487,5031.751282051282,48416.76028743173,449217.022051282
5284.114358974358,2009.7906967333336,5385.103076923074,5382.172307692307,4723.535384615385,4511.544102564101,1772.5153846153846,3865.14923076923,1768.7015384615381,10953.388205128207,5024.168717948717,48692.15145895909,449300.67333333334
5276.626153846152,2036.0071794871794,5374.521538461536,5368.968205128205,4709.166666666667,4502.157435897436,1775.4466666666667,3863.3564102564083,1769.471282051282,10940.885641025641,5018.240512820512,48965.627424370905,449433.2189743589
5272.0199999999995,2062.319733770513,5368.581538461538,5362.593333333333,4705.687692307692,4488.748205128206,1769.1707692307693,3861.7887179487157,1763.5779487179486,10942.478974358974,5011.210256410256,49249.57357983221,449566.4743589743
5269.013333333332,2089.0410256410255,5363.770769230769,5353.484102564102,4692.4820512820515,4480.541025641026,1771.838461538462,3859.3020512820517,1764.2743589743593,10944.692820512819,5003.378974358975,49546.9512721315,449979.55794871785
5263.20205128205,2114.312383555128,5359.131794871794,5347.146666666665,4681.434871794873,4471.069230769232,1763.9538461538468,3857.6307692307696,1756.2625641025643,10936.152820512818,4993.766666666666,49816.59768844229,450081.8743589744
5260.193846153846,2139.5087179487177,5351.14923076923,5338.5841025641,4671.907692307693,4462.924615384615,1767.0892307692309,3855.186153846154,1757.3553846153854,10926.043076923073,4986.329743589743,50110.45977955559,450301.5035897436
5252.513333333333,2166.1412097910247,5340.50205128205,5334.588205128203,4661.54923076923,4457.744102564102,1760.7041025641022,3853.1348717948727,1750.3184615384625,10929.78769230769,4980.1861538461535,50393.749714068625,450437.34205128206
5246.318974358973,2191.8230769230763,5333.346001461675,5322.0148717948705,4653.732307692307,4453.251794871793,1764.0338461538458,3850.9266666666667,1752.0912820512822,10929.719487179485,4974.568205128205,50689.99735879944,450966.5915684305
5241.123076923076,2216.7487665320514,5324.6701040257785,5314.915897435897,4641.383076923077,4449.090256410255,1756.5492307692305,3850.3148717948716,1743.9174358974353,10922.23846153846,4968.55282051282,50973.90484747562,451102.3079786869
