aggregator_energy,api-gateway_energy,authority_energy,clientone_energy,clientthree_energy,clienttwo_energy,orchestrator_energy,policy_energy,policy-enforcer_energy,rabbitmq_energy,server_energy,sidecar_energy,system_processes_energy
1486.4138667471702,1106.299302915131,1468.531257382331,1409.004664019115,1267.5079514568313,1227.84077725521,567.6028492271847,1133.959495873048,572.0057870125461,3114.6499862790774,1351.430304358967,20369.13725942334,134616.6467948423
1459.1775361549562,1083.9777119536193,1448.145159338304,1387.8122150722418,1247.9645067856598,1205.7780383493734,560.141529270238,1109.5171208653994,563.656559130304,3059.190451899996,1328.5647271638557,20019.12534026615,132309.95610706182
1431.9518397088536,1068.0148294245528,1423.295084327684,1363.053567612906,1226.6423636642792,1180.269898670438,550.4053000168791,1089.7970114957222,554.5490377782271,3014.685479392346,1306.717090954651,19665.303870057858,130080.76643719719
1405.2567501748856,1045.8183814670435,1399.3609746749073,1340.094003551668,1208.6127518988076,1157.8902703078327,543.2320588364113,1065.7466552257583,545.9037402065758,2963.3755358891,1283.4756055436937,19326.851146116493,127938.82575600654
1373.6400588140475,1030.6252740663806,1373.637152911549,1314.5706317002732,1185.989114098973,1134.4703292829463,534.9279987746177,1046.4938561420704,538.0603550296155,2902.8779179703747,1260.5276419732108,18964.259654949845,125556.19176722031
1346.6980327534989,1007.7288942464229,1352.0486285164814,1292.5982072723627,1166.4163306127646,1111.7224266502033,528.0661197908622,1021.8957158949898,529.062452694947,2844.4284418751317,1239.5238356071732,18632.06007238619,123224.22801398279
1317.6025293276946,992.1572166442251,1327.3113405391045,1268.7480816330842,1146.2864125264691,1092.191402851794,519.0867671487773,1002.1457794381398,522.165195687151,2803.718869688463,1217.0563927066044,18285.378398511824,121001.36151335631
1292.3990996626662,970.0195090028731,1304.1460851618676,1246.5021227359798,1128.9024674921181,1070.4200437374282,512.5799585361009,979.2567477493236,513.2631722680176,2751.5273113106437,1196.2539085470974,17951.655543023353,118788.12334143497
1258.9232094712327,955.3364877142315,1280.23800127277,1222.0824289079885,1108.0027038008182,1054.0144107737353,503.8191749106807,960.2785308693731,506.19059147419983,2689.0756855253444,1174.0398483169904,17597.51044176612,116391.06264763616
1230.7052109513177,932.11931116796,1255.6808769445722,1206.364063315801,1090.8567013500995,1033.08521681128,496.88952215684486,935.1924173231725,497.72911173329777,2630.618213746701,1149.3698818573575,17262.521865210998,114011.39781236302
1195.2111288606218,917.3852212294381,1234.6705766827258,1183.660452677998,1069.4574902513264,1017.147666511701,488.19922575347056,915.4032755783074,490.3163528635553,2582.4423228133683,1127.9415254308149,16913.286013484154,111702.24368623878
1169.2016074018838,893.9604782608465,1213.0903753427708,1164.886625011562,1052.057891704353,995.7425904061552,481.5789537136474,893.9666227991688,481.9815403000613,2529.612953185257,1103.905372387659,16567.713566503862,109369.57437339447
1143.252426393815,878.8801826784904,1191.7637684363722,1140.942018796579,1027.171597009582,977.0244357814144,473.41486513964907,874.5127586616667,474.10198345138406,2465.7525657389447,1082.1950590526726,16217.516554414995,106927.85786889891
1117.4379418091041,855.3885155696097,1164.7564699275902,1120.0234343368595,1008.985528025619,955.4721755571643,466.97388130532056,850.1276640101438,465.90551622450914,2408.2414954393316,1054.057201348136,15867.193044233214,104489.8553751019
1091.5467071018975,841.164446421636,1142.206444811002,1095.109013876365,986.6685191813324,935.2931524094781,458.6857588911406,830.4434968269212,457.1533020002679,2361.8680150955574,1033.9348079122344,15521.609706942847,102157.75684246256
1065.1552339982525,818.5682784282694,1118.4959078717723,1071.1852799152011,967.1053074037757,914.886149087455,452.99648827942485,804.6078709846903,448.6911146531827,2307.8492844496777,1006.7061292011531,15170.529339734065,99742.79986475121
1032.0013876372611,804.0642498060394,1084.9315211276596,1044.6424492940046,945.2676807814534,893.8118065593465,444.70264697263855,784.24293870068,439.99136676489917,2240.2172871937887,984.5919915793876,14793.8216546593,97232.43266736784
1006.7886413281826,781.1825428032607,1058.8041394120166,1025.464089419642,923.9693509615628,872.2932067651707,439.0760405984524,758.0286089896563,431.9088565755492,2179.867789677975,958.6636213907583,14444.914474588808,94719.18596310502
980.5578395463102,767.4315284557283,1028.563493115698,1001.9517860466965,904.668166382386,855.1814400772109,432.2512640313245,736.4825172109836,423.7754152958916,2132.249652120167,936.1067597005264,14089.809771885917,92382.06889743013
956.5379988424743,745.6762291664155,1003.6733851553939,980.0368135297996,883.2808380545158,834.1033702820164,427.40246567600366,712.8952106704911,415.86872203113904,2080.5282278426253,910.9379965975934,13741.81820015866,90036.71773468617
926.0532368846293,731.2410925253761,974.0151345326334,957.3378679933281,862.8353168638132,812.9214358031294,420.39634705774426,691.1220363426467,409.91716334931925,2021.1174459314554,888.5563540046783,13382.503403239712,87499.044821346
900.577893115793,709.6883097292339,949.2936379060425,928.4154328394922,840.0651259039535,792.5696003479774,416.37239547441254,667.4692535809812,401.85310234953045,1965.222956212152,865.1886042970854,13031.42098844951,85064.79525241343
878.1216413390283,692.7103012377462,919.8640899602345,907.2141381859251,820.5278794734502,768.9724289047764,410.0728127628998,645.3624183452824,396.4431121545185,1918.6965336996948,841.8494499492888,12679.628408459572,82764.75096555227
852.480275479063,670.2627010477416,893.3292028210901,876.7159550474814,798.0809989729947,747.7536215766618,406.2799558655924,624.652534751085,388.5391131442405,1868.1861464175804,819.326970832776,12321.268606260834,80423.88752014452
830.0617315967966,653.7194590894032,867.9043553561917,854.404824508578,776.2935127439287,727.1699229142964,400.5364976839622,603.5424899133658,384.4900669966508,1806.309798914511,793.3194052007678,11969.082293217332,77907.59323873436
805.5322316153145,631.6447140677873,839.8991015980811,830.4311082870762,754.8958071629579,706.341409543573,397.33432116570964,583.975418112563,376.93356083959605,1752.802285998755,775.4000701485537,11628.28848865374,75406.80496287273
785.7345606168882,615.4515773912386,821.0330342557648,808.7205963429515,730.131693984471,684.2558603575934,391.7780932289352,562.813672960956,371.8017383845247,1709.7791140489098,751.1906463948732,11287.436345098735,73171.81191070464
763.0388152369034,594.7367803480913,793.6245469998742,779.5500470454863,709.4176659478181,663.897917459937,388.3613617765154,543.4360949069217,364.21787168084126,1660.3941021949136,732.6863899923812,10941.864651669937,70898.59279344919
738.6598649816619,578.8954718578965,777.2447377829835,758.5200434890662,683.324013888889,643.6936457224131,383.2802567198843,522.322499085048,359.25905881301384,1597.8810757981657,706.8306089153035,10592.0763112921,68440.19899815349
713.9492238014826,559.5029692592428,751.255109114222,734.7945973193675,663.2004165607698,624.5053553306153,379.6938252657846,502.32977470651554,352.568952177004,1545.3653228650517,689.0304618123396,10264.142760217608,66016.66076817964
696.5674388474108,544.1779109096891,736.3304170157018,713.8427055284656,638.9572080159116,607.7625682256905,375.8784184077701,481.53654796886593,350.26070329906827,1507.7683223884108,665.3422088334997,9942.723524911487,63664.093826683806
672.1988094285263,525.5410436403769,710.0030868191167,693.8653950101284,618.9600328635585,588.9489044742554,373.4041097537109,462.2781003689942,343.8035022811829,1461.342156870153,645.136895031141,9605.706608962531,61310.29500203461
654.4511049626345,509.56815310434365,690.6320988395012,672.7805374512902,593.9927202435325,567.2809268023478,363.88807583732074,441.52632110774,335.324471748804,1401.003176010173,622.2243061237365,9268.906441742503,58948.92033063562
627.7831091137543,491.2665359742272,664.4726029200743,649.1776410477133,573.7765148788757,546.8530834871464,362.2023135868588,420.3098881452846,329.4993260809613,1350.9879432092832,605.2853296099975,8938.371602193605,56569.56045447443
608.0566095261249,477.3365645632677,644.1228638850216,627.7385678798455,550.4340327315451,527.6534002508392,355.00689270166987,399.20428211766273,322.3096625290344,1315.4091545618567,584.1908040241952,8615.651730666888,54245.21769214693
584.2353383279809,460.2263507739532,617.9031765356128,602.6972187294613,530.6991201667845,508.3015785303188,354.59868977926163,380.7720281664569,317.6071965835018,1272.3958677637715,565.1166346021437,8281.734301016824,51932.492731380706
563.2957571785771,446.5155183402132,587.3146544380199,580.1105117008112,508.54837351550816,488.4635685879064,347.7012953387186,359.6854795657852,310.60473678079677,1213.8275076374632,542.5573216886847,7936.808536035606,49568.49439979951
539.5489045838889,430.2075756029263,560.4874758532208,556.6323976374184,488.2641046124246,466.43416566790444,348.04731991227936,339.59430248108094,307.1851184459057,1162.1254360100413,523.431119402394,7609.130887868078,47126.676477419875
517.9360043758504,417.30943424364716,534.1905482100557,536.3220541967016,465.3703063886323,447.505454821266,341.8409597259701,317.93148451346894,298.87618379394354,1118.639332284998,501.1489288176524,7275.4387487557715,44840.27399633264
497.40077235562654,402.2222184355522,508.7492305934901,514.2186617551056,446.99293362845003,426.5470558957436,344.02965753171776,299.07387766874007,297.29383772498204,1075.3373967769023,483.83120338195715,6954.782356522694,42624.46136570627
471.06389189857845,389.79185943252463,485.61265309716157,488.8467323500667,423.47741164209737,404.8359948926193,337.94121586073555,276.86182914007424,290.10725436720566,1008.0207093026773,460.5934051831901,6599.706757794948,40235.439309830115
450.322453009105,376.91952649597414,459.4636684462595,463.88432568451583,403.65194544603816,383.235858811394,341.70348611001396,255.8969926203809,290.16085432149237,954.6637928229017,444.931860150484,6279.354318635591,37951.2354282878
424.213332845712,365.8787964237913,435.11230330854687,439.2221602036559,381.1731805709461,364.08721331586605,336.70943872729833,233.76968259077384,282.96797435805246,896.0643202852765,422.3211696814195,5921.311128826432,35736.95865327678
402.1457638008099,355.68994045194955,410.83757387331616,417.55856764349784,361.13786510065194,343.3761618407024,343.0793113438882,215.91878954854454,284.96877002775875,852.289460069394,403.5390897217279,5596.471492216426,33583.89481432989
381.4569278425711,345.82383826003684,394.1112293161285,392.27028854671977,335.9534534213954,318.9622588769801,339.7121695062234,195.23284364793648,279.60048017402704,778.5570790295837,379.85972741611147,5235.73174685735,31287.87278656394
359.7608581552948,338.8246078251388,367.7633275896328,371.2807402412407,315.77790699522325,297.87739440316636,348.32905429330964,178.36428145417318,283.9418276338047,726.7254149476663,363.41931697214915,4927.8042687761845,29011.42021768225
340.8752372853128,331.17741027186696,354.4085636077826,347.5479599030268,294.7579033149375,280.2880544720953,346.94734074601877,158.87152105665388,280.08516948146695,669.6436392540303,340.29730809738123,4593.711037953913,26736.574821116144
319.3832804615453,327.63799277519956,329.64553918119157,324.9478127014627,273.8297149722984,259.2704509772995,356.41624208653474,143.06200845217873,286.1777473090489,627.3676765324942,321.8911048698007,4277.043403301537,24506.875358529873
300.2288976941612,323.17076333384557,315.10154805855626,299.61325783937053,252.88691646291974,237.5712277943555,354.6750227223638,124.1653699146568,283.07368533390377,555.1531689832921,298.27510357181774,3933.5717701909302,22225.09270307702
277.6634991401443,322.3707771999519,289.45164511994193,277.2029483897971,231.21846513783757,216.01640585070206,363.90483149634713,104.83648991004247,290.67697147100785,503.86050387634793,282.0781904152527,3643.1654678035056,19857.146888327563
258.53466987568476,320.84779141101103,275.8278428152789,253.85437047924992,211.48909436029302,199.96682001056456,363.4866876402905,86.97126806954063,287.605468295766,447.6209689884923,258.6958071686373,3329.3808283238486,17754.239094394143
