timestamp,aggregator_energy,api-gateway_energy,authority_energy,clientone_energy,clientthree_energy,clienttwo_energy,kernel_processes_energy,orchestrator_energy,policy_energy,policy-enforcer_energy,rabbitmq_energy,server_energy,sidecar_energy,aggregator_cpu_usage,api-gateway_cpu_usage,authority_cpu_usage,clientone_cpu_usage,clientthree_cpu_usage,clienttwo_cpu_usage,orchestrator_cpu_usage,policy_cpu_usage,policy-enforcer_cpu_usage,rabbitmq_cpu_usage,server_cpu_usage,sidecar_cpu_usage,aggregator_memory_usage,api-gateway_memory_usage,authority_memory_usage,clientone_memory_usage,clientthree_memory_usage,clienttwo_memory_usage,orchestrator_memory_usage,policy_memory_usage,policy-enforcer_memory_usage,rabbitmq_memory_usage,server_memory_usage,sidecar_memory_usage,aggregator_memory_rss_usage,api-gateway_memory_rss_usage,authority_memory_rss_usage,clientone_memory_rss_usage,clientthree_memory_rss_usage,clienttwo_memory_rss_usage,orchestrator_memory_rss_usage,policy_memory_rss_usage,policy-enforcer_memory_rss_usage,rabbitmq_memory_rss_usage,server_memory_rss_usage,sidecar_memory_rss_usage,aggregator_memory_cache_usage,api-gateway_memory_cache_usage,authority_memory_cache_usage,clientone_memory_cache_usage,clientthree_memory_cache_usage,clienttwo_memory_cache_usage,orchestrator_memory_cache_usage,policy_memory_cache_usage,policy-enforcer_memory_cache_usage,rabbitmq_memory_cache_usage,server_memory_cache_usage,sidecar_memory_cache_usage,aggregator_carbon_coal,api-gateway_carbon_coal,authority_carbon_coal,clientone_carbon_coal,clientthree_carbon_coal,clienttwo_carbon_coal,kernel_processes_carbon_coal,orchestrator_carbon_coal,policy_carbon_coal,policy-enforcer_carbon_coal,rabbitmq_carbon_coal,server_carbon_coal,sidecar_carbon_coal,aggregator_carbon_emission,api-gateway_carbon_emission,authority_carbon_emission,clientone_carbon_emission,clientthree_carbon_emission,clienttwo_carbon_emission,kernel_processes_carbon_emission,orchestrator_carbon_emission,policy_carbon_emission,policy-enforcer_carbon_emission,rabbitmq_carbon_emission,server_carbon_emission,sidecar_carbon_emission
2026-09-22 12:51:18.140000105,0.0,0.0,0.0,0.0,0.0,0.0,315664.41990471166,0.0,0.0,0.0,0.0,0.0,0.0,0.011169467430628757,0.028014049730160726,0.005615144614241368,0.004401162750972958,0.0039967679120955545,0.003834888461614986,0.0032655230710748073,0.0002850842466419439,0.001507912430555555,0.038443075212378185,0.003949452070911238,0.02196220220302145,316292.0799338219,262250.17164878815,287458.4019823241,344453.76926876785,231171.63041651456,136899.0791503801,184196.7402751177,135852.4778560283,169931.37777777773,1117287.2373684202,2991.652352334922,1127904.5248095684,254524.2214899843,159987.00637130774,183919.9325270184,248342.70360607,176329.14713137952,104482.04695953216,48938.8415081093,29077.64952100494,43382.32888888888,623916.4783836445,51848.882070299434,998766.0534709694,0.0,24891.067618548408,13747.0164399978,75.63929143564151,0.0,88.90512770887332,47910.74588805768,0.0,40401.91999999999,143018.85759381903,0.0,461.8524429997385,0.0,5.815545115816994e-05,0.0,0.0,0.0,0.0,0.14706353306340372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.339148971026888e-05,0.0,0.0,0.0,0.0,0.08000135034678679,0.0,0.0,0.0,0.0,0.0,0.0
2026-09-22 12:51:33.140000105,0.0,0.0,0.0,0.0,0.0,0.0,315628.76503026293,0.0,0.0,0.0,0.0,0.0,0.0,0.011169467430628757,0.028014049730160726,0.005615144614241368,0.004401162750972958,0.003769752705830318,0.003834888461614986,0.0032655230710748073,0.0002850842466419439,0.0021929766273591673,0.03736047139163118,0.003949452070911238,0.021685126612561632,316292.0799338219,262250.17164878815,287458.4019823241,344453.76926876785,218041.1518608657,136899.0791503801,184196.7402751177,135852.4778560283,170903.22024647382,1175189.1033579607,2991.652352334922,1130916.6835960064,254524.2214899843,159987.00637130774,183919.9325270184,248342.70360607,166313.70500739204,104482.04695953216,48938.8415081093,29077.64952100494,45061.61845393697,646591.2183066182,51848.882070299434,995321.1683511895,0.0,24891.067618548408,13747.0164399978,75.63929143564151,0.0,88.90512770887332,47910.74588805768,0.0,40174.88724828359,151874.36041311844,0.0,155.35246305355827,0.0,5.832589037385622e-05,0.0,0.0,0.0,0.0,0.1474823016492743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.231920774865466e-05,0.0,0.0,0.0,0.0,0.08049989860051149,0.0,0.0,0.0,0.0,0.0,0.0
2026-09-22 12:51:48.140000105,0.0,0.0,0.0,0.0,0.0,0.0,315628.7742377831,0.0,0.0,0.0,0.0,0.0,0.0,0.011169467430628757,0.028014049730160726,0.005615144614241368,0.0042153023533139135,0.003920862992327766,0.003834888461614986,0.0032655230710748073,0.00027735299249844744,0.0021929766273591673,0.03736047139163118,0.003949452070911238,0.022474276929729805,316292.0799338219,262250.17164878815,287458.4019823241,329907.5417934723,244737.16489160006,136899.0791503801,184196.7402751177,139985.04674825227,170903.22024647382,1175189.1033579607,2991.652352334922,1133525.6985682482,254524.2214899843,159987.00637130774,183919.9325270184,237855.2310312958,185762.08970161222,104482.04695953216,48938.8415081093,26990.753499134837,45061.61845393697,646591.2183066182,51848.882070299434,998536.0096313275,0.0,24891.067618548408,13747.0164399978,72.44505627999568,0.0,88.90512770887332,47910.74588805768,0.0,40174.88724828359,151874.36041311844,0.0,155.35246305355827,0.0,5.8496329589542484e-05,0.0,0.0,0.0,0.0,0.14790107023514484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.231920774865466e-05,0.0,0.0,0.0,0.0,0.08049996044603193,0.0,0.0,0.0,0.0,0.0,0.0
2026-09-22 12:52:03.140000105,0.0,0.0,0.0,0.0,0.0,0.0,316467.34621962626,0.0,2.7042672966755266,0.0,0.0,0.0,0.0,0.010879547748017967,0.028014049730160726,0.005615144614241368,0.0043043851257887735,0.003920862992327766,0.0037450394089192517,0.0032655230710748073,0.00027735299249844744,0.0021929766273591673,0.03736047139163118,0.0038544290614510113,0.022429627411138558,336341.8596592012,262250.17164878815,287458.4019823241,353702.36339655926,244737.16489160006,129323.43248327465,184196.7402751177,139985.04674825227,170903.22024647382,1175189.1033579607,32651.93603796763,1139871.3366286173,270138.24289734097,159987.00637130774,183919.9325270184,253804.66042364715,185762.08970161222,97651.57494236292,48938.8415081093,26990.753499134837,45061.61845393697,646591.2183066182,48133.33403229555,1003451.3592650106,0.0,24891.067618548408,13747.0164399978,69.34932521548915,0.0,86.90117537234269,47910.74588805768,0.0,40174.88724828359,151874.36041311844,0.0,95.73357479098966,0.0,5.798459707493541e-05,0.0,0.0,0.0,0.0,0.1485282650809072,0.0,2.99511345959596e-07,0.0,0.0,0.0,0.0,0.0,4.123199606323706e-05,0.0,0.0,0.0,0.0,0.08107534105221834,0.0,2.5303786883066567e-07,0.0,0.0,0.0,0.0
2026-09-22 12:52:18.140000105,0.0,0.0,0.0,0.0,0.0,0.0,316467.36010956473,0.0,2.738814055341497,0.0,0.0,0.0,0.0,0.010813188622339043,0.028014049730160726,0.005604212257051081,0.003970527635897843,0.003920862992327766,0.0037450394089192517,0.006329706676558273,0.00028839866836238593,0.0021929766273591673,0.03736047139163117,0.0038544290614510113,0.022432610180039208,315262.2407077333,262250.17164878815,310888.72647507204,326381.263916741,244737.16489160006,129323.43248327465,189080.1743395471,152290.02768010777,170903.22024647382,1175189.1033579605,32651.93603796763,1137423.0442992763,255272.35681015122,159987.00637130774,195608.98004659367,235791.83030881666,185762.08970161222,97651.57494236292,52282.208239719635,29363.297673374735,45061.61845393697,646591.2183066179,48133.33403229555,1002389.0376709781,0.0,24891.067618548408,7620.461437606866,47.08014059738613,0.0,86.90117537234269,48536.48248754292,0.0,40174.88724828359,151874.36041311838,0.0,95.73357479098966,0.0,5.815305443927649e-05,0.0,0.0,0.0,0.0,0.14894762222994495,0.0,3.003617247474748e-07,0.0,0.0,0.0,0.0,0.0,4.123199606323706e-05,0.0,0.0,0.0,0.0,0.08107544655949622,0.0,2.541001985285837e-07,0.0,0.0,0.0,0.0
2026-09-22 12:52:33.140000105,0.0,0.0,0.0,0.0,0.0,0.0,317263.06205004273,0.0,2.704281124168389,0.0,0.0,0.0,0.0,0.010813188622339043,0.026523238007021437,0.005604212257051081,0.004023025996893945,0.0037149018859637573,0.0037450394089192517,0.006329706676558273,0.00028839866836238593,0.0021929766273591673,0.03724779846483755,0.0038544290614510113,0.0229093697487126,315262.2407077333,273252.67529499665,310888.72647507204,330696.6806539402,253038.28595228872,129323.43248327465,189080.1743395471,152290.02768010777,170903.22024647382,1258839.8233694744,32651.93603796763,1139218.5521771896,255272.35681015122,160851.3075182086,195608.98004659367,238909.47253741304,190670.4074768769,97651.57494236292,52282.208239719635,29363.297673374735,45061.61845393697,707392.5887327895,48133.33403229555,1002233.0219733213,0.0,22816.05836208223,7620.461437606866,47.70263474513684,0.0,86.90117537234269,48536.48248754292,0.0,40174.88724828359,140810.1756284613,0.0,95.73357479098966,0.0,5.832151180361758e-05,0.0,0.0,0.0,0.0,0.14936697937898266,0.0,3.0121210353535356e-07,0.0,0.0,0.0,0.0,0.0,3.990234373524379e-05,0.0,0.0,0.0,0.0,0.08148196794889714,0.0,2.544519154263167e-07,0.0,0.0,0.0,0.0
2026-09-22 12:52:48.140000105,0.0,0.0,0.0,0.0,0.0,0.0,317262.6542671058,0.0,2.738827912368622,0.0,0.0,0.0,0.0,0.010813188622339043,0.02646618033923977,0.005604212257051081,0.00419986887968823,0.0039025519577835194,0.0037450394089192517,0.006329706676558273,0.00028839866836238593,0.0021929766273591673,0.036672357232646724,0.0038311625078914003,0.022583140028264156,315262.2407077333,284802.8953898417,310888.72647507204,345233.3389759335,265819.9566369179,129323.43248327465,189080.1743395471,152290.02768010777,170903.22024647382,1145513.5569703048,32784.659305705834,1156895.0151787216,255272.35681015122,163981.830991813,195608.98004659367,249411.37828771086,200301.70239535818,97651.57494236292,52282.208239719635,29363.297673374735,45061.61845393697,629244.7765246412,49054.94276291164,1014352.9703293712,0.0,24574.34455940155,7620.461437606866,49.79953182005654,0.0,86.90117537234269,48536.48248754292,0.0,40174.88724828359,148642.7444336115,0.0,0.0,0.0,5.8489969167958664e-05,0.0,0.0,0.0,0.0,0.14978633652802043,0.0,3.020624823232323e-07,0.0,0.0,0.0,0.0,0.0,3.990234373524379e-05,0.0,0.0,0.0,0.0,0.08148193976813656,0.0,2.5552017962764984e-07,0.0,0.0,0.0,0.0
2026-09-22 12:53:03.140000105,0.0,0.0,0.0,0.0,0.0,0.0,317798.4658937801,0.0,2.70431805346458,0.0,0.0,0.0,0.0,0.010813188622339043,0.02646618033923977,0.0052402194228632895,0.00419986887968823,0.0039025519577835194,0.0037062337974238576,0.006329706676558273,0.0002807960192054648,0.002196214944444444,0.036672357232646724,0.0038311625078914003,0.022346049722345763,315262.2407077333,284802.8953898417,335302.92920659936,345233.3389759335,265819.9566369179,137671.87247307602,189080.1743395471,142192.44406919065,171869.01333333334,1145513.5569703048,32784.659305705834,1138267.658454276,255272.35681015122,163981.830991813,177781.6090541985,249411.37828771086,200301.70239535818,104336.7792304884,52282.208239719635,27416.36550804637,45316.26666666666,629244.7765246412,49054.94276291164,997551.2101523987,0.0,24574.34455940155,6925.949390414048,49.79953182005654,0.0,95.1977912686938,48536.48248754292,0.0,40401.92,148642.7444336115,0.0,0.0,0.0,5.7984191744572164e-05,0.0,0.0,0.0,0.0,0.1504398368423172,0.0,2.995093458177278e-07,0.0,0.0,0.0,0.0,0.0,3.851656167391313e-05,0.0,0.0,0.0,0.0,0.0820690179182724,0.0,2.558666838900323e-07,0.0,0.0,0.0,0.0
2026-09-22 12:53:18.140000105,0.0,0.0,0.0,0.0,0.0,0.0,317798.0376533265,0.0,2.738865107475449,0.0,0.0,0.0,0.0,0.010225582378154097,0.02646618033923977,0.0052402194228632895,0.00419986887968823,0.0039025519577835194,0.003598589496956472,0.006329706676558273,0.0002807960192054648,0.002585007415348557,0.036672357232646724,0.0038311625078914003,0.02217985242192906,323880.84173813113,284802.8953898417,335302.92920659936,345233.3389759335,265819.9566369179,154696.68083151485,189080.1743395471,142192.44406919065,172156.93377810434,1145513.5569703048,32784.659305705834,1153202.8678623084,258599.05857356187,163981.830991813,177781.6090541985,249411.37828771086,200301.70239535818,113901.91799701388,52282.208239719635,27416.36550804637,46073.79733299277,629244.7765246412,49054.94276291164,1002239.0874167251,0.0,24574.34455940155,6925.949390414048,49.79953182005654,0.0,88.20489261513723,48536.48248754292,0.0,40260.696494145515,148642.7444336115,0.0,0.0,0.0,5.8150712817369086e-05,0.0,0.0,0.0,0.0,0.15085977206527146,0.0,3.003501697877653e-07,0.0,0.0,0.0,0.0,0.0,3.851656167391313e-05,0.0,0.0,0.0,0.0,0.08206904008399873,0.0,2.569408859027897e-07,0.0,0.0,0.0,0.0
2026-09-22 12:53:33.140000105,0.0,0.0,0.0,0.0,0.0,0.0,318030.67442309926,0.0,2.7043156797755357,0.0,0.0,0.0,0.0,0.010119327757910423,0.02646618033923977,0.0052402194228632895,0.003996962310604747,0.0037343835906111216,0.003598589496956472,0.006329706676558273,0.0002807960192054648,0.002585007415348557,0.036672357232646724,0.0038311625078914003,0.02204928090212142,312843.8121741414,284802.8953898417,335302.92920659936,328554.2200911454,270872.669160291,154696.68083151485,189080.1743395471,142192.44406919065,172156.93377810434,1145513.5569703048,32784.659305705834,1174436.124909153,251716.67466021347,163981.830991813,177781.6090541985,237361.66709232258,202017.68647584316,113901.91799701388,52282.208239719635,27416.36550804637,46073.79733299277,629244.7765246412,49054.94276291164,1001438.5007865643,0.0,24574.34455940155,6925.949390414048,47.39358715058355,0.0,88.20489261513723,48536.48248754292,0.0,40260.696494145515,148642.7444336115,0.0,0.0,0.0,5.831723389016603e-05,0.0,0.0,0.0,0.0,0.15127976046286198,0.0,3.0119099375780275e-07,0.0,0.0,0.0,0.0,0.0,3.705282191228026e-05,0.0,0.0,0.0,0.0,0.08261829388188967,0.0,2.5728023951677814e-07,0.0,0.0,0.0,0.0
2026-09-22 12:53:48.140000105,0.0,0.0,0.0,0.0,0.0,0.0,318030.26002050476,0.0,2.7388624975100817,0.0,0.0,0.0,0.0,0.010119327757910423,0.02646618033923977,0.0052402194228632895,0.003944463949608645,0.0037343835906111216,0.003598589496956472,0.005840767028853564,0.0002807960192054648,0.002585007415348557,0.035768727090079395,0.0036623581972956547,0.021998297440800122,312843.8121741414,284802.8953898417,335302.92920659936,324238.80335394625,270872.669160291,154696.68083151485,174404.07862532712,142192.44406919065,172156.93377810434,1253850.6698222,53757.33425743213,1139755.157472114,251716.67466021347,163981.830991813,177781.6090541985,234244.0248637262,202017.68647584316,113901.91799701388,48224.148239737806,27416.36550804637,46073.79733299277,684340.0009521006,59983.328941604705,971680.7191895581,0.0,24574.34455940155,6925.949390414048,46.77109300283284,0.0,88.20489261513723,44769.15963041692,0.0,40260.696494145515,163819.62551357568,0.0,0.0,0.0,5.8483754962962964e-05,0.0,0.0,0.0,0.0,0.15169974886045257,0.0,3.0203181772784026e-07,0.0,0.0,0.0,0.0,0.0,3.705282191228026e-05,0.0,0.0,0.0,0.0,0.08261831739061509,0.0,2.583603748338148e-07,0.0,0.0,0.0,0.0
