timestamp,aggregator_energy,api-gateway_energy,authority_energy,clientone_energy,clientthree_energy,clienttwo_energy,kernel_processes_energy,orchestrator_energy,policy_energy,policy-enforcer_energy,rabbitmq_energy,server_energy,sidecar_energy,aggregator_cpu_usage,api-gateway_cpu_usage,authority_cpu_usage,clientone_cpu_usage,clientthree_cpu_usage,clienttwo_cpu_usage,orchestrator_cpu_usage,policy_cpu_usage,policy-enforcer_cpu_usage,rabbitmq_cpu_usage,server_cpu_usage,sidecar_cpu_usage,aggregator_memory_usage,api-gateway_memory_usage,authority_memory_usage,clientone_memory_usage,clientthree_memory_usage,clienttwo_memory_usage,orchestrator_memory_usage,policy_memory_usage,policy-enforcer_memory_usage,rabbitmq_memory_usage,server_memory_usage,sidecar_memory_usage,aggregator_memory_rss_usage,api-gateway_memory_rss_usage,authority_memory_rss_usage,clientone_memory_rss_usage,clientthree_memory_rss_usage,clienttwo_memory_rss_usage,orchestrator_memory_rss_usage,policy_memory_rss_usage,policy-enforcer_memory_rss_usage,rabbitmq_memory_rss_usage,server_memory_rss_usage,sidecar_memory_rss_usage,aggregator_memory_cache_usage,api-gateway_memory_cache_usage,authority_memory_cache_usage,clientone_memory_cache_usage,clientthree_memory_cache_usage,clienttwo_memory_cache_usage,orchestrator_memory_cache_usage,policy_memory_cache_usage,policy-enforcer_memory_cache_usage,rabbitmq_memory_cache_usage,server_memory_cache_usage,sidecar_memory_cache_usage,aggregator_carbon_coal,api-gateway_carbon_coal,authority_carbon_coal,clientone_carbon_coal,clientthree_carbon_coal,clienttwo_carbon_coal,kernel_processes_carbon_coal,orchestrator_carbon_coal,policy_carbon_coal,policy-enforcer_carbon_coal,rabbitmq_carbon_coal,server_carbon_coal,sidecar_carbon_coal,system_processes_carbon_coal,aggregator_carbon_emission,api-gateway_carbon_emission,authority_carbon_emission,clientone_carbon_emission,clientthree_carbon_emission,clienttwo_carbon_emission,kernel_processes_carbon_emission,orchestrator_carbon_emission,policy_carbon_emission,policy-enforcer_carbon_emission,rabbitmq_carbon_emission,server_carbon_emission,sidecar_carbon_emission,system_processes_carbon_emission
2026-09-21 22:31:55.352999926,0.0,0.0,0.0,0.0,0.0,0.0,319814.3861226849,0.0,0.0,0.0,83.3100528811056,282.23878360121523,0.0,0.009390497299123755,0.02194162639003149,0.0051164964614036235,0.003995194529131899,0.0037375493503146624,0.003494816511801177,6.660912816093717e-05,0.00024513626517995294,7.006782025342488e-05,0.03200900282656299,0.0034764126232946758,0.016668359880771175,279261.0804418204,213454.37008879177,227607.8316299937,207137.65784393367,259648.16303303363,172204.92410940735,690.4188022015463,94195.09024880249,34349.60402893963,948104.9291683425,165087.5379201553,1056684.3922998817,221932.82831742027,186526.11273439048,153729.8774908205,124541.85435633436,191012.17555251752,136523.43977897064,10633.187969735045,16615.096337794235,42236.94998137471,498721.6040279454,122595.2744985872,921051.1964943529,14689.289187819342,1957.164335763524,193.72898174138325,0.0,3.9240745229269987,15.220852865708306,793.7970185739704,36138.7278194518,566.4162263867197,209224.35238563406,39.052126128937196,7767.558652145214,0.0,0.0,0.0,0.0,0.0,0.0,0.15094301601889026,0.0,0.0,0.0,4.630234337344322e-05,3.1623199640185194e-05,0.0,3.6916851851851852e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.08743291813468193,0.0,0.0,0.0,2.560410722645596e-05,2.7330346933160478e-05,0.0,4.434220712469107e-06
2026-09-21 22:32:10.352999926,0.0,0.0,0.0,0.0,0.0,0.0,319814.3861226849,0.0,0.0,0.0,83.3100528811056,285.85122733062406,0.0,0.009390497299123755,0.02194162639003149,0.0051164964614036235,0.004078375131278744,0.0035686960146393935,0.003494816511801177,6.660912816093717e-05,0.00024513626517995294,7.006782025342488e-05,0.032167433998726194,0.0034764126232946758,0.016592899500379853,279261.0804418204,213454.37008879177,227607.8316299937,249174.69307934667,265982.9045637412,172204.92410940735,690.4188022015463,94195.09024880249,34349.60402893963,887639.2153992662,165087.5379201553,1068190.6830144133,221932.82831742027,186526.11273439048,153729.8774908205,150935.51588020133,191500.32343652166,136523.43977897064,10633.187969735045,16615.096337794235,42236.94998137471,467094.9506988934,122595.2744985872,922167.2585427535,14689.289187819342,1957.164335763524,193.72898174138325,0.0,3.5422352749902273,15.220852865708306,793.7970185739704,36138.7278194518,566.4162263867197,195799.09439656787,39.052126128937196,7718.553402709518,0.0,0.0,0.0,0.0,0.0,0.0,0.15164068116269025,0.0,0.0,0.0,4.654378092717391e-05,3.136168737307693e-05,0.0,3.6916851851851852e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.08743291813468193,0.0,0.0,0.0,2.560410722645596e-05,2.744513231955138e-05,0.0,4.3806237305137724e-06
2026-09-21 22:32:25.352999926,0.0,0.0,0.0,0.0,0.0,0.0,319214.7993902146,0.0,0.0,0.0,83.7041115001641,282.2404702964288,0.0,0.009390497299123755,0.02194162639003149,0.0051164964614036235,0.004078375131278744,0.0035686960146393935,0.003380967024775838,6.644592300664433e-05,0.00024513626517995294,7.006782025342488e-05,0.032167433998726194,0.0036053129841723108,0.016673127432769476,279261.0804418204,213454.37008879177,227607.8316299937,249174.69307934667,265982.9045637412,190080.07488656504,719.1814786643118,94195.09024880249,34349.60402893963,887639.2153992662,152591.30540450223,1060377.981194643,221932.82831742027,186526.11273439048,153729.8774908205,150935.51588020133,191500.32343652166,148809.2568115138,11076.163949482449,16615.096337794235,42236.94998137471,467094.9506988934,134280.0376705046,922100.6628886303,14689.289187819342,1957.164335763524,193.72898174138325,0.0,3.5422352749902273,14.200711595716557,826.8664059509467,36138.7278194518,566.4162263867197,195799.09439656787,42.774250387337844,7686.373904350982,0.0,0.0,0.0,0.0,0.0,0.0,0.15204975774783513,0.0,0.0,0.0,4.6669340709782615e-05,3.144768279432235e-05,0.0,3.6916851851851852e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.08742496338137418,0.0,0.0,0.0,2.579059107252821e-05,2.7478132398916375e-05,0.0,4.37506685630203e-06
2026-09-21 22:32:40.352999926,0.0,0.0,0.0,0.0,0.0,0.0,319215.9951692297,0.0,0.0,0.0,83.7041115001641,285.85292020205304,0.0,0.00890776751756083,0.023562348396747614,0.004851603035968973,0.004078375131278744,0.0035686960146393935,0.003380967024775839,6.882288133995265e-05,0.0002482827058993217,6.744911258555475e-05,0.032167433998726194,0.0036053129841723108,0.016601686198413047,300588.61152863404,229552.12347108842,215824.02240994744,249174.69307934667,265982.9045637412,190080.0748865651,687.7475395322484,103830.71493821818,35925.006519908944,887639.2153992662,152591.30540450223,1054357.588548011,232883.1884104924,200592.87950063584,145770.90905462985,150935.51588020133,191500.32343652166,148809.25681151383,10592.047667662435,18314.726669551423,44182.6062853435,467094.9506988934,134280.0376705046,923599.0774559703,13713.59586264401,2086.6598677940456,183.6991627106155,0.0,3.5422352749902273,14.20071159571656,790.7257807456332,39835.51516899851,593.005369151494,195799.09439656787,42.774250387337844,7680.1765001603435,0.0,0.0,0.0,0.0,0.0,0.0,0.1524588343329801,0.0,0.0,0.0,4.679490049239131e-05,3.153367821556777e-05,0.0,3.6916851851851852e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0874250788904383,0.0,0.0,0.0,2.579059107252821e-05,2.7593538279187867e-05,0.0,4.32089350756298e-06
2026-09-21 22:32:55.352999926,0.0,0.0,0.0,0.0,0.0,0.0,318044.8892493339,0.0,0.0,0.0,82.85501304509874,282.2421578884379,0.0,0.009119032029964131,0.023562348396747614,0.004819531112822555,0.004078375131278744,0.0037423456534969443,0.003380967024775839,6.882288133995265e-05,0.0002482827058993217,7.091002662643368e-05,0.032167433998726194,0.0034793705229408047,0.016444829414753247,314092.59070656507,229552.12347108842,233463.87512104213,249174.69307934667,292259.26256823365,190080.0748865651,687.7475395322484,103830.71493821818,37768.37190630615,887639.2153992662,141811.1215907296,1058021.2773591669,243314.70940059493,200592.87950063584,159435.61776246366,150935.51588020133,205742.26270173726,148809.25681151383,10592.047667662435,18314.726669551423,46449.681367489495,467094.9506988934,124793.49789177327,923043.4471279158,14335.176640803797,2086.6598677940456,174.46059112015897,0.0,3.901104709802954,14.20071159571656,790.7257807456332,39835.51516899851,623.4333544835432,195799.09439656787,39.75235945816941,7100.094382846967,0.0,0.0,0.0,0.0,0.0,0.0,0.15286791091812502,0.0,0.0,0.0,4.6920460275e-05,3.161967363681319e-05,0.0,3.6916851851851852e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.08735332634710095,0.0,0.0,0.0,2.5961275495595542e-05,2.762591843916047e-05,0.0,4.494545477402423e-06
2026-09-21 22:33:10.352999926,0.0,0.0,0.0,0.0,0.0,0.0,318047.24029791186,0.0,0.0,0.0,82.85501304509874,285.85462014655644,0.0,0.009598568864932407,0.021717570068177764,0.004819531112822555,0.004078375131278745,0.0037423456534969443,0.003377549601299144,6.882288133995265e-05,0.0002482827058993217,7.091002662643368e-05,0.03261294646949112,0.0034793705229408047,0.01659665863502814,330609.58136297413,241891.27916525054,233463.87512104213,249174.6930793467,292848.1283554881,172729.55613897368,687.7475395322484,103830.71493821818,37768.37190630615,981451.7698615544,141811.1215907296,1058642.240744569,251474.80124899742,203314.1473036717,159435.61776246366,150935.51588020136,208377.45893320913,139286.74411913363,10592.047667662435,18314.726669551423,46449.681367489495,517170.6992320806,124793.49789177327,950861.487827784,15089.01161061794,1920.9425973594841,174.46059112015897,0.0,3.901104709802954,14.88662898724241,790.7257807456332,39835.51516899851,623.4333544835432,215585.603370007,39.75235945816941,7198.197887138197,0.0,0.0,0.0,0.0,0.0,0.0,0.1533627981195172,0.0,0.0,0.0,4.706223064928316e-05,3.136104222047102e-05,0.0,3.6916851851851852e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.08735355336830092,0.0,0.0,0.0,2.5961275495595542e-05,2.7741944781153845e-05,0.0,4.43703730400884e-06
2026-09-21 22:33:25.352999926,0.0,0.0,0.0,0.0,0.0,0.0,315905.284331099,0.0,0.0,0.0,82.53782085859784,282.2433607028948,0.0,0.009598568864932407,0.021717570068177764,0.004819531112822555,0.004078375131278745,0.0037423456534969443,0.003541565526407302,6.882288133995265e-05,0.00023951910837776655,7.091002662643368e-05,0.03261294646949112,0.0034793705229408047,0.01645517601201259,330609.58136297413,241891.27916525054,233463.87512104213,249174.6930793467,292848.1283554881,181117.41162235677,687.7475395322484,94466.15780978667,37768.37190630615,981451.7698615544,141811.1215907296,1053461.2253325756,254676.17309739994,203314.1473036717,159435.61776246366,150935.51588020136,210815.69851775162,146050.59569461184,10592.047667662435,16662.27795833206,46449.681367489495,517170.6992320806,124793.49789177327,941668.4913797699,15089.01161061794,1920.9425973594841,174.46059112015897,0.0,3.901104709802954,15.609533019249914,790.7257807456332,36241.350380767835,623.4333544835432,215585.603370007,39.75235945816941,7126.297138795166,0.0,0.0,0.0,0.0,0.0,0.0,0.15377216747973224,0.0,0.0,0.0,4.718783369587814e-05,3.144610290887682e-05,0.0,3.6916851851851852e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.08721374841318538,0.0,0.0,0.0,2.613587251211217e-05,2.7773689500869438e-05,0.0,4.436083399508874e-06
2026-09-21 22:33:40.352999926,0.0,0.0,0.0,0.0,0.0,0.0,315906.66061512986,0.0,0.0,0.0,82.53782085859784,285.85581369663475,0.0,0.009598568864932407,0.021717570068177764,0.004997936624487884,0.0040103007971820535,0.0036131796628515547,0.003541565526407302,6.882288133995265e-05,0.00023951910837776655,6.948008714596954e-05,0.03261294646949112,0.0034793705229408047,0.016632148288116853,330609.58136297413,241891.27916525054,248493.43950696322,271796.92535866064,296449.01348013914,181117.41162235677,687.7475395322484,94466.15780978667,34599.15294117647,981451.7698615544,141811.1215907296,1065775.7078634212,256109.7478721997,203314.1473036717,167728.30544264923,161992.41322266907,208050.873621609,146050.59569461184,10592.047667662435,16662.27795833206,42551.99651416123,517170.6992320806,124793.49789177327,951836.6468572869,15089.01161061794,1920.9425973594841,66.14352438064063,0.0,3.5986866902186185,15.609533019249914,790.7257807456332,36241.350380767835,571.1198257080611,215585.603370007,39.75235945816941,7128.788813502621,0.0,0.0,0.0,0.0,0.0,0.0,0.15418153683994731,0.0,0.0,0.0,4.731343674247312e-05,3.1531163597282606e-05,0.0,3.6916851851851852e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.08721388126193538,0.0,0.0,0.0,2.613587251211217e-05,2.7890336271904523e-05,0.0,4.377892612088147e-06
2026-09-21 22:33:55.352999926,0.0,0.0,0.0,0.0,0.0,0.0,313667.21582899033,0.0,0.0,0.0,82.95649899255338,282.2448065796481,0.0,0.009081123134530472,0.021717570068177764,0.004997936624487884,0.0040103007971820535,0.0036131796628515547,0.003541565526407302,6.481315720514012e-05,0.00023951910837776655,6.948008714596954e-05,0.03206806765951245,0.0034793705229408047,0.016423514752651865,307910.86633269786,241891.27916525054,248493.43950696322,271796.92535866064,296449.01348013914,181117.41162235677,721.3420155299291,94466.15780978667,34599.15294117647,1059327.9932181537,141811.1215907296,1061456.3081404464,238527.5926116835,203314.1473036717,167728.30544264923,161992.41322266907,208050.873621609,146050.59569461184,11109.43852794757,16662.27795833206,42551.99651416123,572420.3720301827,124793.49789177327,946462.6447528473,14052.7162773956,1920.9425973594841,66.14352438064063,0.0,3.5986866902186185,15.609533019249914,829.3504456627527,36241.350380767835,571.1198257080611,197310.1290581799,39.75235945816941,7102.629754006297,0.0,0.0,0.0,0.0,0.0,0.0,0.15459090620016236,0.0,0.0,0.0,4.74390397890681e-05,3.16162242856884e-05,0.0,3.6916851851851852e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.08706714541023151,0.0,0.0,0.0,2.630517040395681e-05,2.792146880348839e-05,0.0,4.561520921551175e-06
2026-09-21 22:34:10.352999926,0.0,0.0,0.0,0.0,0.0,0.0,313668.2481655681,0.0,0.0,0.0,82.95649899255338,285.8572657496352,0.0,0.009081123134530472,0.021570418505104903,0.004758321275306397,0.0040103007971820535,0.0036131796628515547,0.0033575627060495944,6.423344294601069e-05,0.00023951910837776655,6.948008714596954e-05,0.03206806765951245,0.0035568518280609997,0.01597765347426743,307910.86633269786,232201.3325783718,252650.81897412252,271796.92535866064,296449.01348013914,185904.60125217662,714.8900500626659,94466.15780978667,34599.15294117647,1059327.9932181537,147471.91028218187,1073685.8442382067,238527.5926116835,193157.11391016672,169907.7300344692,161992.41322266907,208050.873621609,146140.46327942377,11010.07135925389,16662.27795833206,42551.99651416123,572420.3720301827,129255.56579961609,950289.0469305277,14052.7162773956,1888.9423059802216,61.51095469538686,0.0,3.5986866902186185,14.158496696725242,821.9324104998565,36241.350380767835,571.1198257080611,197310.1290581799,42.561552529359304,7055.093134134522,0.0,0.0,0.0,0.0,0.0,0.0,0.15483456683009877,0.0,0.0,0.0,4.7567249164539004e-05,3.136041094211469e-05,0.0,3.6916851851851852e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.08706724502414422,0.0,0.0,0.0,2.630517040395681e-05,2.8038736068925546e-05,0.0,4.4989353381339095e-06
