timestamp,aggregator_energy,api-gateway_energy,authority_energy,clientone_energy,clientthree_energy,clienttwo_energy,kernel_processes_energy,orchestrator_energy,policy_energy,policy-enforcer_energy,rabbitmq_energy,server_energy,sidecar_energy,aggregator_cpu_usage,api-gateway_cpu_usage,authority_cpu_usage,clientone_cpu_usage,clientthree_cpu_usage,clienttwo_cpu_usage,orchestrator_cpu_usage,policy_cpu_usage,policy-enforcer_cpu_usage,rabbitmq_cpu_usage,server_cpu_usage,sidecar_cpu_usage,aggregator_memory_usage,api-gateway_memory_usage,authority_memory_usage,clientone_memory_usage,clientthree_memory_usage,clienttwo_memory_usage,orchestrator_memory_usage,policy_memory_usage,policy-enforcer_memory_usage,rabbitmq_memory_usage,server_memory_usage,sidecar_memory_usage,aggregator_memory_rss_usage,api-gateway_memory_rss_usage,authority_memory_rss_usage,clientone_memory_rss_usage,clientthree_memory_rss_usage,clienttwo_memory_rss_usage,orchestrator_memory_rss_usage,policy_memory_rss_usage,policy-enforcer_memory_rss_usage,rabbitmq_memory_rss_usage,server_memory_rss_usage,sidecar_memory_rss_usage,aggregator_memory_cache_usage,api-gateway_memory_cache_usage,authority_memory_cache_usage,clientone_memory_cache_usage,clientthree_memory_cache_usage,clienttwo_memory_cache_usage,orchestrator_memory_cache_usage,policy_memory_cache_usage,policy-enforcer_memory_cache_usage,rabbitmq_memory_cache_usage,server_memory_cache_usage,sidecar_memory_cache_usage,aggregator_carbon_coal,api-gateway_carbon_coal,authority_carbon_coal,clientone_carbon_coal,clientthree_carbon_coal,clienttwo_carbon_coal,kernel_processes_carbon_coal,orchestrator_carbon_coal,policy_carbon_coal,policy-enforcer_carbon_coal,rabbitmq_carbon_coal,server_carbon_coal,sidecar_carbon_coal,system_processes_carbon_coal,aggregator_carbon_emission,api-gateway_carbon_emission,authority_carbon_emission,clientone_carbon_emission,clientthree_carbon_emission,clienttwo_carbon_emission,kernel_processes_carbon_emission,orchestrator_carbon_emission,policy_carbon_emission,policy-enforcer_carbon_emission,rabbitmq_carbon_emission,server_carbon_emission,sidecar_carbon_emission
2026-09-21 23:11:56.250999927,0.0,0.0,0.0,0.0,0.0,0.0,315987.5845314449,0.0,0.0,0.0,96.80621061621437,0.0,0.0,0.008863915738723221,0.020982276853489867,0.004534565423426437,0.0036645631996047694,0.0034942408843890325,0.003083890643547568,6.2894799512457e-05,0.0002452205417888411,7.891750424797189e-05,0.030770817671075715,0.0034528189824719183,0.014546461366102608,372416.4779044975,242840.13067723793,249791.15086223301,248214.07398383887,244762.55155595657,176310.21423322594,111924.95986206789,92192.088289159,126382.52858254922,1572681.0095829398,121629.21498358018,1058100.5750356729,222419.07536774944,144818.53683552268,202847.92895062172,184682.71950839864,206398.84771657814,111825.44796789328,33435.30960471937,21060.484116768275,26662.385988342838,948081.0905655285,132702.65305844357,900206.5364227,19078.47177189746,25119.30846579684,68.86890713617592,0.0,58.918353393127525,14.470634786049404,42207.174122611614,44914.55822290856,42513.53445205116,265405.2098798759,93.02283329018309,5650.25571608109,0.0,0.0,0.0,0.0,0.0,0.0,0.21582330455154777,0.0,0.0,0.0,6.748416005110261e-05,3.1528075327222216e-05,0.0,3.6916851851851852e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.08475281068108288,0.0,0.0,0.0,3.797493386684387e-05,3.916398058046002e-05,0.0
2026-09-21 23:12:11.250999927,0.0,0.0,0.0,0.0,0.0,0.0,315986.4692406213,0.0,0.0,0.0,96.80621061621437,0.0,0.0,0.008863915738723221,0.020982276853489867,0.004534565423426437,0.0037948309052495193,0.0033300376483015722,0.003083890643547568,6.2894799512457e-05,0.0002452205417888411,7.934630834054923e-05,0.030356679282043966,0.0034528189824719183,0.014520579776185608,372416.4779044975,242840.13067723793,249791.15086223301,269887.2947048388,233260.5388532636,176310.21423322594,111924.95986206789,92192.088289159,119336.6622698476,1544249.1862664933,121629.21498358018,1066533.9337194292,222419.07536774944,144818.53683552268,202847.92895062172,198942.49813747933,196699.6426986302,111825.44796789328,33435.30960471937,21060.484116768275,25175.949458242805,923336.126804451,132702.65305844357,905695.0894744034,19078.47177189746,25119.30846579684,68.86890713617592,0.0,56.14963062552482,14.470634786049404,42207.174122611614,44914.55822290856,40143.39133504639,240397.00008982318,93.02283329018309,5675.9917802581,0.0,0.0,0.0,0.0,0.0,0.0,0.21609658489472722,0.0,0.0,0.0,6.765589044259259e-05,3.134714027383376e-05,0.0,3.6916851851851852e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0847528079951545,0.0,0.0,0.0,3.797493386684387e-05,3.932840422659575e-05,0.0
2026-09-21 23:12:26.250999927,0.0,0.0,0.0,0.0,0.0,0.0,313864.51550531614,0.0,0.0,0.0,96.9692410279207,0.0,0.0,0.008863915738723221,0.01987720747490121,0.004534565423426437,0.0037948309052495193,0.0033601657923294855,0.003083890643547568,6.2894799512457e-05,0.00023790397856909146,7.934630834054923e-05,0.030356679282043966,0.0034528189824719183,0.014616611732497316,372416.4779044975,230029.76994994655,249791.15086223301,269887.2947048388,245949.56825455063,176310.21423322594,111924.95986206789,101355.55164874444,119336.6622698476,1544249.1862664933,121629.21498358018,1081316.7772582797,222419.07536774944,137179.0347001556,202847.92895062172,200776.84940481887,199397.58831786292,111825.44796789328,33435.30960471937,23154.706806236954,25175.949458242805,923336.126804451,132702.65305844357,907469.0679178281,19078.47177189746,23794.208690197338,68.86890713617592,0.0,53.16985449252385,14.470634786049404,42207.174122611614,49380.79396546616,40143.39133504639,240397.00008982318,93.02283329018309,5675.822945948825,0.0,0.0,0.0,0.0,0.0,0.0,0.21650371959295953,0.0,0.0,0.0,6.778336266481482e-05,3.140687755118745e-05,0.0,3.6916851851851852e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.08474576275686184,0.0,0.0,0.0,3.816924201464873e-05,3.9311791159660493e-05,0.0
2026-09-21 23:12:41.250999927,0.0,0.0,0.0,0.0,0.0,0.0,313863.3908302416,0.0,0.0,0.0,96.9692410279207,0.0,0.0,0.008863915738723221,0.01987720747490121,0.004387366986945318,0.0037948309052495193,0.0033601657923294855,0.003083890643547568,6.2894799512457e-05,0.00023790397856909146,7.934630834054923e-05,0.030356679282043966,0.0034528189824719183,0.014480638443360566,372416.4779044975,230029.76994994655,249538.82340298712,269887.2947048388,245949.56825455063,176310.21423322594,111924.95986206789,101355.55164874444,119336.6622698476,1544249.1862664933,121629.21498358018,1087415.9754461856,222419.07536774944,137179.0347001556,209380.98245627468,200776.84940481887,199397.58831786292,111825.44796789328,33435.30960471937,23154.706806236954,25175.949458242805,923336.126804451,132702.65305844357,908558.748542924,19078.47177189746,23794.208690197338,67.62376832292269,0.0,53.16985449252385,14.470634786049404,42207.174122611614,49380.79396546616,40143.39133504639,240397.00008982318,93.02283329018309,5653.122344839789,0.0,0.0,0.0,0.0,0.0,0.0,0.21691085429119192,0.0,0.0,0.0,6.791083488703703e-05,3.146661482854114e-05,0.0,3.6916851851851852e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.08474576006481518,0.0,0.0,0.0,3.816924201464873e-05,3.947683513366635e-05,0.0
2026-09-21 23:12:56.250999927,0.0,0.0,0.0,0.0,0.0,0.0,311969.2700446625,0.0,0.0,0.0,97.02505268287261,0.0,0.0,0.008448796525444282,0.01987720747490121,0.0046462789452180325,0.0037948309052495193,0.0033601657923294855,0.003083890643547568,6.43643184892301e-05,0.00022549159982116496,7.934630834054923e-05,0.030356679282043966,0.003359599034500426,0.014433066250353437,383217.2920380702,230029.76994994655,263135.6098755508,269887.2947048388,245949.56825455063,176310.21423322594,118158.88837142852,96067.437079009,119336.6622698476,1544249.1862664933,112841.1173365157,1080158.9118482631,226420.3696761729,137179.0347001556,221737.19527232705,200776.84940481887,199397.58831786292,111825.44796789328,35297.56919383179,21946.63541371614,25175.949458242805,923336.126804451,123114.46428932624,922314.7927326837,18015.527281300943,23794.208690197338,71.61445392874627,0.0,53.16985449252385,14.470634786049404,44558.00369973857,46804.40528437195,40143.39133504639,240397.00008982318,86.30163770842182,5631.758795954486,0.0,0.0,0.0,0.0,0.0,0.0,0.21731798898942417,0.0,0.0,0.0,6.803830710925925e-05,3.152635210589483e-05,0.0,3.6916851851851852e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.08475698450944308,0.0,0.0,0.0,3.821119628163426e-05,3.945969036786591e-05,0.0
2026-09-21 23:13:11.250999927,0.0,0.0,0.0,0.0,0.0,0.0,311968.11518865614,0.0,0.0,0.0,97.02505268287261,0.0,0.0,0.008448796525444282,0.02099182889199783,0.0046462789452180325,0.0037948309052495193,0.0034618189086548087,0.0031673079465695583,6.516589872521434e-05,0.00022557400270695766,6.692715720861539e-05,0.030356679282043966,0.0033768902277807582,0.01457470201228853,383217.2920380702,243320.35777262226,264264.87336064514,269887.2947048388,264218.2653198778,161546.58164537358,110248.68145765472,91358.74184279688,104694.29503390686,1544249.1862664933,119191.68676339804,1088293.1234018877,226420.3696761729,145051.4143262544,221737.19527232705,200776.84940481887,214208.48700082276,119572.01248120642,32934.555461011565,20870.11333850445,26664.072302402175,923336.126804451,130039.55962564441,941648.4019716941,18015.527281300943,25182.695019459643,71.61445392874627,0.0,57.11921684198783,15.473069455042724,41575.045466231204,44508.5647349686,42516.22330258726,240397.00008982318,91.1585954810619,5665.682579851247,0.0,0.0,0.0,0.0,0.0,0.0,0.217565105634307,0.0,0.0,0.0,6.818398406432747e-05,3.134680082731482e-05,0.0,3.6916851851851852e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.08475698181127814,0.0,0.0,0.0,3.821119628163426e-05,3.9625355132834484e-05,0.0
2026-09-21 23:13:26.250999927,0.0,0.0,0.0,0.0,0.0,0.0,309821.80824463314,0.0,0.0,0.0,97.11771338880476,0.0,0.0,0.008697025382743981,0.019841478822659755,0.0046462789452180325,0.0036220786071259063,0.0034618189086548087,0.003015573982582118,6.516589872521434e-05,0.00022557400270695766,6.692715720861539e-05,0.029717874873414082,0.0033768902277807582,0.014512532578065144,403987.59659315797,265563.33280325175,264264.87336064514,257601.20039425176,264218.2653198778,173550.7020118261,110248.68145765472,91358.74184279688,104694.29503390686,1584911.459736292,119191.68676339804,1080899.5539233305,238662.33719710037,154537.9465572951,221737.19527232705,191636.8737350939,214208.48700082276,124396.14132275178,32934.555461011565,20870.11333850445,26664.072302402175,958425.0901019167,130039.55962564441,936197.4411993838,18995.409323554475,23796.266944406092,71.61445392874627,0.0,57.11921684198783,14.226050412871519,41575.045466231204,44508.5647349686,42516.22330258726,221294.80801557563,91.1585954810619,5665.682579851247,0.0,0.0,0.0,0.0,0.0,0.0,0.21797194109358023,0.0,0.0,0.0,6.831149032999165e-05,3.1406085549537036e-05,0.0,3.6916851851851852e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.08473986021978458,0.0,0.0,0.0,3.83254108385094e-05,3.960756815582448e-05,0.0
2026-09-21 23:13:41.250999927,0.0,0.0,0.0,0.0,0.0,0.0,309820.61671533895,0.0,0.0,0.0,97.11771338880476,0.0,0.0,0.009148997619045375,0.019841478822659755,0.0046462789452180325,0.0037885090247313344,0.0033457841295166926,0.003015573982582118,6.516589872521434e-05,0.00022557400270695766,6.34166025773983e-05,0.029717874873414082,0.0033768902277807582,0.014557064976854672,424982.2665446243,265563.33280325175,264264.87336064514,287674.431463847,248603.97269428728,173550.7020118261,110248.68145765472,91358.74184279688,99202.72692280865,1584911.459736292,119191.68676339804,1072387.3933761662,251065.28481616976,154537.9465572951,221737.19527232705,199190.7956956152,201549.58170195346,124396.14132275178,32934.555461011565,20870.11333850445,25265.451975282478,958425.0901019167,130039.55962564441,924420.5648841616,19982.57415906959,23796.266944406092,71.61445392874627,0.0,53.7436887904521,14.226050412871519,41575.045466231204,44508.5647349686,40286.10430692277,221294.80801557563,91.1585954810619,5677.427138387815,0.0,0.0,0.0,0.0,0.0,0.0,0.21837877655285337,0.0,0.0,0.0,6.84389965956558e-05,3.146537027175926e-05,0.0,3.6916851851851852e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.08473985751550134,0.0,0.0,0.0,3.83254108385094e-05,3.97738533880776e-05,0.0
2026-09-21 23:13:56.250999927,0.0,0.0,0.0,0.0,0.0,0.0,307631.25080148026,0.0,0.0,0.0,96.53304608755863,0.0,0.0,0.009148997619045375,0.019841478822659755,0.0046462789452180325,0.0037885090247313344,0.0033457841295166926,0.003015573982582118,6.311193017058849e-05,0.00022557400270695766,6.25800131122906e-05,0.029651024451308818,0.0032937241708859625,0.01451513277506342,424982.2665446243,265563.33280325175,264264.87336064514,287674.431463847,248603.97269428728,173550.7020118261,92924.5675604699,91358.74184279688,97894.04823488479,1535987.7106462803,112551.00318368369,1067890.3082630523,251065.28481616976,154537.9465572951,221737.19527232705,199190.7956956152,201549.58170195346,124396.14132275178,24138.498182826563,20870.11333850445,24932.151071502445,921357.4270642734,122674.40178911097,916862.4732326322,19982.57415906959,23796.266944406092,71.61445392874627,0.0,53.7436887904521,14.226050412871519,44102.21715360304,44508.5647349686,39754.65151564042,189581.242487634,85.99557089217885,5753.355201919361,0.0,0.0,0.0,0.0,0.0,0.0,0.21878561201212654,0.0,0.0,0.0,6.856650286131995e-05,3.152465499398148e-05,0.0,3.6916851851851852e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.08452828507790203,0.0,0.0,0.0,3.8523453682491474e-05,3.975541323555112e-05,0.0
2026-09-21 23:14:11.250999927,0.0,0.0,0.0,0.0,0.0,0.0,307631.20598978095,0.0,0.0,0.0,96.53304608755863,0.0,0.0,0.009148997619045375,0.019841478822659755,0.0046462789452180325,0.0037885090247313344,0.0033457841295166926,0.003015573982582118,6.311193017058849e-05,0.00023904573282761254,6.782632929933198e-05,0.029651024451308818,0.003369632064534739,0.014156502912172242,424982.2665446243,265563.33280325175,264264.87336064514,287674.431463847,248603.97269428728,173550.7020118261,92924.5675604699,92828.10396631139,80494.60018651771,1535987.7106462803,117528.8010650669,1037713.1975537381,251065.28481616976,154537.9465572951,221737.19527232705,199190.7956956152,201549.58170195346,124396.14132275178,24138.498182826563,15728.88256589981,15892.779384202999,921357.4270642734,119969.13742839376,893949.6799705818,19982.57415906959,23796.266944406092,71.61445392874627,0.0,53.7436887904521,14.226050412871519,44102.21715360304,36049.60758616333,30680.96996415758,189581.242487634,91.74196854612272,5692.794236566185,0.0,0.0,0.0,0.0,0.0,0.0,0.21902622417924578,0.0,0.0,0.0,6.869833950219735e-05,3.1346466485254804e-05,0.0,3.6916851851851852e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.08452832888277123,0.0,0.0,0.0,3.8523453682491474e-05,3.992231898185011e-05,0.0
