timestamp,api-gateway_energy,clientone_energy,clientthree_energy,clienttwo_energy,kernel_processes_energy,orchestrator_energy,policy-enforcer_energy,rabbitmq_energy,server_energy,sidecar_energy,system_processes_energy,api-gateway_cpu_usage,clientone_cpu_usage,clientthree_cpu_usage,clienttwo_cpu_usage,orchestrator_cpu_usage,policy-enforcer_cpu_usage,rabbitmq_cpu_usage,server_cpu_usage,sidecar_cpu_usage,api-gateway_memory_usage,clientone_memory_usage,clientthree_memory_usage,clienttwo_memory_usage,orchestrator_memory_usage,policy-enforcer_memory_usage,rabbitmq_memory_usage,server_memory_usage,sidecar_memory_usage,api-gateway_memory_rss_usage,clientone_memory_rss_usage,clientthree_memory_rss_usage,clienttwo_memory_rss_usage,orchestrator_memory_rss_usage,policy-enforcer_memory_rss_usage,rabbitmq_memory_rss_usage,server_memory_rss_usage,sidecar_memory_rss_usage,api-gateway_memory_cache_usage,clientone_memory_cache_usage,clientthree_memory_cache_usage,clienttwo_memory_cache_usage,orchestrator_memory_cache_usage,policy-enforcer_memory_cache_usage,rabbitmq_memory_cache_usage,server_memory_cache_usage,sidecar_memory_cache_usage,api-gateway_carbon_coal,clientone_carbon_coal,clientthree_carbon_coal,clienttwo_carbon_coal,orchestrator_carbon_coal,policy-enforcer_carbon_coal,rabbitmq_carbon_coal,server_carbon_coal,sidecar_carbon_coal,system_processes_carbon_coal,api-gateway_carbon_emission,clientone_carbon_emission,clientthree_carbon_emission,clienttwo_carbon_emission,kernel_processes_carbon_emission,orchestrator_carbon_emission,policy-enforcer_carbon_emission,rabbitmq_carbon_emission,server_carbon_emission,sidecar_carbon_emission,system_processes_carbon_emission
2026-06-29 13:17:11.359999895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40818.28577524136,0.0,0.007055601429346017,0.008598860111974863,0.004256650642000852,0.006526804518842887,0.00467424851438873,0.024385264257672377,0.004615574160403383,0.018463494560091658,0.0,29620.857476956044,32666.37128932211,269066.4770687708,1138.1811561568757,546.9720237697803,20489.509899109293,292.2652459328323,291203.8389146751,0.0,29085.70196698394,32281.414051905856,697.9127365666646,1098.9335300825005,601.6692261467583,20748.870783908143,254124.63133859768,276626.4456299803,0.0,374.60885698047394,0.0,0.0,0.0,0.0,401144.83515555743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01249665886777778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007576030221307313
2026-06-29 13:17:26.359999895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40818.28577524136,0.003007734383546657,0.004566075593028551,0.008598860111974863,0.004256650642000852,0.002083580762699956,0.003979865438665926,0.024385264257672377,0.004615574160403383,0.02160737705638673,344.6853988370234,0.0,32666.37128932211,276522.99640966346,2064.8984085423804,714.369084432877,20489.509899109293,292.2652459328323,412950.9558378221,108506.96355389497,113.0445582127037,32281.414051905856,697.9127365666646,958.7028325375338,714.369084432877,20748.870783908143,254124.63133859768,419625.8123326731,0.0,0.0,0.0,0.0,0.0,0.0,401144.83515555743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012856199076111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007780229598790095
2026-06-29 13:17:41.359999895,0.0,0.0,0.0,0.0,0.7344391700890709,0.0,0.0,0.0,0.0,0.0,38530.306149661315,0.003007734383546657,0.004566075593028551,0.006172333445543157,0.004256650642000852,0.0029417911206578795,0.003979865438665926,0.024385264257672377,0.004615574160403383,0.019152683664371405,344.6853988370234,0.0,23448.193531236153,276522.99640966346,2915.4136532913044,714.369084432877,20489.509899109293,292.2652459328323,438499.4962506797,108506.96355389497,113.0445582127037,23171.86801824179,697.9127365666646,1353.584910456677,714.369084432877,20748.870783908143,254124.63133859768,510394.8213328216,0.0,0.0,0.0,0.0,0.0,0.0,401144.83515555743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013215739284444444,0.0,0.0,0.0,0.0,5.8129987145981084e-08,0.0,0.0,0.0,0.0,0.0,0.00796358830590418
2026-06-29 13:17:56.359999895,0.0,0.0,0.0,0.0,0.7344391700890709,0.0,0.0,0.0,0.0,0.0,38530.306149661315,0.003007734383546657,0.004566075593028551,0.006433725794600744,0.004256650642000852,0.0029417911206578795,0.003278996387750702,0.024385264257672377,0.004615574160403383,0.019340458331695655,344.6853988370234,0.0,15023.488421701313,276522.99640966346,2915.4136532913044,883.3297390554237,20489.509899109293,292.2652459328323,448103.97217801615,108506.96355389497,113.0445582127037,126425.4461852054,697.9127365666646,1353.584910456677,828.1216303644597,20748.870783908143,254124.63133859768,527383.8319056331,0.0,0.0,0.0,0.0,0.0,0.0,401144.83515555743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01357527949277778,0.0,0.0,0.0,0.0,6.197899242626269e-08,0.0,0.0,0.0,0.0,0.0,0.00816725469202829
2026-06-29 13:18:11.359999895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37918.63352712146,0.003007734383546657,0.003460286236286862,0.004723328701886872,0.004256650642000852,0.0029417911206578795,0.003278996387750702,0.0,0.004615574160403383,0.01752419746913321,344.6853988370234,0.0,1086.0918723417794,276522.99640966346,2915.4136532913044,883.3297390554237,0.0,292.2652459328323,446167.8696374826,108506.96355389497,85.6679923275422,200796.6653585482,697.9127365666646,1353.584910456677,828.1216303644597,0.0,254124.63133859768,525923.4115440166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01391848222908642,0.0,0.0,0.0,0.0,6.58279977065443e-08,0.0,0.0,0.0,0.0,0.0,0.008354682936882036
2026-06-29 13:18:26.359999895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37918.63352712146,0.0,0.00445652932284197,0.004723328701886872,0.004256650642000852,0.0030206616835131233,0.003278996387750702,0.0,0.0,0.02062875988173957,0.0,0.0,1086.0918723417794,276522.99640966346,107969.53481129138,883.3297390554237,0.0,0.0,469077.47968751204,0.0,117142.73163042494,200796.6653585482,697.9127365666646,840.7939069622583,828.1216303644597,0.0,0.0,598725.1171725999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014277600905012348,0.0,0.0,0.0,0.0,6.967700298682592e-08,0.0,0.0,0.0,0.0,0.0,0.008557954247558492
2026-06-29 13:18:41.359999895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37697.35492559604,0.0,0.004360103003874791,0.004723328701886872,0.0,0.0030206616835131233,0.0024266577100481045,0.01979005917957879,0.004477048778648977,0.018398093534364706,0.0,0.0,1086.0918723417794,0.0,107969.53481129138,653.7179881628448,8045.455311830858,347.4065138721351,462293.82380863716,0.0,220156.20634785673,200796.6653585482,0.0,840.7939069622583,612.860613902667,8079.985162954596,165905.9107358263,696199.4078654696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014636719580938274,0.0,0.0,0.0,0.0,7.352600826710752e-08,0.0,0.0,0.0,0.0,0.0,0.008739518071750057
2026-06-29 13:18:56.359999895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37697.35492559604,0.0,0.004360103003874791,0.004723328701886872,0.004353346208995402,0.0030206616835131233,0.002153408011068879,0.01979005917957879,0.004477048778648977,0.01836678274455374,0.0,0.0,1086.0918723417794,221542.54333343086,107969.53481129138,580.1071765748928,8045.455311830858,347.4065138721351,373305.9482725955,0.0,220156.20634785673,200796.6653585482,171800.34920356225,840.7939069622583,543.850478038962,8079.985162954596,165905.9107358263,758315.649226565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014995838256864201,0.0,0.0,0.0,0.0,7.737501354738914e-08,0.0,0.0,0.0,0.0,0.0,0.008942285736188025
2026-06-29 13:19:11.359999895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37568.53079620763,0.0,0.004360103003874791,0.004723328701886872,0.004353346208995402,0.0031197894535056466,0.002864079033007905,0.01979005917957879,0.004477048778648977,0.02117151545071104,0.0,0.0,1086.0918723417794,221542.54333343086,236761.69417260838,114.25383542538356,8045.455311830858,347.4065138721351,270809.55079961254,0.0,220156.20634785673,200796.6653585482,171800.34920356225,196.29706544832985,114.25383542538356,8079.985162954596,165905.9107358263,669596.2086140049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0152866584668,0.0,0.0,0.0,0.0,8.122401882767077e-08,0.0,0.0,0.0,0.0,0.0,0.009125541681021724
2026-06-29 13:19:26.359999895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37568.53079620763,0.0028218206853550206,0.004360103003874791,0.0,0.004353346208995402,0.0031197894535056466,0.002864079033007905,0.01979005917957879,0.004477048778648977,0.01724426731781348,143517.67079750245,0.0,0.0,221542.54333343086,240005.87868815797,114.25383542538356,8045.455311830858,347.4065138721351,269457.81214888,110174.4650264564,220156.20634785673,0.0,171800.34920356225,196.29706544832985,114.25383542538356,8079.985162954596,165905.9107358263,639337.843115459,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0156441797918,0.0,0.0,0.0,0.0,8.507302410795237e-08,0.0,0.0,0.0,0.0,0.0,0.00932787676678502
