api-gateway_energy,clientone_energy,clientthree_energy,clienttwo_energy,kernel_processes_energy,orchestrator_energy,policy-enforcer_energy,rabbitmq_energy,server_energy,sidecar_energy,system_processes_energy
0.0,0.0,0.0,0.0,20118.41298217472,0.0,0.0,83.69988427608047,10.247399275379818,12.471694979652662,20031.83392877619
0.0,0.0,0.0,0.0,19792.148093006286,0.0,0.0,88.61015437884473,10.377378830806675,12.558655563625504,19275.61662713208
0.0,0.0,0.0,0.0,19024.261889500853,0.0,0.0,89.21890325298011,10.767074315733034,12.73201104870696,18830.178393679907
0.0,0.0,0.0,0.0,18798.09903838896,0.0,0.0,92.25711027016489,10.861090091695427,13.96927140845843,18403.599825198413
0.0,0.0,0.0,0.0,18550.00390820329,0.0,0.0,91.99287648116213,11.592946676810831,14.191977487816558,18275.70661375118
0.0,0.0,0.0,0.0,18481.576548557714,0.0,0.0,92.46713966224277,11.754031198182386,9.109280591616464,18210.267932093233
0.0,0.0,0.0,0.0,18421.938402856827,0.0,0.0,93.16341680792954,11.745998310433086,8.555239880835728,18173.101528859297
0.0,0.0,0.0,0.0,18417.143947446762,0.0,0.0,92.94661198720787,11.716754953812952,7.889179834035478,18139.366221873308
0.0,0.0,0.0,0.0,18347.82555406238,0.0,0.0,92.63839296797501,11.81156712302841,7.900531634390846,18086.33416567909
0.0,0.0,0.0,0.0,18298.10683066447,0.0,0.0,93.64126155145941,11.85491259738031,7.900531634390846,17990.479414467838
0.0,0.0,0.0,0.0,18164.587758351194,0.0,0.0,94.15092188676543,11.828080010946234,7.810688036998917,17923.376682710386
0.0,0.0,0.0,0.0,18154.188470030997,0.0,0.0,92.82540157183332,11.877539095623126,7.810688036998917,17825.397975194974
0.0,0.0,0.0,0.0,18117.60389887944,0.0,0.0,92.50139129757811,11.951867146456367,7.963440756751345,17787.348272901014
0.0,0.0,0.0,0.0,18098.252641511077,0.0,0.0,91.63511177791149,11.978814487466394,7.963440756751345,17890.28473360952
0.0,0.0,0.0,0.0,18983.8322558721,0.0,0.0,91.2416253719458,11.635523227886535,7.551053782789943,18343.57374949837
0.0,0.0,0.0,0.0,19328.889085420138,0.0,0.0,87.04465206023286,11.482382161951538,7.551053782789943,19319.647435224004
