api-gateway_energy,clientone_energy,clientthree_energy,clienttwo_energy,kernel_processes_energy,orchestrator_energy,policy-enforcer_energy,rabbitmq_energy,server_energy,sidecar_energy,system_processes_energy
0.0,0.0,0.0,0.0,18687.73878463649,0.0,0.0,68.07119230715855,10.520967775191554,5.470061944383809,23239.3761103154
0.0,0.0,0.0,0.0,18400.27213507495,0.0,0.0,71.65738186641249,10.713433932592679,5.5383684676981755,22376.211605957797
0.0,0.0,0.0,0.0,17684.875517086675,0.0,0.0,72.4485745967376,11.137657944165305,5.6550222194053665,21868.103579278537
0.0,0.0,0.0,0.0,17489.380509085975,0.0,0.0,74.6645241561067,11.257098692058067,5.995280002519503,21370.486404661544
0.0,0.0,0.0,0.0,17258.8740148481,0.0,0.0,74.30627380880138,11.996564518201287,5.746741154926335,21221.77879199025
0.0,0.0,0.0,0.0,17194.5358560326,0.0,0.0,74.64663732057193,12.178999249956874,3.6999446023146247,21143.37309487172
0.0,0.0,0.0,0.0,17139.30099414571,0.0,0.0,75.60432385226119,12.172829546615292,3.4880027016285426,21098.844597589232
0.0,0.0,0.0,0.0,17137.60931285193,0.0,0.0,75.45355794557375,12.139054828707497,2.8282835101946766,21059.93783119287
0.0,0.0,0.0,0.0,17072.319090933204,0.0,0.0,75.02683866870916,12.22128319439483,2.8316502093211056,21001.243909788547
0.0,0.0,0.0,0.0,17022.695064774336,0.0,0.0,75.74563452714847,12.271365749106664,2.8316502093211056,20888.88624366475
0.0,0.0,0.0,0.0,16897.117950286065,0.0,0.0,76.43606581260657,12.252450690609132,2.79661932904296,20812.170722749106
0.0,0.0,0.0,0.0,16892.389746596877,0.0,0.0,75.47622881369034,12.303072087318675,2.79661932904296,20695.67950659299
0.0,0.0,0.0,0.0,16856.998093122682,0.0,0.0,75.06994043517193,12.38115509068319,2.8462821197990174,20656.72525593072
0.0,0.0,0.0,0.0,16844.800213812312,0.0,0.0,74.4298203282336,12.410230733144541,2.8462821197990174,20776.573997434
0.0,0.0,0.0,0.0,17667.064308849163,0.0,0.0,73.81067314899316,12.06787285694715,2.9934025010084278,21290.973186060743
0.0,0.0,0.0,0.0,17992.484841652786,0.0,0.0,70.73635675530875,11.910448682162723,2.9934025010084278,22441.9887541441
