aggregator_energy,api-gateway_energy,authority_energy,clientone_energy,clientthree_energy,clienttwo_energy,kernel_processes_energy,orchestrator_energy,policy_energy,policy-enforcer_energy,rabbitmq_energy,server_energy,sidecar_energy,system_processes_energy
1976.4294968127542,833.1340697600649,2131.4958457055873,2079.9605919381934,2018.8344273668552,1954.7647099539695,72649.04187088172,675.2061387444784,1696.6899112735164,793.0770938376163,4441.450253792546,2002.564624760428,22662.10329448779,202847.71099402232
1945.0175858110595,816.4826137929116,2105.804159344356,2052.8911135641197,1989.548141659835,1922.7725791231128,71631.3678134986,664.1707954369533,1679.2463564487173,784.830329510352,4380.155980926233,1973.0305996032068,22294.131749213215,200239.88958996447
1916.6775770011207,798.8717614037575,2078.1021991372627,2024.133043974716,1958.3274009127686,1902.8275219575212,70589.77731156019,657.7719844812103,1654.454052682067,772.9605460503617,4320.214655109882,1945.312402650872,21944.922205631512,197690.56163312765
1887.5361377442857,782.6228993124818,2047.8050224673775,1997.01018912349,1927.6749134215734,1874.4724368716902,69549.22339168188,646.331015567335,1630.585173747055,764.9401801200355,4257.915717801,1915.5210622907127,21580.07423843101,194950.9925684776
1856.8014456227272,764.7189625339664,2019.514145777037,1967.927649012176,1896.6220063473106,1851.6336793520072,68501.89373770573,639.7877527198774,1604.2204390784068,752.087249977714,4190.157433683959,1886.3141366908342,21218.162805874435,192302.31914504198
1828.4036077222518,748.1019951549991,1994.8400195587421,1941.0103749461948,1866.2863205538467,1822.6434650406215,67469.90523612492,629.011296645954,1580.3779441648817,744.2346758767852,4127.035252908177,1857.0601697368204,20868.88550934562,189584.35901204182
1796.781206647617,731.7184050230403,1966.304398663756,1912.2476678415233,1835.539278817282,1797.4507133769694,66430.87516935705,622.7537072034294,1555.4104823871226,732.7089104954473,4066.850200143389,1829.3266486308858,20524.037528594785,186956.65242091872
1767.0091215492434,715.9500766067259,1941.118755805035,1884.6715990044265,1805.0462765104166,1769.1541184293806,65400.711211779686,612.4818840195157,1532.4870658040395,725.3113085611511,4003.2651989378546,1798.9046931798355,20177.167728307733,184170.9007218139
1735.2465447422467,699.9130295800693,1909.4502207551059,1855.3355883208699,1775.6793798449012,1745.7540299568434,64361.27010810605,606.5971977324302,1506.72627863227,714.1793031558611,3938.7716440507843,1769.5230562967827,19828.77793666352,181434.7449045719
1708.2994941732106,684.3609967659598,1883.8356444158828,1829.3753035093773,1750.5091895791033,1716.4156323679897,63344.311712228344,597.5618651319638,1484.2133033065843,707.6008069585149,3875.5884945468524,1739.6668098313671,19490.706099223713,178723.01085053795
1678.3198915022076,669.5806592385917,1852.9570444100393,1799.9298302840723,1723.0603782163412,1690.7205804298246,62318.03535479939,591.8087184460157,1459.9977789884722,696.8130996661037,3815.8014572452485,1712.3286062614864,19154.107417248004,176059.52707979674
1651.2312384072613,655.2014545529396,1827.4475595564081,1773.5684385413858,1696.2846264101117,1661.1406232267514,61296.323914549655,583.0109820299976,1437.1895777865357,690.6571909609731,3753.0402999954977,1682.8958853146446,18823.79308077921,173288.76612174738
1620.7491185642864,641.2894722108765,1796.1927192971737,1743.6368608540479,1667.504242250027,1636.5105960490444,60268.158976021456,577.4226421218251,1411.8788430759832,678.7088418897528,3688.9385591731216,1655.4708037021662,18482.37970986314,170503.78885009335
1592.3394646098677,627.3242223732382,1768.9963571305032,1718.2259220609744,1645.1453911106664,1608.0742068452446,59259.52295076197,569.9001115870003,1388.5984186557328,673.7774855279497,3626.2414204718493,1626.1185926987089,18156.941333695428,167739.7043509148
1564.8840665649777,613.5332259140928,1739.5458256034678,1688.8657960543787,1617.1582013628215,1581.341078748696,58246.05442126277,564.5679781730622,1364.2751055629126,662.0928377368508,3566.750949539421,1602.414004177044,17827.17396813436,164983.2904999156
1533.9682722312189,600.1824886922133,1713.0961305021362,1663.1667720840423,1592.8712845600578,1553.2941509779441,57235.75367888682,557.9534328947456,1340.7825023274922,657.9967552329629,3504.978653602895,1573.6594012282756,17502.724931871493,162231.4754271541
1504.9123245180226,587.2663913637754,1683.7345471625454,1633.4697056410103,1562.5185893367466,1528.4406017996794,56160.240267531844,553.5943776070999,1315.911343871397,645.3214357576934,3437.5198524905827,1547.7654583149672,17153.29899747506,159420.3157098611
1473.4271763810011,575.1579999992629,1658.3535758130993,1606.1020870693903,1536.6569649432643,1500.644913456032,55168.570930794005,548.52678267548,1292.0387377243985,641.6133891939509,3376.443755578146,1518.8100893451535,16833.990687496906,156730.4814072496
1445.6454328796308,563.1634132570994,1628.6333364333627,1576.1436130585462,1509.3038824062278,1478.0622370368917,54203.032845448535,545.8388722896648,1266.858790187804,630.5905211287835,3316.597358382293,1491.1803668010552,16500.76692064611,154084.90877115165
1414.638872322048,552.0349517336645,1599.0357131216679,1548.9517787293646,1480.4504508986947,1452.2314831613035,53196.08744469395,541.5013056204891,1242.7541419243912,627.8625943519785,3258.00944263542,1460.1675796224492,16170.725858329477,151301.21490992387
