aggregator_energy,api-gateway_energy,authority_energy,clientone_energy,clientthree_energy,clienttwo_energy,kernel_processes_energy,orchestrator_energy,policy_energy,policy-enforcer_energy,rabbitmq_energy,server_energy,sidecar_energy,system_processes_energy
6420.183280056383,3041.9209003351366,6498.872445519142,6402.698456819695,6419.453206443061,6162.175471592153,234599.56327216304,2388.931925036056,5294.744993138087,2477.025146530322,13867.984600887297,6323.431311474255,71348.42526964968,608184.4954943707
6444.766710869534,3035.3230089000626,6525.544183005588,6427.56625970227,6445.8585337664,6189.827116376339,235467.9486378172,2395.6866650114844,5314.839881741774,2481.5363726496103,13923.619996872761,6351.5266054172425,71387.65027066045,610359.481007357
6470.075901773332,3030.1117201548254,6554.6178193358555,6455.965755530103,6472.1095982528395,6212.4924886858325,236333.00174516634,2402.298209191426,5332.018592744464,2485.4109367276574,13972.2187676267,6374.589594955963,71393.23446483327,612452.1769009428
6496.423262434507,3023.631210489503,6583.890369266381,6480.243596251557,6497.617540559852,6234.9133200779015,237142.93836948762,2409.8000447505733,5349.70427716577,2489.6401469313737,14019.388076739122,6403.747865622357,71425.96885959998,614516.5324692293
6518.521233106639,3018.533498149537,6615.449313651405,6509.002678551576,6526.2908223045015,6255.183667117654,238002.6148191227,2415.9295468734467,5367.024679930081,2493.5024685281014,14067.927228576951,6426.708172519071,71436.91767893946,616679.2832211512
6546.683285011853,3012.822294068602,6641.929408117978,6533.046177553166,6550.648419640901,6290.012537408147,238899.00971518378,2422.4455002186914,5386.156487003502,2497.120892925706,14124.79727351597,6457.621979430041,71493.34020346709,618897.4685085545
6569.309548215526,3008.4516380069254,6668.732489653574,6560.515415882799,6577.067547616697,6313.900179005308,239799.16263093837,2428.367835820235,5404.042713781169,2500.7275458587715,14174.149987193854,6482.2419863010045,71506.9207158831,621165.2490456864
6595.031894991007,3002.7667653934423,6697.9450385430655,6586.31337406281,6603.65781744593,6335.794885108075,240669.6135329964,2435.0910509168216,5421.464707404696,2504.268236984087,14220.24285156008,6510.51206658056,71560.27487755741,623439.685919606
6620.261907689536,2998.5994768220694,6727.896423098906,6610.665497327304,6635.67388573293,6359.0428606530395,241534.0516884494,2441.5828201295876,5438.571249542834,2508.8982716357436,14273.636758766974,6534.507240779776,71576.67740051798,625779.9852986073
6646.857116298709,2993.416479538709,6754.859785763349,6635.740441531382,6661.337697982457,6378.966329539193,242405.78907763184,2449.008547452949,5457.284999175266,2512.8722492864063,14331.59838450439,6563.244901063498,71617.38624494446,627962.4486094499
6673.807069979485,2989.2040553403167,6781.91508972675,6664.189242544045,6692.8880218599825,6403.473978081046,243281.76719695708,2454.4896843117776,5476.626529841974,2516.2061295001445,14385.213988917441,6587.368088262342,71629.67488616114,630102.941818322
6701.871343867615,2983.925581664079,6810.348059387744,6691.1311767807965,6718.0336091154195,6426.291361152939,244158.65766574335,2461.751247108985,5494.475306856141,2519.827441162368,14432.211201758313,6616.851745846126,71687.68295327584,632244.175547602
6729.771328842524,2979.8228857696063,6841.416271146659,6719.404382778018,6750.811175678567,6449.841906492702,245036.84868903522,2468.883774793483,5513.652240060631,2524.0220527003135,14490.950203309516,6640.745358501711,71710.17761015442,634487.49494463
6757.177890580605,2974.9630593029606,6865.751779159767,6744.344411419489,6776.186581873619,6484.86904581918,245911.2662521679,2477.5840459683054,5534.096040087413,2528.762303267178,14551.82386656221,6670.734358622483,71758.24566683086,636605.8288941374
6783.829126757273,2972.827495395285,6892.011316253243,6771.8652930445105,6806.862992008298,6513.411161858093,246783.3507225209,2484.0614398312746,5552.064449648333,2532.111245409018,14610.351926599451,6693.9404486803005,71779.33984650172,638768.3604289423
6810.357862946215,2967.5606473967214,6920.258883884241,6797.082443492949,6833.645782757946,6540.5568777499775,247662.59746657163,2492.9040663859623,5570.379395415086,2536.126128689858,14660.01286133322,6727.179308182318,71839.13147626338,640902.6094981293
6841.24465607139,2965.3144098748508,6954.627590215866,6824.806130902893,6866.631457068125,6566.7351869675085,248546.31989059108,2499.508551668939,5589.889702034479,2540.422921615911,14720.125242631111,6750.340185086326,71881.6449021367,643083.1688662096
6867.189573715427,2959.9425930640987,6980.035392162616,6850.301521846297,6890.361597347516,6591.275467639384,249417.5823692594,2507.67970971439,5608.900466616969,2544.3896989229906,14781.206495664028,6783.296697047178,71938.14142708738,645110.1302050095
6896.545047983325,2960.4778760511076,7010.703461740969,6877.819805773677,6920.476594634233,6618.166861257028,250293.6752931836,2513.2717430921007,5627.54711652691,2547.6036725991385,14835.749788950174,6807.7519394912415,71978.74582117576,647140.924174271
6921.349144664154,2955.841538700029,7036.889090875629,6903.351253733529,6946.984907318195,6644.4717534781785,251166.35459049168,2521.811453790513,5646.607211253996,2551.4202419877656,14887.239506974403,6838.880839089781,72043.93666661868,649178.7928501612
6951.998601242756,2955.868002883942,7071.45973524558,6928.85964347899,6980.287495527786,6670.954620936369,252047.84199082523,2527.9202550878117,5664.687490033769,2554.9651294830705,14941.48310149185,6862.812931802058,72097.5042509356,651354.9158777843
6976.87928568521,2950.2365744629096,7098.998989646851,6953.552736720547,7005.34787040498,6695.437592664624,252919.0394969212,2536.3301758670527,5683.234116276923,2559.520817600291,14998.91892171789,6894.12733331101,72158.72280420129,653332.1552782605
