api-gateway_energy,clientone_energy,clientthree_energy,clienttwo_energy,orchestrator_energy,policy_energy,policy-enforcer_energy,rabbitmq_energy,server_energy,sidecar_energy,system_processes_energy
107.13564288344908,103.76179011204303,96.9381330614043,123.80022801343803,67.44310609188368,66.71724948500372,69.91473794761197,166.35858737290502,135.93122888486363,928.1636570068223,7095.721355490065
87.73824716448982,94.22944676269174,85.18075203262953,86.29304635250728,54.31584255428596,56.64332516626445,61.666608029941536,146.70812932202895,93.95273398598472,710.5405541383676,6055.110478596023
74.97900448079119,84.41667793636017,74.99838674569577,74.57488556057079,55.376695446621305,50.77930288442062,63.319155632773054,131.96758862647889,82.73260518971777,586.9203391531281,5200.787207746859
62.93485393215388,75.84447449366425,63.929764281484715,63.663438903438916,55.018237876265346,42.561631111138375,64.44644833289274,123.3493934114742,72.39964012379784,473.7771319124302,4207.28720884155
51.691850344184935,74.18908161470151,53.835532081710475,53.25341159214663,57.50232057080184,36.657800179548566,65.08142662005935,110.52409797837007,63.07672279198578,396.9881024206119,3339.157902571966
45.1269843371252,66.52417210069255,47.39309109683048,44.609784590107445,58.25473709697085,29.374901681307264,64.1096983179924,107.14631964265375,56.344183967102424,337.8339419959246,2489.6211774831604
42.83480457050754,60.23133906415107,38.887181398153004,36.02558936866781,58.1308108524227,22.58306349883537,63.16608249302613,103.84964812577006,49.12138966504156,284.24643586989106,1904.1462418126505
43.27584494847276,54.045301683738835,30.888132767519245,29.317952680763852,57.63879590151368,19.14368093351753,63.263834009285404,109.04051243858446,43.83669737951327,242.73123697694842,1646.171623588628
44.21625006240361,52.59867350915221,25.550862077180827,22.83510769498814,57.802217085935574,18.193942776530907,61.81348034990592,109.33042718915962,40.09467304018933,221.79131149517752,1463.718656017925
45.23915618712666,51.666737412926366,24.307912575234372,21.621187061521397,58.74960996745055,17.547895300546088,62.145119212911986,115.08946962329249,40.758550152394214,220.79035362633547,1237.400752352706
46.6753696798225,54.33981582550881,24.811128816700666,22.168540515760732,58.376438668464196,16.61385179577255,60.844745687932544,113.2669524888354,40.49656813447612,219.86281452068204,1141.8322947829467
48.37537327594512,54.45638907452136,23.33389278133421,23.912953010359942,57.794073871550715,17.574604048932656,62.432054394188626,117.40446391461876,40.04845477322749,211.81135813829573,1270.2949480604527
48.821553166564506,57.43300313921617,25.744390945455084,25.024261132770217,58.09221743908787,18.071575361114437,61.62459552262865,120.18489192888116,39.234743506096585,217.54158367503015,1226.0642546772904
47.71825527675678,58.32989769152333,29.884049105329535,24.558452881502113,57.81835328117733,19.41681853133818,61.78257045021405,117.03877892267236,40.324575565427686,210.00935399949614,1117.714873143195
47.88696186954337,53.01825162139724,26.149892615278286,24.064113933249786,53.72471171874924,19.524877757474354,58.56766233726494,114.89989679953015,39.213977765601264,196.3219429449927,1290.003595725537
46.32239253494422,53.077125726554186,23.75434804316197,24.963852330223805,49.532304707868754,18.929302599908713,52.004405666566505,107.86363084641131,35.583861648312755,257.62826216514014,1288.532578268348
41.03674721219006,50.59463555533395,26.038742278167028,23.274596826475122,43.96015380545068,18.851527720269843,45.78983548959671,108.75316585346083,34.69073325115359,235.55903959620218,1318.4980519280912
38.799281118392976,50.08335045718831,26.666917726479614,23.57914461725739,39.365551257031626,19.431808180431425,40.40693487042339,97.83286082144438,30.76045493963812,170.74057918632147,1386.5238329533656
32.510571511555284,44.083899173087595,25.105136240393122,23.841482677819695,33.646002236782174,19.18156397411271,35.4861900355158,98.1693986503586,31.464296880938548,150.03498636179415,1369.2819965762756
26.1244334116731,44.1336717461171,25.345864141610072,23.69789970569886,26.034762692583115,19.380272535444718,25.35402684895397,88.67475714758262,31.820429006363316,158.07361628207917,1389.2155574872713
20.67180787503532,38.213491377081475,24.388564189721126,21.6811431768015,23.527349439380654,19.038695709982285,23.45879610849402,88.29699221792875,30.058781069961586,146.4774868697599,1384.845421408488
19.053113975330117,37.463193734459516,22.26044419883901,19.672716215967426,19.048805500817714,19.452703694025892,18.807121065704894,83.65520085456298,28.081129111319747,150.7693030693884,1474.45737256711
