api-gateway_energy,clientone_energy,clientthree_energy,clienttwo_energy,orchestrator_energy,policy_energy,policy-enforcer_energy,rabbitmq_energy,server_energy,sidecar_energy,system_processes_energy
448.08072077837846,780.6270614350113,725.4235527108107,720.9448757031358,323.22220540540536,587.4984381405404,326.9634810810811,1592.5176556216218,779.4884432432434,5712.8137886234645,68658.94501236043
411.9012587027028,781.622292335135,716.4935986567565,720.2869055680005,309.71484904054046,588.6608646918918,314.0781117972973,1593.408282513514,781.487878281081,5492.114174777836,68659.59522220193
379.177420864865,783.6066847621623,708.2140668608107,710.4013325675672,294.929170662162,590.2850917189188,301.90000098648653,1595.762233864865,779.1452269297295,5214.307106292117,68671.41850884781
339.8836337432433,785.9056131405407,698.9518384824324,705.7581499310808,279.29132371621614,591.1039120216216,287.9781418986488,1593.417167402027,774.4208023297297,4972.10734657973,68523.25804884729
312.36293914864865,796.2403486342345,700.0956378954955,704.139345877027,268.06165074324326,592.461592362162,279.285362168919,1596.264708618243,777.7249982756758,4737.522913799099,68148.06398663715
291.5906444594596,805.5749756612612,708.0180270846847,708.5157245072072,264.1496005135135,592.0185584172972,276.10479028378376,1603.443174989189,788.4881559027028,4669.311137445496,67581.67078531242
276.4040660810811,810.1165572675674,714.1026650662162,711.7441596423422,266.6619086216216,594.0578918918917,277.70616055405395,1614.7977858,793.6009856324324,4698.741789379955,67466.26387882378
259.8773645574324,811.0488255108107,715.0436799310812,711.9373779851352,267.93831202702694,593.5964108108107,279.0613256756757,1619.7932432432433,796.5915183,4734.0538533864865,67555.80019459459
247.36983144932424,814.3444913554977,719.8527631243244,712.3829693094596,269.9827066216217,594.3911351351352,280.6119851351351,1626.040410810811,799.6594946513512,4777.160135750682,67654.98585892466
241.85811891891893,816.3405825187409,721.4954009621622,713.7177253470269,271.10695135135137,594.5208324324326,281.9565729729729,1630.6221405405406,805.0872069664863,4816.075497657168,67683.49698324899
240.06794594594612,817.2611027027026,723.3900324324325,712.3835675675674,270.7321621621621,594.3375243243242,281.49324324324317,1627.1944540540542,805.0824972972972,4835.529535135135,67650.68442162161
238.247027027027,818.9328648648648,724.7642594594595,713.2523351351352,269.90270270270275,594.5296864864864,281.6916324324323,1626.7776324324327,805.140681081081,4841.875556756757,67504.53424864863
237.56993513513507,820.6503567567564,727.0994918918918,713.6926054054055,269.97849729729734,593.6109081081082,281.40304864864845,1623.5815135135135,804.7316432432433,4853.4588,67365.8496
241.37522512702694,813.4795666168051,720.5441837837836,710.440637837838,271.323827027027,593.9304324324326,284.571535135135,1624.1580972972972,798.5456756756759,4830.308034925516,67805.26090797565
260.09936542702684,800.5172539162645,714.5469956718915,704.8401081081082,280.5526702702702,592.4595891891893,293.87072432432427,1625.76467027027,793.2961945945946,4810.293029358597,68696.53190830002
299.9754329513511,798.9621081081083,719.6664648648648,709.2126853653322,297.700349545946,594.1487675675676,308.57845688918917,1626.4605405405403,793.273659574054,5014.424062558779,69175.57537282507
338.1071377556755,798.7487838140541,726.4301209475675,720.0127604215483,314.2737147783786,592.2088540540541,322.8116108108108,1623.805297297297,799.2997297297298,5507.058260272044,69426.20773466284
382.873835801081,800.6293297599999,738.4006804070272,727.8832378918919,333.19307652972986,593.9026054054056,338.55038477837826,1625.675254054054,803.9232617448647,5832.76618894297,69656.2774054054
418.86426644594593,794.4802068140541,743.6581579064866,735.0871135135135,348.9431088675675,592.9258378378378,352.1956864864864,1626.8701621621622,807.6950683540539,6047.82201920301,70073.63174450675
450.7030426713512,788.4588300302702,740.8893550205405,732.5280301362162,358.13065212162155,593.1556540540539,357.6933291972974,1621.6210702702704,796.8126076799999,6147.303086959377,70877.52268775136
468.72934680486475,779.4434524275674,735.0695698416215,729.9166378378377,358.69081447837834,594.8452216216216,358.8198616297298,1617.6001621621624,792.5319243243245,6087.810124172221,71455.5295715973
489.33490420486487,780.8533466572973,735.610830696216,729.5835342443241,355.99653840810805,595.2042486486487,355.3937075756757,1612.6639783783783,791.3596123070271,6034.804996680321,71578.24098143695
