api-gateway_energy,clientone_energy,clienttwo_energy,kernel_processes_energy,orchestrator_energy,policy-enforcer_energy,rabbitmq_energy,server_energy,sidecar_energy,system_processes_energy
0.0,0.0,0.0,2073.7640793903365,0.0,0.0,0.0,0.0,2.6188090849241834,4.4892011001678895
0.0,0.0,0.0,1265.5033533139058,0.0,0.0,0.0,0.0,3.1231133478350994,3.449407920707777
0.0,0.0,0.0,1657.8902661437867,0.0,0.0,0.0,0.0,2.9549827359411323,5.03234444782011
0.0,0.0,0.0,1165.8842366969006,0.0,0.0,0.0,0.0,4.270239832810095,5.0736326505469656
0.0,0.0,0.0,1179.183202827226,0.0,0.0,0.0,0.0,4.315953241516097,4.92303664622242
0.0,0.0,0.0,986.26070243119,0.0,0.0,0.0,0.0,4.9860457847126884,6.09032423985759
0.0,0.0,0.0,861.9996230432881,0.0,0.0,0.0,0.0,4.409920794595516,4.978689404981592
0.0,0.0,0.0,690.3496955709061,0.0,0.0,0.0,0.0,5.136874770401838,3.8872632918690417
0.0,0.0,0.0,614.6546384322637,0.0,0.0,0.0,0.0,4.807481935342569,3.510049267997376
0.0,0.0,0.0,141.47712905668405,0.0,0.0,0.0,0.0,4.119056275399696,3.5485804434757515
0.0,0.0,0.0,120.33974544933322,0.0,0.0,0.0,0.0,4.205523960711433,3.7475694407490674
0.0,0.0,0.0,107.08381511766335,0.0,0.0,0.0,0.0,3.8926467335057118,3.197982338498322
0.0,0.0,0.0,116.85207498383122,0.0,0.0,0.0,0.0,3.708985315180027,3.229493628257199
0.0,0.0,0.0,337.9868862742186,0.0,0.0,0.0,0.0,3.0743623025246496,4.764456805716482
0.0,0.0,0.0,850.1435866923367,0.0,0.0,0.0,0.0,3.493548159745479,5.20522032654925
0.0,0.0,0.0,801.7671051243987,0.0,0.0,0.0,0.0,2.7713044785094674,7.606269456682279
0.0,0.0,0.0,918.7286152961161,0.0,0.0,0.0,0.0,3.099149604109079,5.348975927963139
0.0,0.0,0.0,631.304397840668,0.0,0.0,0.0,0.0,2.42096427344574,4.738447073416587
0.0,0.0,0.0,402.33838264738034,0.0,0.0,0.0,0.0,2.509171198723575,3.6140819905132755
0.0,0.0,0.0,450.05186876402666,0.0,0.0,0.0,0.0,2.4395202279499903,3.886473894585224
0.0,0.0,0.0,494.16372668607295,0.0,0.0,0.0,0.0,2.638920475670157,2.698275609843317
0.0,0.0,0.0,660.9876043010821,0.0,0.0,0.0,0.0,2.2240841877858664,2.8972304633158803
0.0,0.0,0.0,586.4058175992651,0.0,0.0,0.0,0.0,1.9738629288645153,2.8961915867410686
0.0,0.0,0.0,638.2796165412082,0.0,0.0,0.0,0.0,2.23736235061457,3.539059592736734
0.0,0.0,0.0,981.71608724,0.0,0.0,0.0,0.0,2.4820502037877152,2.831879387043492
