timestamp,api-gateway_energy,clientone_energy,clienttwo_energy,kernel_processes_energy,orchestrator_energy,policy-enforcer_energy,rabbitmq_energy,server_energy,sidecar_energy,system_processes_energy,api-gateway_cpu_usage,clientone_cpu_usage,clientthree_cpu_usage,clienttwo_cpu_usage,orchestrator_cpu_usage,policy-enforcer_cpu_usage,rabbitmq_cpu_usage,server_cpu_usage,sidecar_cpu_usage,api-gateway_memory_usage,clientone_memory_usage,clientthree_memory_usage,clienttwo_memory_usage,orchestrator_memory_usage,policy-enforcer_memory_usage,rabbitmq_memory_usage,server_memory_usage,sidecar_memory_usage,api-gateway_memory_rss_usage,clientone_memory_rss_usage,clientthree_memory_rss_usage,clienttwo_memory_rss_usage,orchestrator_memory_rss_usage,policy-enforcer_memory_rss_usage,rabbitmq_memory_rss_usage,server_memory_rss_usage,sidecar_memory_rss_usage,api-gateway_memory_cache_usage,clientone_memory_cache_usage,clientthree_memory_cache_usage,clienttwo_memory_cache_usage,orchestrator_memory_cache_usage,policy-enforcer_memory_cache_usage,rabbitmq_memory_cache_usage,server_memory_cache_usage,sidecar_memory_cache_usage,api-gateway_carbon_coal,clientone_carbon_coal,clienttwo_carbon_coal,kernel_processes_carbon_coal,orchestrator_carbon_coal,policy-enforcer_carbon_coal,rabbitmq_carbon_coal,server_carbon_coal,sidecar_carbon_coal,system_processes_carbon_coal,api-gateway_carbon_emission,clientone_carbon_emission,clientthree_carbon_emission,clienttwo_carbon_emission,kernel_processes_carbon_emission,orchestrator_carbon_emission,policy-enforcer_carbon_emission,rabbitmq_carbon_emission,server_carbon_emission,sidecar_carbon_emission,system_processes_carbon_emission
2026-07-07 15:53:18.052000046,0.0,0.0,0.0,45660.46523101536,0.0,0.0,0.0,0.0,38.78178545236342,119.88079205280353,0.11579379262483291,0.03847930769465369,0.0483710043450032,0.07333092249452083,0.0,0.0035825787905811816,0.04493915197689488,0.05722471891549573,0.08284413100004337,20705.30175811371,288640.01951874106,76343.56490036458,98258.29846582985,0.0,24131.60541145665,48288.41748829798,77180.87615760925,790643.5409043127,20494.73936735323,203769.41047302447,83789.7218199071,95429.15587434417,0.0,1282.3558431208849,43903.19689273977,73872.58726239754,815712.9199040598,0.0,4672.005855622312,2250.2122559057084,2557.1096499966793,0.0,22732.671764415685,101.98187431530724,3383.4772791937808,10452.542114604214,0.0,0.0,0.0,0.07196112574137589,0.0,0.0,0.0,0.0,7.181667036231883e-05,0.00022786988115700482,0.0,0.0,0.0,0.0,0.04118070451565594,0.0,0.0,0.0,0.0,4.081760802080034e-05,0.00012949962923382164
2026-07-07 15:53:33.052000046,0.0,0.0,0.0,42445.2103764842,0.0,0.0,0.0,0.0,38.61180188408789,129.8472595387785,0.11579379262483291,0.030402547063892,0.0483710043450032,0.054235753973954526,0.0029228298570750976,0.0035825787905811816,0.03515954882185443,0.0,0.08604461378364173,20705.30175811371,505382.5948458185,76343.56490036458,72672.1104850457,8646.091185523392,24131.60541145665,1022803.4533222913,0.0,745493.4465335193,20494.73936735323,329506.67119245935,83789.7218199071,70579.66876565346,533.2391039529846,1282.3558431208849,725571.9650129897,0.0,772799.3083008695,0.0,4224.444502467428,2250.2122559057084,1891.2454002199047,7998.5865592947675,22732.671764415685,975.8244750246747,0.0,10403.609374722315,0.0,0.0,0.0,0.07233747994350355,0.0,0.0,0.0,0.0,7.220444210144927e-05,0.00022909291557729464,0.0,0.0,0.0,0.0,0.04135328071491177,0.0,0.0,0.0,0.0,4.102713015444559e-05,0.00013043751104501375
2026-07-07 15:53:48.052000046,0.0,0.0,0.0,42445.2103764842,0.0,0.0,0.0,0.0,38.61180188408789,129.8472595387785,0.11579379262483291,0.030402547063892,0.002678827965365481,0.048124843766077806,0.0029228298570750976,0.0035825787905811816,0.026973566679865713,0.0,0.06139391902649511,20705.30175811371,505382.5948458185,308521.81306630507,64483.918946226564,8646.091185523392,24131.60541145665,1838517.8083904719,0.0,605895.3997411382,20494.73936735323,329506.67119245935,4714.6190466256385,62627.23910945814,533.2391039529846,1282.3558431208849,1296160.3901381742,0.0,543620.0511286281,0.0,4224.444502467428,0.0,1678.1529293868487,7998.5865592947675,22732.671764415685,1707.2713252610301,0.0,3093.8803017190835,0.0,0.0,0.0,0.07271383414563122,0.0,0.0,0.0,0.0,7.259221384057971e-05,0.00023031594999758454,0.0,0.0,0.0,0.0,0.041566640871942936,0.0,0.0,0.0,0.0,4.124657452938982e-05,0.00013112661247208554
2026-07-07 15:54:03.052000046,0.0,0.0,0.0,40328.33941155683,0.0,0.0,0.0,0.0,40.30135543273173,134.5274653474585,0.0,0.030402547063892,0.004005524408052655,0.0074206941267582725,0.0029228298570750976,0.0035825787905811816,0.026973566679865713,0.005362114992917566,0.059580106803895375,0.0,505382.5948458185,461318.0348388443,352220.7373520883,8646.091185523392,24131.60541145665,1838517.8083904719,363527.9934656066,657141.4954712685,0.0,329506.67119245935,7049.546260561177,214969.36404733174,533.2391039529846,1282.3558431208849,1296160.3901381742,33498.44394586379,519861.97238710243,0.0,4224.444502467428,0.0,0.0,7998.5865592947675,22732.671764415685,1707.2713252610301,0.0,2958.7564144711973,0.0,0.0,0.0,0.0729468872868912,0.0,0.0,0.0,0.0,7.300726144444444e-05,0.00023196697610496452,0.0,0.0,0.0,0.0,0.04173830907229024,0.0,0.0,0.0,0.0,4.1491600120621504e-05,0.00013182434701928188
2026-07-07 15:54:18.052000046,0.0,0.0,0.0,40328.33941155683,0.0,0.0,0.0,0.0,40.30135543273173,134.5274653474585,0.0,0.030402547063892,0.004005524408052655,0.0074206941267582725,0.0029228298570750976,0.0035825787905811816,0.026973566679865713,0.005362114992917566,0.05645841573935683,0.0,505382.5948458185,461318.0348388443,352220.7373520883,8646.091185523392,24131.60541145665,1838517.8083904719,363527.9934656066,758954.9125450426,0.0,329506.67119245935,7049.546260561177,214969.36404733174,533.2391039529846,1282.3558431208849,1296160.3901381742,33498.44394586379,540112.0225547791,0.0,4224.444502467428,0.0,0.0,7998.5865592947675,22732.671764415685,1707.2713252610301,0.0,2534.9805153378456,0.0,0.0,0.0,0.07332250359765509,0.0,0.0,0.0,0.0,7.339517811111112e-05,0.0002331922846156028,0.0,0.0,0.0,0.0,0.04195139549561458,0.0,0.0,0.0,0.0,4.1711179875189004e-05,0.00013251349365559276
2026-07-07 15:54:33.052000046,0.0,0.0,0.0,39827.832665129106,0.0,0.0,0.0,0.0,41.39278737490582,144.192496683046,0.002714265319324556,0.021848621544426742,0.004005524408052655,0.0074206941267582725,0.0029228298570750976,0.0,0.026973566679865713,0.005362114992917566,0.020915261688765653,593.9012692676616,363190.394104865,461318.0348388443,352220.7373520883,8646.091185523392,0.0,1838517.8083904719,363527.9934656066,534772.1366416194,1005.0636864529658,236798.1386598432,7049.546260561177,214969.36404733174,533.2391039529846,0.0,1296160.3901381742,33498.44394586379,160734.87646864963,0.0,3035.8735725620922,0.0,0.0,7998.5865592947675,0.0,1707.2713252610301,0.0,228.91207153502233,0.0,0.0,0.0,0.07369811990841899,0.0,0.0,0.0,0.0,7.378309477777778e-05,0.00023441759312624116,0.0,0.0,0.0,0.0,0.04215442183857524,0.0,0.0,0.0,0.0,4.1942443031765434e-05,0.00013348528316490504
2026-07-07 15:54:48.052000046,0.0,0.0,0.0,39827.83679047289,0.0,0.0,0.0,0.0,41.39278737490582,144.192496683046,0.002714265319324556,0.00395488807946306,0.004005524408052655,0.0074206941267582725,0.002043938565620396,0.0,0.026973566679865713,0.005362114992917566,0.01662398989650965,593.9012692676616,387814.2259595119,461318.0348388443,352220.7373520883,38.28517503123892,0.0,1838517.8083904719,363527.9934656066,718749.9351328289,1005.0636864529658,38427.254353065786,7049.546260561177,214969.36404733174,0.0,0.0,1296160.3901381742,33498.44394586379,258628.49152755138,0.0,0.0,0.0,0.0,114.85552509371676,0.0,1707.2713252610301,0.0,0.0,0.0,0.0,0.0,0.07407373621918288,0.0,0.0,0.0,0.0,7.417101144444445e-05,0.0002356429016368794,0.0,0.0,0.0,0.0,0.042367517289672176,0.0,0.0,0.0,0.0,4.216208396906772e-05,0.00013417589458171355
2026-07-07 15:55:03.052000046,0.0,0.0,0.0,38208.13694732279,0.0,0.0,0.0,0.0,42.378707771903194,156.2046550080337,0.002714265319324556,0.00395488807946306,0.004005524408052655,0.0074206941267582725,0.0022988318870176623,0.0,0.0,0.005362114992917566,0.016021904882649346,593.9012692676616,387814.2259595119,461318.0348388443,352220.7373520883,43.05960200675134,0.0,0.0,363527.9934656066,718676.8907590653,1005.0636864529658,38427.254353065786,7049.546260561177,214969.36404733174,0.0,0.0,0.0,33498.44394586379,258555.44715378768,0.0,0.0,0.0,0.0,129.17880602025403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07433964518924273,0.0,0.0,0.0,0.0,7.46196590675926e-05,0.0002381309795398148,0.0,0.0,0.0,0.0,0.042526736304829484,0.0,0.0,0.0,0.0,4.240442847140124e-05,0.0001353163263161029
2026-07-07 15:55:18.052000046,0.0,0.0,0.0,38208.14024756481,0.0,0.0,0.0,0.0,42.378707771903194,156.2046550080337,0.002714265319324556,0.00395488807946306,0.0040136421773200965,0.0027608107779793626,0.003058719856767191,0.002616983523447408,0.0,0.0,0.01676553499109393,593.9012692676616,387814.2259595119,214742.70273516077,297204.1646343982,57.29312370614894,191221.61508825826,0.0,0.0,870807.1060822435,1005.0636864529658,38427.254353065786,135570.01230972467,11124.8862539205,0.0,119092.35430883254,0.0,0.0,282721.52686474967,0.0,0.0,0.0,0.0,171.8793711184468,928.2602674187293,0.0,0.0,0.0,0.0,0.0,0.0,0.07471471623338956,0.0,0.0,0.0,0.0,7.500789170648148e-05,0.00023936285801203695,0.0,0.0,0.0,0.0,0.04273956218540546,0.0,0.0,0.0,0.0,4.262418706866933e-05,0.00013600924498651922
2026-07-07 15:55:33.052000046,0.0,0.0,0.0,37025.07879526363,0.0,0.0,0.0,0.0,42.83622689815188,153.8583086646928,0.002714265319324556,0.00395488807946306,0.004020572357216754,0.0031293414635627462,0.003058719856767191,0.002616983523447408,0.018182968454445947,0.0,0.017550081128138665,593.9012692676616,387814.2259595119,4240.118434087645,336876.8779636021,57.29312370614894,191221.61508825826,1493061.5388530276,0.0,718389.6388138753,1005.0636864529658,38427.254353065786,245288.57177840357,12609.907245179877,0.0,119092.35430883254,1051577.5491335364,0.0,274099.6242884655,0.0,0.0,0.0,0.0,171.8793711184468,928.2602674187293,0.0,0.0,0.0,0.0,0.0,0.0,0.07508978727753639,0.0,0.0,0.0,0.0,7.539612434537037e-05,0.00024059473648425922,0.0,0.0,0.0,0.0,0.042905648800422136,0.0,0.0,0.0,0.0,4.284329317339015e-05,0.0001368809739228642
