timestamp,aggregator_energy,api-gateway_energy,authority_energy,clientone_energy,clientthree_energy,clienttwo_energy,kernel_processes_energy,orchestrator_energy,policy_energy,policy-enforcer_energy,rabbitmq_energy,server_energy,sidecar_energy,system_processes_energy,aggregator_cpu_usage,api-gateway_cpu_usage,authority_cpu_usage,clientone_cpu_usage,clientthree_cpu_usage,clienttwo_cpu_usage,orchestrator_cpu_usage,policy_cpu_usage,policy-enforcer_cpu_usage,rabbitmq_cpu_usage,server_cpu_usage,sidecar_cpu_usage,aggregator_memory_usage,api-gateway_memory_usage,authority_memory_usage,clientone_memory_usage,clientthree_memory_usage,clienttwo_memory_usage,orchestrator_memory_usage,policy_memory_usage,policy-enforcer_memory_usage,rabbitmq_memory_usage,server_memory_usage,sidecar_memory_usage,aggregator_memory_rss_usage,api-gateway_memory_rss_usage,authority_memory_rss_usage,clientone_memory_rss_usage,clientthree_memory_rss_usage,clienttwo_memory_rss_usage,orchestrator_memory_rss_usage,policy_memory_rss_usage,policy-enforcer_memory_rss_usage,rabbitmq_memory_rss_usage,server_memory_rss_usage,sidecar_memory_rss_usage,aggregator_memory_cache_usage,api-gateway_memory_cache_usage,authority_memory_cache_usage,clientone_memory_cache_usage,clientthree_memory_cache_usage,clienttwo_memory_cache_usage,orchestrator_memory_cache_usage,policy_memory_cache_usage,policy-enforcer_memory_cache_usage,rabbitmq_memory_cache_usage,server_memory_cache_usage,sidecar_memory_cache_usage,aggregator_carbon_coal,api-gateway_carbon_coal,authority_carbon_coal,clientone_carbon_coal,clientthree_carbon_coal,clienttwo_carbon_coal,kernel_processes_carbon_coal,orchestrator_carbon_coal,policy_carbon_coal,policy-enforcer_carbon_coal,rabbitmq_carbon_coal,server_carbon_coal,sidecar_carbon_coal,system_processes_carbon_coal,aggregator_carbon_emission,api-gateway_carbon_emission,authority_carbon_emission,clientone_carbon_emission,clientthree_carbon_emission,clienttwo_carbon_emission,kernel_processes_carbon_emission,orchestrator_carbon_emission,policy_carbon_emission,policy-enforcer_carbon_emission,rabbitmq_carbon_emission,server_carbon_emission,sidecar_carbon_emission,system_processes_carbon_emission
2026-09-22 15:52:53.334000111,0.0,0.0,0.0,0.0,0.0,0.0,320885.2258752478,0.0,0.0,0.0,0.0,0.0,784.1586900987966,78.7658351646097,0.010799689552133557,0.02785844365707717,0.005952538621947883,0.004732226693225316,0.0043982574561453325,0.004073963236615063,0.004235926897521552,0.00032814573932654623,0.0026415958954213977,0.03804312278210219,0.004088757352706298,0.023176510536519316,307074.5374573597,288352.13006923796,182662.27740405436,256296.37314011468,221622.2118730382,310144.36146384495,89997.19314494837,70342.20912569165,57733.26104680832,955289.9194573055,91005.19218571032,1433048.4416490102,252881.93990251128,199034.1984477704,140897.3300262885,215681.16073776004,199809.32259542387,243106.6945254928,58178.36801427712,11282.297096214095,85324.82430436091,506624.9601251484,91711.73101758261,1185412.6129824424,4567.197595395288,597.9600474868773,85.34059965250665,0.0,19.385788551025893,10584.51321834045,358.55455436234405,15371.467686954604,11782.788489013315,242156.3887171742,6482.213409876014,18698.049580128085,0.0,0.0,0.0,0.0,0.0,0.0,0.09620204158855843,0.0,0.0,0.0,0.0,0.0,0.00011141547021194968,1.2062731378618219e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.055059027041601385,0.0,0.0,0.0,0.0,0.0,6.469625207103579e-05,1.012099610903561e-05
2026-09-22 15:53:08.334000111,0.0,0.0,0.0,0.0,0.0,0.0,320885.9758005363,0.0,0.0,0.0,0.0,0.0,784.1586900987966,78.81346373867636,0.010799689552133557,0.02785844365707717,0.005917883274070021,0.00473006207400303,0.004347556537709434,0.004073963236615063,0.004235926897521552,0.00032814573932654623,0.0016714906506206568,0.03804312278210219,0.004054385733417531,0.022836392964646724,307074.5374573597,288352.13006923796,213874.83588621442,290850.0695296451,207429.70582296228,310144.36146384495,89997.19314494837,70342.20912569165,55215.35515713627,955289.9194573055,87206.0601958202,1429382.487911924,252881.93990251128,199034.1984477704,164169.8030634573,240199.47668154535,187267.85206967656,243106.6945254928,58178.36801427712,11282.297096214095,87257.13888118297,506624.9601251484,87869.3709402266,1195641.091817971,4567.197595395288,597.9600474868773,80.52516411378555,0.0,17.90255172552451,10584.51321834045,358.55455436234405,15371.467686954604,10426.441579142838,242156.3887171742,11342.96468741512,17712.451265930104,0.0,0.0,0.0,0.0,0.0,0.0,0.09667438168588141,0.0,0.0,0.0,0.0,0.0,0.00011425647235185186,1.1896516173263889e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.055300948326256254,0.0,0.0,0.0,0.0,0.0,6.499221210635957e-05,1.017947825333474e-05
2026-09-22 15:53:23.334000111,0.0,0.0,0.0,0.0,0.0,0.0,321214.2217039404,0.0,0.0,0.0,0.0,0.0,772.9426157819638,76.89199667942519,0.010799689552133557,0.02785844365707717,0.005917883274070021,0.00473006207400303,0.004347556537709434,0.004073963236615063,0.004235926897521552,0.00032814573932654623,0.0016714906506206568,0.03802402833892662,0.004054385733417531,0.021408751204419926,307074.5374573597,288352.13006923796,213874.83588621442,290850.0695296451,207429.70582296228,310144.36146384495,89997.19314494837,70342.20912569165,55215.35515713627,1071864.5423819984,87206.0601958202,1405499.1292186338,252881.93990251128,199034.1984477704,164169.8030634573,240199.47668154535,187267.85206967656,243106.6945254928,58178.36801427712,11282.297096214095,87257.13888118297,587447.727974902,87869.3709402266,1177394.1910702426,4567.197595395288,597.9600474868773,80.52516411378555,0.0,17.90255172552451,10584.51321834045,358.55455436234405,15371.467686954604,10426.441579142838,272972.3070742628,11342.96468741512,18596.431486872043,0.0,0.0,0.0,0.0,0.0,0.0,0.09710110342286059,0.0,0.0,0.0,0.0,0.0,0.0001147840803765432,1.1951820860763888e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.05559477660226585,0.0,0.0,0.0,0.0,0.0,6.507857479567913e-05,1.0170071386430818e-05
2026-09-22 15:53:38.334000111,0.0,0.0,0.0,0.0,0.0,0.0,321214.2217039404,0.0,0.0,0.0,0.0,0.0,772.9426157819638,76.89199667942519,0.010277969564106669,0.0265912317339188,0.00589588840264994,0.00473006207400303,0.004347556537709434,0.004073963236615063,0.0039380243909423905,0.0002978842147344894,0.0016714906506206568,0.03802402833892662,0.0037556817828129424,0.021003061642328305,275999.32016008545,275235.70254048676,185519.2701271692,290850.0695296451,207429.70582296228,310144.36146384495,104842.62522422292,74740.3078842929,55215.35515713627,1071864.5423819984,91132.93784985534,1416470.08879998,228901.3667583658,189980.6234349678,141881.3993393519,240199.47668154535,187267.85206967656,243106.6945254928,67515.87806438007,11964.454006282991,87257.13888118297,587447.727974902,91911.22429942711,1184982.8936437978,4800.879214599143,570.7603190643164,86.5382848870321,0.0,17.90255172552451,10584.51321834045,636.2715685755519,16336.658810962943,10426.441579142838,272972.3070742628,11865.197193471338,18595.65724279266,0.0,0.0,0.0,0.0,0.0,0.0,0.09752782515983972,0.0,0.0,0.0,0.0,0.0,0.00011531168840123456,1.2007125548263889e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.055836923906427194,0.0,0.0,0.0,0.0,0.0,6.537358469813973e-05,1.0228038463535087e-05
2026-09-22 15:53:53.334000111,0.0,0.0,0.0,0.0,0.0,0.0,321916.0910814313,0.0,0.0,0.0,0.0,0.0,754.591348640536,76.88813009269984,0.010858412589959041,0.026490398890277957,0.00589588840264994,0.00473006207400303,0.004079237396197182,0.003990060013094405,0.0039380243909423905,0.00030191057173184607,0.0016714906506206568,0.03747505257604224,0.0038053228302943427,0.020939436159744064,291586.23930084496,287251.16624238604,185519.2701271692,290850.0695296451,183719.13891319808,353363.3907837159,104842.62522422292,75750.53651256292,55215.35515713627,970681.686992393,92337.49530614118,1408245.893331031,241828.4532917766,198401.4051156807,141881.3993393519,240199.47668154535,164892.73002062007,208920.020571906,67515.87806438007,12126.1717500402,87257.13888118297,517521.20505759463,93126.06882390229,1178984.9110246,5072.006390126628,1177.974666548122,86.5382848870321,0.0,0.0,10496.867699123588,636.2715685755519,16557.47353448086,10426.441579142838,244412.62266211252,12022.026459452476,18596.666006968582,0.0,0.0,0.0,0.0,0.0,0.0,0.09795454689681891,0.0,0.0,0.0,0.0,0.0,0.00011583929642592589,1.2062430235763888e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.05614953419700662,0.0,0.0,0.0,0.0,0.0,6.507682037546431e-05,1.0345094130583372e-05
2026-09-22 15:54:08.334000111,0.0,0.0,0.0,0.0,0.0,0.0,321915.245229814,0.0,0.0,0.0,0.0,0.0,754.591348640536,76.88813009269984,0.010858412589959041,0.026490398890277957,0.00589588840264994,0.00473006207400303,0.00413356936506401,0.003990060013094405,0.0039380243909423905,0.00030593692872920273,0.0016714906506206568,0.03747505257604224,0.0039712837985120585,0.020905037739311315,291586.23930084496,287251.16624238604,185519.2701271692,290850.0695296451,186166.12141658898,353363.3907837159,104842.62522422292,76760.76514083294,55215.35515713627,970681.686992393,96364.59650286687,1407062.8012492,241828.4532917766,198401.4051156807,141881.3993393519,240199.47668154535,167088.9607872331,208920.020571906,67515.87806438007,12287.88949379741,87257.13888118297,517521.20505759463,97187.56195801543,1177369.647612491,5072.006390126628,1177.974666548122,86.5382848870321,0.0,0.0,10496.867699123588,636.2715685755519,16778.28825799878,10426.441579142838,244412.62266211252,12546.341278491207,18590.917259639242,0.0,0.0,0.0,0.0,0.0,0.0,0.09860178246722213,0.0,0.0,0.0,0.0,0.0,0.00011492918393393938,1.2206043271391334e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.05639198574851395,0.0,0.0,0.0,0.0,0.0,6.536917178861967e-05,1.0403503675586695e-05
2026-09-22 15:54:23.334000111,0.0,0.0,0.0,0.0,0.0,0.0,322599.6310057743,0.0,0.0,0.0,0.0,0.0,733.6463571652079,76.75421872568751,0.01021063809104679,0.026490398890277957,0.00589588840264994,0.0045165029203062665,0.004170525970287227,0.003990060013094405,0.0036613657427028144,0.0003221085597885313,0.0013451758372244591,0.03747505257604224,0.0038403465995211984,0.020694845150217085,272398.4750714479,287251.16624238604,185519.2701271692,265933.0692586811,187830.55891539546,353363.3907837159,112205.17157709721,80818.29026160084,80207.10134188042,970681.686992393,121249.41566444265,1393922.21284266,227492.81456069933,198401.4051156807,141881.3993393519,220043.49300308738,168582.83695468327,208920.020571906,72137.89133559176,12937.419500576623,98045.52929727607,517521.20505759463,90791.09826753361,1165642.4664741247,4578.886066910924,1177.974666548122,86.5382848870321,0.0,0.0,10496.867699123588,682.9216495171846,17665.177881433516,10093.083467997536,244412.62266211252,11720.59552646863,19513.54264566145,0.0,0.0,0.0,0.0,0.0,0.0,0.09902946064955948,0.0,0.0,0.0,0.0,0.0,0.00011545027332787879,1.2262005392603457e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.05670354691087325,0.0,0.0,0.0,0.0,0.0,6.507571721251168e-05,1.0423531837998815e-05
2026-09-22 15:54:38.334000111,0.0,0.0,0.0,0.0,0.0,0.0,322599.6310057743,0.0,0.0,0.0,0.0,0.0,733.6463571652079,76.75421872568751,0.01021063809104679,0.026490398890277957,0.005616165347246718,0.004551408841828006,0.004116194001420399,0.003990060013094405,0.0036613657427028144,0.00034519741016323643,0.0013451758372244591,0.03747505257604224,0.0038403465995211984,0.020378190585660143,272398.4750714479,287251.16624238604,176717.54025507337,267988.34056246874,185383.57641200456,353363.3907837159,112205.17157709721,73524.13912441599,80207.10134188042,970681.686992393,121249.41566444265,1395397.3875388566,227492.81456069933,198401.4051156807,135150.01369944555,221744.1054091155,166386.60618807023,208920.020571906,72137.89133559176,11772.278940993252,98045.52929727607,517521.20505759463,90791.09826753361,1165319.5276678826,4578.886066910924,1177.974666548122,82.43258413342299,0.0,0.0,10496.867699123588,682.9216495171846,16069.216127357675,10093.083467997536,244412.62266211252,11720.59552646863,19244.73010052996,0.0,0.0,0.0,0.0,0.0,0.0,0.09945713883189683,0.0,0.0,0.0,0.0,0.0,0.00011597136272181816,1.2317967513815574e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.05694629448738545,0.0,0.0,0.0,0.0,0.0,6.53654603826589e-05,1.0481658947423658e-05
2026-09-22 15:54:53.334000111,0.0,0.0,0.0,0.0,0.0,0.0,323051.9090007681,0.0,0.0,0.0,0.0,0.0,714.9499343401183,77.62229152987526,0.01021063809104679,0.025037182311821782,0.0055261218311568,0.004519264241528698,0.004131166027939825,0.003729433579960814,0.0036613657427028144,0.00034519741016323643,0.0013451758372244591,0.03747505257604224,0.0038403465995211984,0.020187801971459137,272398.4750714479,312826.9022712894,216637.03862734503,281033.6552729684,194805.9484111288,326431.9466200412,112205.17157709721,73524.13912441599,80207.10134188042,970681.686992393,121249.41566444265,1403358.852410945,227492.81456069933,187479.13455422068,130561.57724341424,227532.63883256854,170174.44795751484,189291.3384429639,72137.89133559176,11772.278940993252,98045.52929727607,517521.20505759463,90791.09826753361,1169662.1674130366,4578.886066910924,1113.1255390175863,84.9817827880498,0.0,0.0,11045.998286405695,682.9216495171846,16069.216127357675,10093.083467997536,244412.62266211252,11720.59552646863,18969.150659887902,0.0,0.0,0.0,0.0,0.0,0.0,0.09988473659640934,0.0,0.0,0.0,0.0,0.0,0.00011649245211575756,1.2373929635027697e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.05724943669375163,0.0,0.0,0.0,0.0,0.0,6.507423033997082e-05,1.066964553441649e-05
2026-09-22 15:55:08.334000111,0.0,0.0,0.0,0.0,0.0,0.0,323052.6418042648,0.0,0.0,0.0,0.0,0.0,714.9499343401183,77.62229152987526,0.01021063809104679,0.025037182311821782,0.0055261218311568,0.004519264241528698,0.004131166027939825,0.0037874495071974043,0.0033872827670780813,0.00034519741016323643,0.0013451758372244591,0.0369389263449794,0.0038403465995211984,0.0200228245586471,272398.4750714479,312826.9022712894,216637.03862734503,281033.6552729684,194805.9484111288,355973.4332242193,103740.76383315132,73524.13912441599,80207.10134188042,1098674.9081825975,121249.41566444265,1391067.5653080225,227492.81456069933,187479.13455422068,130561.57724341424,227532.63883256854,170174.44795751484,208937.1034625937,66696.03408899099,11772.278940993252,98045.52929727607,601131.2045102542,90791.09826753361,1165757.3563437664,4578.886066910924,1113.1255390175863,84.9817827880498,0.0,0.0,10702.881288893104,631.4041729389353,16069.216127357675,10093.083467997536,234534.12502690134,11720.59552646863,18694.25403094662,0.0,0.0,0.0,0.0,0.0,0.0,0.10054436713229094,0.0,0.0,0.0,0.0,0.0,0.00011492401398273808,1.2333288029575165e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0574924408832402,0.0,0.0,0.0,0.0,0.0,6.536140961553924e-05,1.0728716267133177e-05
