timestamp,api-gateway_sidecar_energy,clientone_sidecar_energy,clientthree_sidecar_energy,clienttwo_sidecar_energy,orchestrator_sidecar_energy,policy-enforcer_sidecar_energy,server_sidecar_energy
2026-06-15 10:21:37.608000040,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-15 10:21:52.608000040,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-15 10:22:07.608000040,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-15 10:22:22.608000040,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-15 10:22:37.608000040,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-15 10:22:52.608000040,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-15 10:23:07.608000040,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-15 10:23:22.608000040,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-15 10:23:37.608000040,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-15 10:23:52.608000040,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-15 10:24:07.608000040,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-15 10:24:22.608000040,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-15 10:24:37.608000040,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-15 10:24:52.608000040,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-15 10:25:07.608000040,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-15 10:25:22.608000040,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-15 10:25:37.608000040,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-15 10:25:52.608000040,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-15 10:26:07.608000040,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-15 10:26:22.608000040,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-15 10:26:37.608000040,0.0,0.0,0.0,0.0,0.0,0.0,0.0
