timestamp,api-gateway_energy,clientone_energy,clientthree_energy,clienttwo_energy,kernel_processes_energy,orchestrator_energy,policy-enforcer_energy,rabbitmq_energy,server_energy,sidecar_energy,api-gateway_cpu_usage,clientone_cpu_usage,clientthree_cpu_usage,clienttwo_cpu_usage,orchestrator_cpu_usage,policy-enforcer_cpu_usage,rabbitmq_cpu_usage,server_cpu_usage,sidecar_cpu_usage,api-gateway_memory_usage,clientone_memory_usage,clientthree_memory_usage,clienttwo_memory_usage,orchestrator_memory_usage,policy-enforcer_memory_usage,rabbitmq_memory_usage,server_memory_usage,sidecar_memory_usage,api-gateway_memory_rss_usage,clientone_memory_rss_usage,clientthree_memory_rss_usage,clienttwo_memory_rss_usage,orchestrator_memory_rss_usage,policy-enforcer_memory_rss_usage,rabbitmq_memory_rss_usage,server_memory_rss_usage,sidecar_memory_rss_usage,api-gateway_memory_cache_usage,clientone_memory_cache_usage,clientthree_memory_cache_usage,clienttwo_memory_cache_usage,orchestrator_memory_cache_usage,policy-enforcer_memory_cache_usage,rabbitmq_memory_cache_usage,server_memory_cache_usage,sidecar_memory_cache_usage,api-gateway_carbon_coal,clientone_carbon_coal,clientthree_carbon_coal,clienttwo_carbon_coal,kernel_processes_carbon_coal,orchestrator_carbon_coal,policy-enforcer_carbon_coal,rabbitmq_carbon_coal,server_carbon_coal,sidecar_carbon_coal,system_processes_carbon_coal,api-gateway_carbon_emission,clientone_carbon_emission,clientthree_carbon_emission,clienttwo_carbon_emission,kernel_processes_carbon_emission,orchestrator_carbon_emission,policy-enforcer_carbon_emission,rabbitmq_carbon_emission,server_carbon_emission,sidecar_carbon_emission,system_processes_carbon_emission
2026-06-27 18:52:15.733000040,0.0,0.0,0.0,0.0,38775.899449908306,0.0,0.0,0.0,0.0,0.0,0.0026384702991068773,0.004158784471354423,0.004401716562889149,0.0,0.002855514834653189,0.0028384201194475603,0.019359262347149183,0.004076463980362445,0.03754986778969375,154458.97686933473,659.950476578135,595985.8530510585,0.0,1119.727995762748,235990.14557670776,3125663.649356837,528242.6410933827,668911.4460586216,109.11972933192139,764.1531834062615,362978.0323785803,0.0,314.9234988082728,420.4553938036581,2213164.7874649307,390334.6300264193,519813.91210790945,109.11972933192139,0.0,0.0,0.0,699.8299973517175,0.0,664724.5778413002,0.0,0.0,0.0,0.0,0.0,0.0,0.07397223351297982,0.0,0.0,0.0,0.0,4.765583333333334e-06,2.0353333333333332e-06,0.0,0.0,0.0,0.0,0.04170437373045225,0.0,0.0,0.0,0.0,2.416810566666666e-06,2.3534279999999997e-06
2026-06-27 18:52:30.733000040,0.0,0.0,0.0,0.0,38696.44507861149,0.0,0.0,0.0,0.0,0.0,0.0026384702991068773,0.004158784471354423,0.004401716562889149,0.0,0.002855514834653189,0.0028384201194475603,0.0193989892612769,0.004317700725641682,0.03304360058730467,154458.97686933473,659.950476578135,595985.8530510585,0.0,1119.727995762748,235990.14557670776,2833045.7327705426,594220.3193073919,504886.157607481,109.11972933192139,764.1531834062615,362978.0323785803,0.0,314.9234988082728,420.4553938036581,2000664.7666462234,48.09430993588991,377553.46041018073,109.11972933192139,0.0,0.0,0.0,699.8299973517175,0.0,302014.5507894705,0.0,0.0,0.0,0.0,0.0,0.0,0.0743438857191957,0.0,0.0,0.0,0.0,4.765583333333334e-06,2.0353333333333332e-06,0.0,0.0,0.0,0.0,0.041897578075539066,0.0,0.0,0.0,0.0,2.416810566666666e-06,2.3534279999999997e-06
2026-06-27 18:52:45.733000040,0.0,0.0,0.0,0.0,38696.44507861149,0.0,0.0,0.0,0.0,0.0,0.0021415841060641056,0.004158784471354423,0.004401716562889149,0.004227665897287995,0.002855514834653189,0.0020944340866532983,0.01943206831955951,0.004317700725641682,0.03554230982090914,136.56703855998194,659.950476578135,595985.8530510585,557084.3623773803,1119.727995762748,932.3712238463743,2589394.1597796143,596225.1602752273,715792.9454202076,0.0,764.1531834062615,362978.0323785803,358429.54414310446,314.9234988082728,932.3712238463743,1823724.2534435263,48.09430993588991,550522.0608276909,182.0893847466426,0.0,0.0,0.0,699.8299973517175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07471553792541158,0.0,0.0,0.0,0.0,4.765583333333334e-06,2.0353333333333332e-06,0.0,0.0,0.0,0.0,0.04210794210336064,0.0,0.0,0.0,0.0,2.416810566666666e-06,2.3534279999999997e-06
2026-06-27 18:53:00.733000040,0.0,0.0,0.0,0.0,38624.64485501495,0.0,0.0,0.0,0.0,0.0,0.002839972881755612,0.0,0.004401716562889149,0.004227665897287995,0.0,0.002358150289958926,0.01943206831955951,0.004317700725641682,0.03264643562991562,181.1027103506212,0.0,595985.8530510585,557084.3623773803,0.0,1049.768758956721,2589394.1597796143,596225.1602752273,613310.1291494909,0.0,0.0,362978.0323785803,358429.54414310446,0.0,1049.768758956721,1823724.2534435263,48.09430993588991,493550.1405721131,241.47028046749494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07502462565064696,0.0,0.0,0.0,0.0,4.765583333333334e-06,2.0353333333333332e-06,0.0,0.0,0.0,0.0,0.042300693617034896,0.0,0.0,0.0,0.0,2.416810566666666e-06,2.3534279999999997e-06
2026-06-27 18:53:15.733000040,0.0,0.0,0.0,0.0,38624.64485501495,0.0,0.0,0.0,0.0,0.0,0.002839972881755612,0.0,0.004401716562889149,0.004227665897287995,0.0,0.003164594439667538,0.01943206831955951,0.004317700725641682,0.022609263449011343,181.1027103506212,0.0,595985.8530510585,557084.3623773803,0.0,1408.770421324162,2589394.1597796143,596225.1602752273,365795.2817739443,0.0,0.0,362978.0323785803,358429.54414310446,0.0,1408.770421324162,1823724.2534435263,48.09430993588991,292940.658795114,241.47028046749494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07539596712023032,0.0,0.0,0.0,0.0,4.765583333333334e-06,2.0353333333333332e-06,0.0,0.0,0.0,0.0,0.04251096958330111,0.0,0.0,0.0,0.0,2.416810566666666e-06,2.3534279999999997e-06
2026-06-27 18:53:30.733000040,0.0,0.0,0.0,0.0,38514.743369204334,0.0,0.0,0.0,0.0,0.0,0.0021294511108081605,0.004308090822558096,0.0,0.004227665897287995,0.0029219014898536197,0.003164594439667537,0.01943206831955951,0.004495793577030796,0.03137353844422255,135.79332753631732,87.61403621351643,0.0,557084.3623773803,43.839369809058994,1408.7704213241618,2589394.1597796143,679019.5577605861,302500.7459331331,0.0,43.807018106758214,0.0,358429.54414310446,0.0,1408.7704213241618,1823724.2534435263,27.387551234646317,246838.77320292793,181.0577700484231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07576730858981363,0.0,0.0,0.0,0.0,4.765583333333334e-06,2.0353333333333332e-06,0.0,0.0,0.0,0.0,0.042702339146491144,0.0,0.0,0.0,0.0,2.416810566666666e-06,2.3534279999999997e-06
2026-06-27 18:53:45.733000040,0.0,0.0,0.0,0.0,38514.743369204334,0.0,0.0,0.0,0.0,0.0,0.0018927867039951925,0.004308090822558096,0.0,0.004227665897287995,0.0029219014898536197,0.003164594439667537,0.01943206831955951,0.004495793577030797,0.0343159834936908,120.70143500709888,87.61403621351643,0.0,557084.3623773803,43.839369809058994,1408.7704213241618,2589394.1597796143,679019.5577605863,303641.1749307792,0.0,43.807018106758214,0.0,358429.54414310446,0.0,1408.7704213241618,1823724.2534435263,27.387551234646324,247905.96321726555,160.93524667613184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07613865005939698,0.0,0.0,0.0,0.0,4.765583333333334e-06,2.0353333333333332e-06,0.0,0.0,0.0,0.0,0.04291252155068199,0.0,0.0,0.0,0.0,2.416810566666666e-06,2.3534279999999997e-06
2026-06-27 18:54:00.733000040,0.0,0.0,0.0,0.0,38543.333044411644,0.0,0.0,0.0,0.0,0.0,0.0026938721882913746,0.004308090822558096,0.004342296933551519,0.0027800166828572297,0.0029219014898536197,0.002205194892041662,0.019240038742363245,0.003449795219522518,0.030955489028930718,244.0637568896172,87.61403621351643,72.0606604387678,494204.61950326536,43.839369809058994,981.6781885927201,17418.19974095343,574943.215227801,180161.93657280382,97.62550275584688,43.807018106758214,36.0303302193839,0.0,0.0,981.6781885927201,23333.81474731497,0.0,141782.45128295672,195.25100551169376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0764479134717912,0.0,0.0,0.0,0.0,4.765583333333334e-06,2.0353333333333332e-06,0.0,0.0,0.0,0.0,0.04310650500938022,0.0,0.0,0.0,0.0,2.416810566666666e-06,2.3534279999999997e-06
2026-06-27 18:54:15.733000040,0.0,0.0,0.0,0.0,38543.333044411644,0.0,0.0,0.0,0.0,0.0,0.002594715626062774,0.004308090822558096,0.004342296933551519,0.0040946326015105314,0.0029219014898536197,0.0028434994388723345,0.019240038742363245,0.004731345995558313,0.029553852707546055,286.79456658731266,87.61403621351643,72.0606604387678,715779.2297543695,43.839369809058994,1901.2767857667468,17418.19974095343,781715.4537276604,142350.96272788895,163.8826094784644,43.807018106758214,36.0303302193839,0.0,0.0,1780.9428119840413,23333.81474731497,0.0,26709.434443039794,163.8826094784644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07681895436193753,0.0,0.0,0.0,0.0,4.765583333333334e-06,2.0353333333333332e-06,0.0,0.0,0.0,0.0,0.04331660890393668,0.0,0.0,0.0,0.0,2.416810566666666e-06,2.3534279999999997e-06
2026-06-27 18:54:30.733000040,0.0,0.0,0.0,0.0,38455.57592809898,0.0,0.0,0.0,0.0,0.0,0.002594715626062774,0.004308090822558096,0.004342296933551518,0.0040946326015105314,0.0029219014898536197,0.0026203609094439823,0.019240038742363245,0.004731345995558313,0.03525816413305663,286.79456658731266,87.61403621351643,72.06066043876778,727904.3896799166,43.839369809058994,2243.53420373856,17418.19974095343,788526.5953316456,149056.1318664664,163.8826094784644,43.807018106758214,36.03033021938389,0.0,0.0,2039.576548853236,23333.814747314973,0.0,33406.67749506038,163.8826094784644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07718999525208388,0.0,0.0,0.0,0.0,4.765583333333334e-06,2.0353333333333332e-06,0.0,0.0,0.0,0.0,0.04350876516465993,0.0,0.0,0.0,0.0,2.416810566666666e-06,2.3534279999999997e-06
