timestamp,api-gateway_energy,clientone_energy,clientthree_energy,clienttwo_energy,orchestrator_energy,policy_energy,policy-enforcer_energy,rabbitmq_energy,server_energy,sidecar_energy,system_processes_energy,clientone_cpu_usage,clientthree_cpu_usage,clienttwo_cpu_usage,policy_cpu_usage,server_cpu_usage,sidecar_cpu_usage,clientone_memory_usage,clientthree_memory_usage,clienttwo_memory_usage,policy_memory_usage,server_memory_usage,sidecar_memory_usage,clientone_memory_rss_usage,clientthree_memory_rss_usage,clienttwo_memory_rss_usage,policy_memory_rss_usage,server_memory_rss_usage,sidecar_memory_rss_usage,clientone_memory_cache_usage,clientthree_memory_cache_usage,clienttwo_memory_cache_usage,policy_memory_cache_usage,server_memory_cache_usage,sidecar_memory_cache_usage,api-gateway_carbon_coal,clientone_carbon_coal,clientthree_carbon_coal,clienttwo_carbon_coal,orchestrator_carbon_coal,policy_carbon_coal,policy-enforcer_carbon_coal,rabbitmq_carbon_coal,server_carbon_coal,sidecar_carbon_coal,system_processes_carbon_coal,api-gateway_carbon_emission,clientone_carbon_emission,clientthree_carbon_emission,clienttwo_carbon_emission,orchestrator_carbon_emission,policy_carbon_emission,policy-enforcer_carbon_emission,rabbitmq_carbon_emission,server_carbon_emission,sidecar_carbon_emission,system_processes_carbon_emission
2026-06-25 20:24:02.628999949,418.395600000001,777.3156000000027,719.6039999999996,707.4323999999976,191.3544000000005,554.1155999999982,383.1839999999988,1655.2583999999943,798.0407999999992,5051.865600000005,70666.41240000006,0.002644581734326847,0.002758444425694693,0.0027151475325067048,0.00036361266831264164,0.004210958972565083,0.002292210149927141,136183.24183861364,104600.2924963438,414996.4988634772,0.0,120944.68042576582,181380.37376112514,130508.94009533808,99329.9583755203,184001.6374546199,0.0,118258.1580130928,169805.44219440414,0.0,0.0,0.0,0.0,0.0,0.0,0.0011217372169863285,0.003441436744088019,0.003079989897514444,0.0030291569814637678,0.0011581894491417874,0.0025191793958392267,0.0009954002682045413,0.0069568901873134775,0.0032361569106634292,0.019830940145072366,0.3026554305082361,0.0006205889718767507,0.0019589135194621847,0.0017457912008963584,0.0017231628696918761,0.0005917694821736695,0.0014460658596750697,0.0004915041263865545,0.003976955692280112,0.0018135827680448176,0.0115875933709846,0.17135724227898322
2026-06-25 20:24:17.628999949,418.9571999999998,777.3156000000027,719.6039999999996,728.1216000000021,190.1051999999992,564.3107999999988,374.4359999999999,1666.9152000000058,798.0407999999992,5057.445599999998,70771.88159999995,0.002644581734326847,0.002758444425694693,0.002099891330602446,0.0005139664002974277,0.0019638008237588757,0.0022973059012357934,136183.24183861364,104600.2924963438,320957.7158369871,0.0,168324.7350295262,181366.07611218802,130508.94009533808,99329.9583755203,142306.61084957322,0.0,160889.97700506018,169791.14454546702,0.0,0.0,0.0,0.0,0.0,0.0,0.0011241642988703868,0.0034488829165517884,0.003086654014181111,0.003035711111898551,0.0011606954020403383,0.0025246300972885027,0.0009975539971900482,0.006971942680791741,0.00324315892298227,0.019873726421883963,0.3033102804154826,0.0006269539224985993,0.0019589135194621847,0.0017457912008963584,0.0017285962413893558,0.0005931621243809522,0.001453031804,0.0004958428096918768,0.003995385492560223,0.0018135827680448176,0.011617090344173655,0.17177385333967682
2026-06-25 20:24:32.628999949,418.9571999999998,775.5875999999971,734.3388000000002,728.1216000000021,190.1051999999992,564.3107999999988,374.4359999999999,1666.9152000000058,773.0244000000001,5051.671199999992,70778.78279999988,0.0,0.0027381487764146107,0.002654541181999761,0.0005139664002974277,0.002698929147272682,0.0028176824104162723,0.0,195624.7057740608,226336.36470450004,0.0,231335.34118219712,314118.7965151867,0.0,185768.06448643605,100342.61543884384,0.0,221117.45915852883,294713.0000267467,0.0,0.0,0.0,0.0,0.0,0.0,0.0011265913807544444,0.003456329089015556,0.0030933181308477773,0.003042265242333333,0.0011632013549388888,0.002530080798737778,0.0009997077261755555,0.006986995174269999,0.00325016093530111,0.019916512698695557,0.30396513032272887,0.0006269539224985993,0.0019654938275350136,0.0017542145587563021,0.0017285962413893558,0.0005931621243809522,0.001453031804,0.0004958428096918768,0.003995385492560223,0.0018206810707563023,0.0116412698794218,0.17214896743938865
2026-06-25 20:24:47.628999949,414.3096000000003,775.5875999999971,734.3388000000002,726.6707999999996,181.6379999999986,562.3739999999983,360.47879999999844,1649.372399999995,773.0244000000001,5037.217199999999,70687.07639999996,0.0,0.0027381487764146107,0.0019711838705655923,0.0005139664002974277,0.002698929147272681,0.0028445411696895392,0.0,195624.7057740608,236798.5706144841,0.0,231335.34118219707,280200.77251091815,0.0,185768.06448643605,113408.75611145042,0.0,221117.45915852877,262939.29551651684,0.0,0.0,0.0,0.0,0.0,0.0,0.0011290184626385025,0.003463775261479324,0.003099982247514444,0.0030488193727681158,0.0011657073078374398,0.0025355315001870534,0.0010018614551610629,0.007002047667748261,0.0032571629476199518,0.019959298975507148,0.3046199802299753,0.000633236281512605,0.0019654938275350136,0.0017542145587563021,0.0017341345529747897,0.0005939623691092436,0.0014585044912941174,0.0005000922203697478,0.004012857316436973,0.0018206810707563023,0.011670664689049412,0.17249545346077005
2026-06-25 20:25:02.628999949,414.3096000000003,764.9712000000031,730.6019999999985,726.6707999999996,181.6379999999986,562.3739999999983,360.47879999999844,1649.372399999995,804.8267999999962,5066.107200000005,70261.4232,0.002533640930995614,0.0027381487764146107,0.002190175912771113,0.00037708715410710584,0.002695066716567249,0.002638952543125312,0.0,195624.7057740608,263106.11266804946,0.0,116159.75314488226,229196.01798292517,0.0,185768.06448643605,126008.09576498982,0.0,111029.07727206763,215292.83166817913,0.0,0.0,0.0,0.0,0.0,0.0,0.0011366793054240422,0.0034692538964996647,0.003106768132375766,0.00305579461311317,0.001164677617794109,0.0025406053038256222,0.001007693096744109,0.0070168078232060345,0.003264754327436255,0.020015409317816424,0.3052391503525862,0.000633236281512605,0.0019712816563361344,0.0017619626326386547,0.0017341345529747897,0.0005939623691092436,0.0014585044912941174,0.0005000922203697478,0.004012857316436973,0.0018318136724369744,0.011697651898376392,0.17276278499686212
2026-06-25 20:25:17.628999949,415.59839999999946,764.9712000000031,730.6019999999985,724.3883999999971,180.91440000000102,561.1643999999984,352.3787999999998,1660.7915999999966,804.8267999999962,5072.378400000004,70641.28079999993,0.002533640930995614,0.002803221235831097,0.0026279045064662478,0.00033425662074898683,0.002695066716567249,0.0025812505837580907,0.0,181708.89758250574,315690.5046427844,0.0,116159.75314488226,229180.60001135204,0.0,172310.161500652,151192.07584247284,0.0,111029.07727206763,215277.41369660603,0.0,0.0,0.0,0.0,0.0,0.0,0.0011391176143320883,0.003476695848367481,0.003113432510249329,0.0030623496468775383,0.0011671759863285918,0.0025460551967853924,0.0010098547152785921,0.007031859689585345,0.003271757604016715,0.020058224176293438,0.3058939237225574,0.0006382240812044816,0.0019712816563361344,0.0017619626326386547,0.001739903064845938,0.0005947342821288514,0.0014630999404201678,0.0005041052919607842,0.004030252925322128,0.0018318136724369744,0.011728894420340943,0.17319461518548349
2026-06-25 20:25:32.628999949,415.59839999999946,772.5671999999958,725.9580000000003,724.3883999999971,180.91440000000102,561.1643999999984,352.3787999999998,1660.7915999999966,798.9947999999983,5103.093600000003,70029.74519999993,0.002533640930995614,0.0028625160262171117,0.0021988333981729715,0.0,0.002695066716567249,0.0024844425045334375,0.0,169028.6494841655,264146.1374972338,0.0,116159.75314488226,165612.1805368172,0.0,160047.16201157484,126506.18965929309,0.0,111029.07727206763,155899.30201347524,0.0,0.0,0.0,0.0,0.0,0.0,0.0011415559232401341,0.0034841378002352973,0.0031200968881228922,0.003068904680641906,0.001169674354863075,0.0025515050897451626,0.0010120163338130748,0.007046911555964656,0.0032787608805971745,0.02010103903477045,0.3065486970925287,0.0006382240812044816,0.0019786921548179265,0.001767857519467787,0.001739903064845938,0.0005947342821288514,0.0014630999404201678,0.0005041052919607842,0.004030252925322128,0.0018405145114005596,0.011755784964165648,0.17350106098591622
2026-06-25 20:25:47.628999949,405.5471999999993,772.5671999999958,725.9580000000003,718.7147999999976,173.39760000000055,558.8280000000022,335.20680000000124,1642.6979999999949,798.9947999999983,5057.931600000003,69713.40240000004,0.002533640930995614,0.0028625160262171117,0.001979841355967451,0.0010596085330987707,0.0026911712817365894,0.0021443620083767883,0.0,169028.6494841655,237838.59544366846,31744.675610292506,0.0,79713.9451728248,0.0,160047.16201157484,113906.8500057537,792.7160765339786,0.0,73535.16090584028,0.0,0.0,0.0,30951.959533758527,0.0,0.0,0.00114399423214818,0.0034915797521031127,0.003126761265996456,0.0030754597144062733,0.0011721727233975573,0.002556954982704933,0.0010141779523475572,0.007061963422343965,0.003285764157177634,0.02014385389324746,0.3072034704624999,0.0006437914205042014,0.0019786921548179265,0.001767857519467787,0.001746119316011204,0.000594892502117647,0.001467913434308123,0.0005077279884369749,0.00404801619005042,0.0018405145114005596,0.011784361285302263,0.1738764259521074
2026-06-25 20:26:02.628999949,405.5471999999993,764.143199999998,708.8291999999982,718.7147999999976,173.39760000000055,558.8280000000022,335.20680000000124,1642.6979999999949,804.884400000002,5051.0232,68862.29400000011,0.002533640930995614,0.0028625160262171117,0.0026780094673137865,0.0010596085330987707,0.002099390192358496,0.0026329246681778724,0.0,169028.6494841655,195633.1475822398,31744.675610292506,0.0,252225.9732655934,0.0,160047.16201157484,84281.0473964887,792.7160765339786,0.0,233866.78033179973,0.0,0.0,0.0,30951.959533758527,0.0,0.0,0.001151461907128015,0.003497886310265432,0.0031322403151169513,0.0030822008072491445,0.0011710786640872744,0.0025605329768157645,0.0010199189902672838,0.00707789924616999,0.0032956787968625827,0.020202530033396247,0.3077659721240376,0.0006437914205042014,0.001984440227271708,0.0017732154134005595,0.001746119316011204,0.000594892502117647,0.001467913434308123,0.0005077279884369749,0.00404801619005042,0.0018485021396302517,0.011806708973967331,0.17413412418296534
2026-06-25 20:26:17.628999949,397.0475999999987,764.143199999998,708.8291999999982,717.9588000000015,177.46199999999914,560.4084000000001,326.7072000000006,1630.587600000007,804.884400000002,5045.086799999991,68928.08039999999,0.002533640930995614,0.0028625160262171117,0.0019784707243445648,0.0010596085330987707,0.0018751259188804466,0.00259110510733801,0.0,169028.6494841655,261364.76073065147,31744.675610292506,0.0,252225.9732655934,0.0,160047.16201157484,112613.12275395948,792.7160765339786,0.0,233866.78033179973,0.0,0.0,0.0,30951.959533758527,0.0,0.0,0.0011539109128260205,0.0035053258473024687,0.003138902171954558,0.0030887562367363243,0.0011735693920075024,0.002565978888496676,0.0010220882217487654,0.007092952992608735,0.0033026882655235513,0.02024537862670109,0.30842054924440804,0.0006491852815966384,0.001984440227271708,0.0017732154134005595,0.0017529597652941177,0.0005954574652436974,0.0014731320383361342,0.000511048329932773,0.004066051057092438,0.0018485021396302517,0.011839424060757858,0.17456464657410214
