api-gateway_sidecar_energy,clientone_sidecar_energy,clientthree_sidecar_energy,clienttwo_sidecar_energy,orchestrator_sidecar_energy,policy-enforcer_sidecar_energy,server_sidecar_energy
14.791449986529267,30.861471119166207,35.06328844452578,23.988365643036964,20.93715270842725,18.845506373669185,27.953269136614956
15.624399061413003,36.60462715917955,37.44760620621847,23.930080880432534,24.58956539190111,21.29572519782893,32.029707023074124
16.23951388869702,42.386913951360256,37.052411952583675,31.081647014275653,25.741550981287144,23.9473491557313,30.276566294346107
17.3295045219421,46.52704515337195,39.17837498620832,31.110932859302704,28.835379518916618,26.486810265035576,39.95301472099306
18.852679355041506,53.45769392467305,42.06431163920329,38.29962110496689,30.63217480232109,29.16875941523723,41.9641892903931
19.658494845333607,60.36598951714628,45.437793907891425,41.84319899147363,31.771298479979546,31.50512420264389,45.05286082618931
20.531343899511665,57.30112729027345,38.049780220968145,44.69870808710286,30.38495114387971,32.48656806029229,44.078894417350845
21.116721730799462,57.13423902354883,39.641538557629815,46.10104394635795,30.236614308086665,31.561277907968364,45.14843753150164
21.467669913616426,54.54957678164056,37.726003269681996,45.62389367425791,29.621993629328582,30.702770293249152,44.452015103208666
21.924955844516358,52.035812406458255,31.16414101469871,47.94615339131901,28.597304319393448,30.315043650042526,39.440795347760876
20.558054639873266,53.84292581490764,32.67336818780726,41.41054185088558,26.603783436195457,29.165998109030348,34.85174532765894
19.415009010561736,46.43989717816046,29.19645879787466,43.11663700893149,24.065297605195827,25.605691952870416,31.3202140222577
18.740483222667688,38.22893196917769,30.2209434812352,39.56058265314035,20.900920171983614,22.998703434033086,31.273372383547553
17.71143943828395,36.575646659711204,27.305533691470163,39.015475764572734,19.68745876704234,20.63046022327168,26.625256355273407
15.336785336699723,32.95995312618084,29.909691524989032,38.335037455361224,16.069100556782857,17.25578843820233,26.53782498065779
14.545635155605686,22.498402644099315,30.76784092938534,34.56429690162837,13.446593245279901,14.85115379275312,24.747372992218246
11.71679717328846,23.883425932140465,27.865656188505177,31.480455458965917,14.151397129047396,12.64880912023032,24.143960639132125
10.738215646185772,21.478343832242306,28.831291390848175,30.55801327468749,14.681183516325483,11.99884293421728,23.034708920583316
