api-gateway_sidecar_energy,clientone_sidecar_energy,clientthree_sidecar_energy,clienttwo_sidecar_energy,orchestrator_sidecar_energy,policy-enforcer_sidecar_energy,server_sidecar_energy
430.3972800000005,747.5899443971252,683.0632800000001,661.8322800000002,410.57243999999946,424.0494000000009,744.5260799999996
433.605813089241,746.9415843971257,689.4932400000004,659.9275200000004,408.93713362311485,425.1382104646729,744.5077200000003
436.36665308924023,745.2198000000006,687.5902800000002,660.7476000000008,405.9106136231149,426.3031704646731,742.5147600000001
439.13375999999937,745.4494799999997,689.7996000000002,662.8820400000002,404.0351999999998,426.7317600000003,738.6764399999995
440.79011999999966,741.1507199999991,688.2210000000001,661.1353199999996,399.91679999999974,426.67991999999975,738.4013999999997
443.7424799999999,748.5253199999995,695.3036399999996,661.2138,402.22871999999956,427.4125199999994,741.2929199999996
445.5989999999998,755.1489600000007,702.6325199999995,674.2436400000001,404.1680399999996,428.33484,739.9965599999992
447.50195999999977,756.0612000000001,703.7355599999999,678.5449199999998,405.88523999999956,429.6898800000008,733.7840399999997
448.53480000000025,755.7908399999983,704.7169200000003,675.9449999999997,406.62755999999956,429.82920000000087,731.4771599999995
448.36451999999997,750.0563999999987,695.9944800000004,668.7403200000001,409.87944000000005,429.3385199999997,720.9748800000001
446.85323999999963,743.3565800189332,694.5170400000001,662.64552,413.02080000000035,426.5445599999992,713.2060800000002
443.62668556152596,743.1546200189325,685.8914400000001,662.0597999999995,414.59304150078026,425.4448858975212,712.4543999999993
441.53112556152666,744.0541199999996,687.1197599999998,662.831639999999,418.8745215007801,424.57584589752094,713.5937999999998
438.92856000000074,743.1890400000004,683.8473599999995,661.0748399999997,420.86232,424.30247999999983,717.6553200000003
437.6170800000003,748.1664000000005,686.1149999999998,666.1144800000003,425.8792800000001,424.29168000000027,717.5437200000001
434.50199999999995,740.4530400000002,677.9253600000006,664.6669200000001,424.5778800000004,423.3927600000005,714.0225600000003
433.57319999999993,734.7207599999995,670.7966400000006,652.1284800000003,422.8336800000003,423.0504000000002,715.1029200000005
431.40312000000006,735.8072399999999,667.5832800000003,648.4586400000001,421.91280000000063,422.37179999999927,719.4531600000003
